Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;||;Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;
Baarle-Nassau;0;0;0;0;0;0;Baarle-Nassau;0;0;0;0;0;0;||;Baarle-Nassau;;0;0;0;0;0;0
Baarn;0;0;0;0;0;0;Baarn;0;0;0;0;0;0;||;Baarn;;0;0;0;0;0;0
Barendrecht;3;6,2;3;6,2;0;0;Barendrecht;1;2,1;1;2,1;0;0;||;Barendrecht;;2;4,1;2;4,1;0;0
Barneveld;7;11,8;1;1,7;0;0;Barneveld;0;0;0;0;0;0;||;Barneveld;;7;11,8;1;1,7;0;0
Beek (L.);3;18,9;2;12,6;0;0;Beek (L.);0;0;0;0;0;0;||;Beek (L.);;3;18,9;2;12,6;0;0
Beekdaelen;17;47,3;8;22,3;3;8,3;Beekdaelen;8;22,3;2;5,6;0;0;||;Beekdaelen;;9;25;6;16,7;3;8,3
Beemster;0;0;0;0;0;0;Beemster;0;0;0;0;0;0;||;Beemster;;0;0;0;0;0;0
Beesel;0;0;0;0;0;0;Beesel;0;0;0;0;0;0;||;Beesel;;0;0;0;0;0;0
Berg en Dal;15;42,9;1;2,9;0;0;Berg en Dal;3;8,6;0;0;0;0;||;Berg en Dal;;12;34,3;1;2,9;0;0
Bergeijk;1;5,4;1;5,4;0;0;Bergeijk;1;5,4;0;0;0;0;||;Bergeijk;;0;0;1;5,4;0;0
Bergen (L.);1;7,6;0;0;0;0;Bergen (L.);0;0;0;0;0;0;||;Bergen (L.);;1;7,6;0;0;0;0
Bergen (NH.);4;13,4;3;10,1;0;0;Bergen (NH.);0;0;0;0;0;0;||;Bergen (NH.);;4;13,4;3;10,1;0;0
Bergen op Zoom;5;7,4;5;7,4;1;1,5;Bergen op Zoom;1;1,5;2;3;0;0;||;Bergen op Zoom;;4;5,9;3;4,4;1;1,5
Berkelland;1;2,3;0;0;0;0;Berkelland;0;0;0;0;0;0;||;Berkelland;;1;2,3;0;0;0;0
Bernheze;28;89,6;17;54,4;2;6,4;Bernheze;2;6,4;2;6,4;0;0;||;Bernheze;;26;83,2;15;48;2;6,4
Best;6;20;5;16,7;0;0;Best;3;10;2;6,7;0;0;||;Best;;3;10;3;10;0;0
Beuningen;6;23,2;0;0;0;0;Beuningen;3;11,6;0;0;0;0;||;Beuningen;;3;11,6;0;0;0;0
Beverwijk;3;7,2;1;2,4;0;0;Beverwijk;4;9,6;2;4,8;0;0;||;Beverwijk;;-1;-2,4;-1;-2,4;0;0
Bladel;3;14,7;5;24,5;1;4,9;Bladel;0;0;0;0;0;0;||;Bladel;;3;14,7;5;24,5;1;4,9
Blaricum;2;17,3;0;0;0;0;Blaricum;1;8,7;0;0;0;0;||;Blaricum;;1;8,6;0;0;0;0
Bloemendaal;5;21,2;0;0;0;0;Bloemendaal;1;4,2;0;0;0;0;||;Bloemendaal;;4;17;0;0;0;0
Bodegraven-Reeuwijk;1;2,9;0;0;0;0;Bodegraven-Reeuwijk;0;0;0;0;0;0;||;Bodegraven-Reeuwijk;;1;2,9;0;0;0;0
Boekel;20;185,4;7;64,9;2;18,5;Boekel;8;74,2;3;27,8;0;0;||;Boekel;;12;111,2;4;37,1;2;18,5
Borger-Odoorn;0;0;0;0;0;0;Borger-Odoorn;0;0;0;0;0;0;||;Borger-Odoorn;;0;0;0;0;0;0
Borne;2;8,6;1;4,3;0;0;Borne;3;12,9;1;4,3;0;0;||;Borne;;-1;-4,3;0;0;0;0
Borsele;3;13,2;2;8,8;0;0;Borsele;1;4,4;1;4,4;0;0;||;Borsele;;2;8,8;1;4,4;0;0
Boxmeer;3;10,2;2;6,8;0;0;Boxmeer;0;0;0;0;0;0;||;Boxmeer;;3;10,2;2;6,8;0;0
Boxtel;5;16,2;1;3,2;1;3,2;Boxtel;0;0;0;0;0;0;||;Boxtel;;5;16,2;1;3,2;1;3,2
Breda;100;54,3;34;18,5;6;3,3;Breda;45;24,4;13;7,1;0;0;||;Breda;;55;29,9;21;11,4;6;3,3
Brielle;0;0;0;0;0;0;Brielle;0;0;1;5,8;0;0;||;Brielle;;0;0;-1;-5,8;0;0
Bronckhorst;1;2,8;0;0;0;0;Bronckhorst;2;5,5;0;0;0;0;||;Bronckhorst;;-1;-2,7;0;0;0;0
Brummen;0;0;1;4,8;0;0;Brummen;0;0;0;0;0;0;||;Brummen;;0;0;1;4,8;0;0
Brunssum;5;18;3;10,8;1;3,6;Brunssum;0;0;1;3,6;0;0;||;Brunssum;;5;18;2;7,2;1;3,6
Bunnik;1;6,6;0;0;0;0;Bunnik;0;0;0;0;0;0;||;Bunnik;;1;6,6;0;0;0;0
Bunschoten;0;0;0;0;0;0;Bunschoten;0;0;0;0;0;0;||;Bunschoten;;0;0;0;0;0;0
Buren;5;18,7;1;3,7;0;0;Buren;1;3,7;0;0;0;0;||;Buren;;4;15;1;3,7;0;0
Capelle aan den IJssel;1;1,5;0;0;0;0;Capelle aan den IJssel;0;0;0;0;0;0;||;Capelle aan den IJssel;;1;1,5;0;0;0;0
Castricum;5;13,9;2;5,6;0;0;Castricum;0;0;1;2,8;0;0;||;Castricum;;5;13,9;1;2,8;0;0
Coevorden;9;25,5;1;2,8;0;0;Coevorden;11;31,2;0;0;0;0;||;Coevorden;;-2;-5,7;1;2,8;0;0
Cranendonck;6;28,4;0;0;1;4,7;Cranendonck;1;4,7;0;0;0;0;||;Cranendonck;;5;23,7;0;0;1;4,7
Cuijk;2;8;1;4;0;0;Cuijk;1;4;0;0;0;0;||;Cuijk;;1;4;1;4;0;0
Culemborg;3;10,4;2;6,9;0;0;Culemborg;1;3,5;0;0;0;0;||;Culemborg;;2;6,9;2;6,9;0;0
Dalfsen;1;3,5;1;3,5;0;0;Dalfsen;0;0;1;3,5;0;0;||;Dalfsen;;1;3,5;0;0;0;0
Dantumadiel;0;0;0;0;0;0;Dantumadiel;0;0;0;0;0;0;||;Dantumadiel;;0;0;0;0;0;0
De Bilt;12;27,8;2;4,6;0;0;De Bilt;10;23,2;1;2,3;0;0;||;De Bilt;;2;4,6;1;2,3;0;0
De Fryske Marren;6;11,6;1;1,9;0;0;De Fryske Marren;0;0;0;0;0;0;||;De Fryske Marren;;6;11,6;1;1,9;0;0
De Ronde Venen;2;4,5;0;0;0;0;De Ronde Venen;0;0;0;0;0;0;||;De Ronde Venen;;2;4,5;0;0;0;0
De Wolden;1;4,1;0;0;0;0;De Wolden;0;0;0;0;0;0;||;De Wolden;;1;4,1;0;0;0;0
Delft;3;2,9;3;2,9;0;0;Delft;1;1;0;0;0;0;||;Delft;;2;1,9;3;2,9;0;0
Delfzijl;0;0;0;0;0;0;Delfzijl;0;0;0;0;0;0;||;Delfzijl;;0;0;0;0;0;0
Den Helder;2;3,6;2;3,6;0;0;Den Helder;1;1,8;0;0;0;0;||;Den Helder;;1;1,8;2;3,6;0;0
Deurne;13;40;9;27,7;1;3,1;Deurne;3;9,2;1;3,1;0;0;||;Deurne;;10;30,8;8;24,6;1;3,1
Deventer;5;5;2;2;0;0;Deventer;0;0;0;0;0;0;||;Deventer;;5;5;2;2;0;0
Diemen;1;3,2;1;3,2;0;0;Diemen;0;0;0;0;0;0;||;Diemen;;1;3,2;1;3,2;0;0
Dinkelland;7;26,5;3;11,3;1;3,8;Dinkelland;3;11,3;1;3,8;0;0;||;Dinkelland;;4;15,2;2;7,5;1;3,8
Doesburg;1;9;0;0;0;0;Doesburg;0;0;0;0;0;0;||;Doesburg;;1;9;0;0;0;0
Doetinchem;0;0;1;1,7;0;0;Doetinchem;0;0;0;0;0;0;||;Doetinchem;;0;0;1;1,7;0;0
Dongen;3;11,4;0;0;0;0;Dongen;3;11,4;0;0;0;0;||;Dongen;;0;0;0;0;0;0
Dordrecht;5;4,2;7;5,9;0;0;Dordrecht;0;0;1;0,8;0;0;||;Dordrecht;;5;4,2;6;5,1;0;0
Drechterland;0;0;0;0;0;0;Drechterland;0;0;0;0;0;0;||;Drechterland;;0;0;0;0;0;0
Drimmelen;12;44;4;14,7;0;0;Drimmelen;4;14,7;1;3,7;0;0;||;Drimmelen;;8;29,3;3;11;0;0
Dronten;7;16,8;2;4,8;0;0;Dronten;0;0;0;0;0;0;||;Dronten;;7;16,8;2;4,8;0;0
Druten;5;26,4;3;15,9;0;0;Druten;1;5,3;0;0;0;0;||;Druten;;4;21,1;3;15,9;0;0
Duiven;2;8;0;0;0;0;Duiven;0;0;0;0;0;0;||;Duiven;;2;8;0;0;0;0
Echt-Susteren;10;31,6;9;28,5;3;9,5;Echt-Susteren;0;0;0;0;0;0;||;Echt-Susteren;;10;31,6;9;28,5;3;9,5
Edam-Volendam;1;2,8;2;5,5;0;0;Edam-Volendam;0;0;1;2,8;0;0;||;Edam-Volendam;;1;2,8;1;2,7;0;0
Ede;5;4,3;1;0,9;0;0;Ede;0;0;0;0;0;0;||;Ede;;5;4,3;1;0,9;0;0
Eemnes;1;10,8;0;0;0;0;Eemnes;0;0;0;0;0;0;||;Eemnes;;1;10,8;0;0;0;0
Eersel;5;25,9;4;20,7;0;0;Eersel;0;0;0;0;0;0;||;Eersel;;5;25,9;4;20,7;0;0
Eijsden-Margraten;3;11,6;0;0;0;0;Eijsden-Margraten;0;0;1;3,9;0;0;||;Eijsden-Margraten;;3;11,6;-1;-3,9;0;0
Eindhoven;25;10,7;10;4,3;0;0;Eindhoven;6;2,6;1;0,4;0;0;||;Eindhoven;;19;8,1;9;3,9;0;0
Elburg;1;4,3;1;4,3;0;0;Elburg;0;0;0;0;0;0;||;Elburg;;1;4,3;1;4,3;0;0
Emmen;3;2,8;0;0;0;0;Emmen;1;0,9;0;0;0;0;||;Emmen;;2;1,9;0;0;0;0
Enkhuizen;1;5,4;1;5,4;0;0;Enkhuizen;0;0;0;0;0;0;||;Enkhuizen;;1;5,4;1;5,4;0;0
Enschede;6;3,8;3;1,9;0;0;Enschede;2;1,3;0;0;0;0;||;Enschede;;4;2,5;3;1,9;0;0
Epe;4;12,1;1;3;0;0;Epe;0;0;0;0;0;0;||;Epe;;4;12,1;1;3;0;0
Ermelo;9;33,3;5;18,5;0;0;Ermelo;1;3,7;3;11,1;0;0;||;Ermelo;;8;29,6;2;7,4;0;0
Etten-Leur;13;29,6;4;9,1;1;2,3;Etten-Leur;5;11,4;1;2,3;1;2,3;||;Etten-Leur;;8;18,2;3;6,8;0;0
Geertruidenberg;7;32,5;3;13,9;0;0;Geertruidenberg;1;4,6;0;0;0;0;||;Geertruidenberg;;6;27,9;3;13,9;0;0
Geldrop-Mierlo;3;7,6;1;2,5;1;2,5;Geldrop-Mierlo;1;2,5;0;0;0;0;||;Geldrop-Mierlo;;2;5,1;1;2,5;1;2,5
Gemert-Bakel;34;110,7;25;81,4;2;6,5;Gemert-Bakel;7;22,8;5;16,3;0;0;||;Gemert-Bakel;;27;87,9;20;65,1;2;6,5
Gennep;3;17,7;2;11,8;1;5,9;Gennep;0;0;0;0;0;0;||;Gennep;;3;17,7;2;11,8;1;5,9
Gilze en Rijen;3;11,4;0;0;0;0;Gilze en Rijen;0;0;0;0;0;0;||;Gilze en Rijen;;3;11,4;0;0;0;0
Goeree-Overflakkee;9;18;1;2;0;0;Goeree-Overflakkee;0;0;0;0;0;0;||;Goeree-Overflakkee;;9;18;1;2;0;0
Goes;3;7,9;0;0;0;0;Goes;2;5,3;0;0;0;0;||;Goes;;1;2,6;0;0;0;0
Goirle;11;46;2;8,4;2;8,4;Goirle;6;25,1;0;0;1;4,2;||;Goirle;;5;20,9;2;8,4;1;4,2
Gooise Meren;7;12,1;1;1,7;0;0;Gooise Meren;4;6,9;0;0;0;0;||;Gooise Meren;;3;5,2;1;1,7;0;0
Gorinchem;0;0;0;0;0;0;Gorinchem;0;0;0;0;0;0;||;Gorinchem;;0;0;0;0;0;0
Gouda;8;10,9;2;2,7;0;0;Gouda;2;2,7;0;0;0;0;||;Gouda;;6;8,2;2;2,7;0;0
Grave;3;24,1;1;8;0;0;Grave;0;0;0;0;0;0;||;Grave;;3;24,1;1;8;0;0
Groningen (gemeente);11;4,7;1;0,4;0;0;Groningen (gemeente);0;0;0;0;0;0;||;Groningen (gemeente);;11;4,7;1;0,4;0;0
Gulpen-Wittem;2;14,1;1;7,1;0;0;Gulpen-Wittem;0;0;0;0;0;0;||;Gulpen-Wittem;;2;14,1;1;7,1;0;0
Haaksbergen;2;8,2;0;0;0;0;Haaksbergen;0;0;0;0;0;0;||;Haaksbergen;;2;8,2;0;0;0;0
Haaren;9;62,6;3;20,9;1;7;Haaren;6;41,8;1;7;0;0;||;Haaren;;3;20,8;2;13,9;1;7
Haarlem;9;5,5;4;2,5;0;0;Haarlem;2;1,2;1;0,6;0;0;||;Haarlem;;7;4,3;3;1,9;0;0
Haarlemmermeer;7;4,5;3;1,9;1;0,6;Haarlemmermeer;0;0;1;0,6;0;0;||;Haarlemmermeer;;7;4,5;2;1,3;1;0,6
Halderberge;2;6,6;1;3,3;0;0;Halderberge;0;0;0;0;0;0;||;Halderberge;;2;6,6;1;3,3;0;0
Hardenberg;0;0;2;3,3;0;0;Hardenberg;0;0;0;0;0;0;||;Hardenberg;;0;0;2;3,3;0;0
Harderwijk;4;8,3;4;8,3;1;2,1;Harderwijk;1;2,1;4;8,3;0;0;||;Harderwijk;;3;6,2;0;0;1;2,1
Hardinxveld-Giessendam;2;10,9;0;0;0;0;Hardinxveld-Giessendam;5;27,3;0;0;0;0;||;Hardinxveld-Giessendam;;-3;-16,4;0;0;0;0
Harlingen;1;6,4;0;0;0;0;Harlingen;0;0;0;0;0;0;||;Harlingen;;1;6,4;0;0;0;0
Hattem;0;0;0;0;0;0;Hattem;0;0;0;0;0;0;||;Hattem;;0;0;0;0;0;0
Heemskerk;3;7,7;2;5,1;0;0;Heemskerk;0;0;0;0;0;0;||;Heemskerk;;3;7,7;2;5,1;0;0
Heemstede;6;22;0;0;0;0;Heemstede;1;3,7;0;0;0;0;||;Heemstede;;5;18,3;0;0;0;0
Heerde;4;21,5;7;37,7;0;0;Heerde;0;0;0;0;0;0;||;Heerde;;4;21,5;7;37,7;0;0
Heerenveen;0;0;0;0;0;0;Heerenveen;0;0;0;0;0;0;||;Heerenveen;;0;0;0;0;0;0
Heerhugowaard;2;3,5;1;1,7;0;0;Heerhugowaard;0;0;0;0;0;0;||;Heerhugowaard;;2;3,5;1;1,7;0;0
Heerlen;14;16,1;13;14,9;2;2,3;Heerlen;3;3,4;5;5,7;0;0;||;Heerlen;;11;12,7;8;9,2;2;2,3
Heeze-Leende;4;24,8;2;12,4;0;0;Heeze-Leende;1;6,2;0;0;0;0;||;Heeze-Leende;;3;18,6;2;12,4;0;0
Heiloo;3;12,5;0;0;0;0;Heiloo;0;0;0;0;0;0;||;Heiloo;;3;12,5;0;0;0;0
Hellendoorn;2;5,6;0;0;0;0;Hellendoorn;2;5,6;0;0;0;0;||;Hellendoorn;;0;0;0;0;0;0
Hellevoetsluis;1;2,5;0;0;0;0;Hellevoetsluis;1;2,5;0;0;0;0;||;Hellevoetsluis;;0;0;0;0;0;0
Helmond;17;18,4;12;13;1;1,1;Helmond;13;14,1;1;1,1;0;0;||;Helmond;;4;4,3;11;11,9;1;1,1
Hendrik-Ido-Ambacht;0;0;1;3,2;0;0;Hendrik-Ido-Ambacht;0;0;0;0;0;0;||;Hendrik-Ido-Ambacht;;0;0;1;3,2;0;0
Hengelo (O.);4;4,9;1;1,2;0;0;Hengelo (O.);0;0;0;0;0;0;||;Hengelo (O.);;4;4,9;1;1,2;0;0
Het Hogeland;0;0;0;0;0;0;Het Hogeland;0;0;0;0;0;0;||;Het Hogeland;;0;0;0;0;0;0
Heumen;6;36,5;0;0;0;0;Heumen;0;0;0;0;0;0;||;Heumen;;6;36,5;0;0;0;0
Heusden;5;11,2;0;0;0;0;Heusden;2;4,5;0;0;0;0;||;Heusden;;3;6,7;0;0;0;0
Hillegom;1;4,5;1;4,5;0;0;Hillegom;0;0;0;0;0;0;||;Hillegom;;1;4,5;1;4,5;0;0
Hilvarenbeek;5;32,2;0;0;0;0;Hilvarenbeek;2;12,9;0;0;0;0;||;Hilvarenbeek;;3;19,3;0;0;0;0
Hilversum;3;3,3;2;2,2;0;0;Hilversum;0;0;1;1,1;0;0;||;Hilversum;;3;3,3;1;1,1;0;0
Hoeksche Waard;9;10,3;7;8;1;1,1;Hoeksche Waard;3;3,4;1;1,1;1;1,1;||;Hoeksche Waard;;6;6,9;6;6,9;0;0
Hof van Twente;3;8,6;1;2,9;0;0;Hof van Twente;0;0;0;0;0;0;||;Hof van Twente;;3;8,6;1;2,9;0;0
Hollands Kroon;1;2,1;2;4,1;0;0;Hollands Kroon;0;0;0;0;0;0;||;Hollands Kroon;;1;2,1;2;4,1;0;0
Hoogeveen;3;5,4;1;1,8;0;0;Hoogeveen;0;0;0;0;0;0;||;Hoogeveen;;3;5,4;1;1,8;0;0
Hoorn;4;5,5;3;4,1;0;0;Hoorn;0;0;1;1,4;0;0;||;Hoorn;;4;5,5;2;2,7;0;0
Horst aan de Maas;8;18,9;6;14,1;1;2,4;Horst aan de Maas;0;0;3;7,1;0;0;||;Horst aan de Maas;;8;18,9;3;7;1;2,4
Houten;7;14;0;0;0;0;Houten;14;27,9;0;0;0;0;||;Houten;;-7;-13,9;0;0;0;0
Huizen;2;4,8;0;0;0;0;Huizen;1;2,4;0;0;0;0;||;Huizen;;1;2,4;0;0;0;0
Hulst;0;0;0;0;0;0;Hulst;0;0;0;0;0;0;||;Hulst;;0;0;0;0;0;0
IJsselstein;8;23,5;3;8,8;0;0;IJsselstein;2;5,9;0;0;0;0;||;IJsselstein;;6;17,6;3;8,8;0;0
Kaag en Braassem;0;0;0;0;0;0;Kaag en Braassem;0;0;0;0;0;0;||;Kaag en Braassem;;0;0;0;0;0;0
Kampen;3;5,5;2;3,7;0;0;Kampen;0;0;1;1,8;0;0;||;Kampen;;3;5,5;1;1,9;0;0
Kapelle;2;15,8;1;7,9;0;0;Kapelle;0;0;0;0;0;0;||;Kapelle;;2;15,8;1;7,9;0;0
Katwijk;1;1,5;1;1,5;0;0;Katwijk;1;1,5;0;0;0;0;||;Katwijk;;0;0;1;1,5;0;0
Kerkrade;4;8,7;2;4,4;0;0;Kerkrade;0;0;2;4,4;0;0;||;Kerkrade;;4;8,7;0;0;0;0
Koggenland;2;8,8;0;0;0;0;Koggenland;0;0;0;0;0;0;||;Koggenland;;2;8,8;0;0;0;0
Krimpen aan den IJssel;3;10,2;0;0;0;0;Krimpen aan den IJssel;1;3,4;0;0;0;0;||;Krimpen aan den IJssel;;2;6,8;0;0;0;0
Krimpenerwaard;4;7,1;2;3,6;0;0;Krimpenerwaard;3;5,3;1;1,8;0;0;||;Krimpenerwaard;;1;1,8;1;1,8;0;0
Laarbeek;6;26,6;6;26,6;0;0;Laarbeek;0;0;1;4,4;0;0;||;Laarbeek;;6;26,6;5;22,2;0;0
Landerd;16;101,7;7;44,5;1;6,4;Landerd;1;6,4;2;12,7;0;0;||;Landerd;;15;95,3;5;31,8;1;6,4
Landgraaf;7;18,7;4;10,7;1;2,7;Landgraaf;0;0;2;5,3;0;0;||;Landgraaf;;7;18,7;2;5,4;1;2,7
Landsmeer;3;26,1;0;0;0;0;Landsmeer;0;0;0;0;0;0;||;Landsmeer;;3;26,1;0;0;0;0
Langedijk;4;14,2;0;0;0;0;Langedijk;1;3,6;0;0;0;0;||;Langedijk;;3;10,6;0;0;0;0
Lansingerland;10;16;5;8;0;0;Lansingerland;4;6,4;1;1,6;0;0;||;Lansingerland;;6;9,6;4;6,4;0;0
Laren (NH.);0;0;1;8,9;0;0;Laren (NH.);0;0;0;0;0;0;||;Laren (NH.);;0;0;1;8,9;0;0
Leeuwarden;5;4;1;0,8;1;0,8;Leeuwarden;0;0;0;0;0;0;||;Leeuwarden;;5;4;1;0,8;1;0,8
Leiden;11;8,8;5;4;0;0;Leiden;2;1,6;0;0;0;0;||;Leiden;;9;7,2;5;4;0;0
Leiderdorp;2;7,4;1;3,7;0;0;Leiderdorp;0;0;0;0;0;0;||;Leiderdorp;;2;7,4;1;3,7;0;0
Leidschendam-Voorburg;6;7,8;2;2,6;0;0;Leidschendam-Voorburg;2;2,6;0;0;0;0;||;Leidschendam-Voorburg;;4;5,2;2;2,6;0;0
Lelystad;10;12,7;8;10,2;0;0;Lelystad;1;1,3;1;1,3;0;0;||;Lelystad;;9;11,4;7;8,9;0;0
Leudal;14;39;9;25,1;0;0;Leudal;3;8,4;3;8,4;0;0;||;Leudal;;11;30,6;6;16,7;0;0
Leusden;4;13,2;0;0;0;0;Leusden;0;0;0;0;0;0;||;Leusden;;4;13,2;0;0;0;0
Lingewaard;5;10,7;1;2,1;0;0;Lingewaard;2;4,3;1;2,1;0;0;||;Lingewaard;;3;6,4;0;0;0;0
Lisse;0;0;1;4,4;0;0;Lisse;0;0;0;0;0;0;||;Lisse;;0;0;1;4,4;0;0
Lochem;1;3;1;3;0;0;Lochem;0;0;0;0;0;0;||;Lochem;;1;3;1;3;0;0
Loon op Zand;7;29,9;2;8,5;0;0;Loon op Zand;7;29,9;0;0;0;0;||;Loon op Zand;;0;0;2;8,5;0;0
Lopik;3;20,7;2;13,8;0;0;Lopik;0;0;0;0;0;0;||;Lopik;;3;20,7;2;13,8;0;0
Loppersum;0;0;0;0;0;0;Loppersum;0;0;0;0;0;0;||;Loppersum;;0;0;0;0;0;0
Losser;0;0;0;0;0;0;Losser;0;0;0;0;0;0;||;Losser;;0;0;0;0;0;0
Maasdriel;1;4;1;4;0;0;Maasdriel;0;0;0;0;0;0;||;Maasdriel;;1;4;1;4;0;0
Maasgouw;4;16,7;3;12,5;1;4,2;Maasgouw;0;0;0;0;0;0;||;Maasgouw;;4;16,7;3;12,5;1;4,2
Maassluis;2;6;1;3;0;0;Maassluis;0;0;1;3;0;0;||;Maassluis;;2;6;0;0;0;0
Maastricht;39;32,1;14;11,5;2;1,6;Maastricht;8;6,6;2;1,6;0;0;||;Maastricht;;31;25,5;12;9,9;2;1,6
Medemblik;0;0;0;0;0;0;Medemblik;0;0;0;0;0;0;||;Medemblik;;0;0;0;0;0;0
Meerssen;2;10,6;0;0;0;0;Meerssen;0;0;0;0;0;0;||;Meerssen;;2;10,6;0;0;0;0
Meierijstad;64;78,8;36;44,3;13;16;Meierijstad;14;17,2;11;13,5;1;1,2;||;Meierijstad;;50;61,6;25;30,8;12;14,8
Meppel;0;0;1;2,9;0;0;Meppel;0;0;0;0;0;0;||;Meppel;;0;0;1;2,9;0;0
Middelburg (Z.);2;4,1;4;8,2;0;0;Middelburg (Z.);0;0;2;4,1;0;0;||;Middelburg (Z.);;2;4,1;2;4,1;0;0
Midden-Delfland;1;5,2;0;0;0;0;Midden-Delfland;0;0;0;0;0;0;||;Midden-Delfland;;1;5,2;0;0;0;0
Midden-Drenthe;0;0;0;0;0;0;Midden-Drenthe;0;0;0;0;0;0;||;Midden-Drenthe;;0;0;0;0;0;0
Midden-Groningen;2;3,3;0;0;0;0;Midden-Groningen;0;0;0;0;0;0;||;Midden-Groningen;;2;3,3;0;0;0;0
Mill en Sint Hubert;1;9,1;1;9,1;0;0;Mill en Sint Hubert;0;0;0;0;0;0;||;Mill en Sint Hubert;;1;9,1;1;9,1;0;0
Moerdijk;1;2,7;1;2,7;0;0;Moerdijk;0;0;0;0;0;0;||;Moerdijk;;1;2,7;1;2,7;0;0
Molenlanden;7;15,9;4;9,1;0;0;Molenlanden;0;0;1;2,3;0;0;||;Molenlanden;;7;15,9;3;6,8;0;0
Montferland;1;2,8;1;2,8;0;0;Montferland;0;0;0;0;0;0;||;Montferland;;1;2,8;1;2,8;0;0
Montfoort;0;0;0;0;0;0;Montfoort;0;0;0;0;0;0;||;Montfoort;;0;0;0;0;0;0
Mook en Middelaar;0;0;0;0;0;0;Mook en Middelaar;0;0;0;0;0;0;||;Mook en Middelaar;;0;0;0;0;0;0
