Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;Gemeente;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;Gemeente;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
Brunssum;19;68,3;14;50,3;2;7,2;Brunssum;5;18;3;10,8;1;3,6;Brunssum;14;50,3;11;39,5;1;3,6
Bunnik;8;52,7;3;19,7;0;0;Bunnik;1;6,6;0;0;0;0;Bunnik;7;46,1;3;19,7;0;0
Bunschoten;3;13,7;0;0;0;0;Bunschoten;0;0;0;0;0;0;Bunschoten;3;13,7;0;0;0;0
Buren;6;22,4;3;11,2;0;0;Buren;5;18,7;1;3,7;0;0;Buren;1;3,7;2;7,5;0;0
Capelle aan den IJssel;23;34,3;15;22,3;0;0;Capelle aan den IJssel;1;1,5;0;0;0;0;Capelle aan den IJssel;22;32,8;15;22,3;0;0
Castricum;10;27,8;4;11,1;0;0;Castricum;5;13,9;2;5,6;0;0;Castricum;5;13,9;2;5,5;0;0
Coevorden;4;11,3;6;17;0;0;Coevorden;9;25,5;1;2,8;0;0;Coevorden;-5;-14,2;5;14,2;0;0
Cranendonck;29;137,2;25;118,3;2;9,5;Cranendonck;6;28,4;0;0;1;4,7;Cranendonck;23;108,8;25;118,3;1;4,8
Cuijk;8;31,8;4;15,9;2;8;Cuijk;2;8;1;4;0;0;Cuijk;6;23,8;3;11,9;2;8
Culemborg;8;27,6;8;27,6;0;0;Culemborg;3;10,4;2;6,9;0;0;Culemborg;5;17,2;6;20,7;0;0
Dalfsen;12;42;6;21;1;3,5;Dalfsen;1;3,5;1;3,5;0;0;Dalfsen;11;38,5;5;17,5;1;3,5
Dantumadiel;0;0;0;0;0;0;Dantumadiel;0;0;0;0;0;0;Dantumadiel;0;0;0;0;0;0
De Bilt;26;60,3;8;18,5;1;2,3;De Bilt;12;27,8;2;4,6;0;0;De Bilt;14;32,5;6;13,9;1;2,3
De Fryske Marren;10;19,4;4;7,8;0;0;De Fryske Marren;6;11,6;1;1,9;0;0;De Fryske Marren;4;7,8;3;5,9;0;0
De Ronde Venen;10;22,5;9;20,2;0;0;De Ronde Venen;2;4,5;0;0;0;0;De Ronde Venen;8;18;9;20,2;0;0
De Wolden;3;12,3;1;4,1;0;0;De Wolden;1;4,1;0;0;0;0;De Wolden;2;8,2;1;4,1;0;0
Delft;20;19,3;15;14,5;0;0;Delft;3;2,9;3;2,9;0;0;Delft;17;16,4;12;11,6;0;0
Delfzijl;2;8,1;0;0;0;0;Delfzijl;0;0;0;0;0;0;Delfzijl;2;8,1;0;0;0;0
Den Helder;4;7,1;6;10,7;0;0;Den Helder;2;3,6;2;3,6;0;0;Den Helder;2;3,5;4;7,1;0;0
Deurne;35;107,8;29;89,3;4;12,3;Deurne;13;40;9;27,7;1;3,1;Deurne;22;67,8;20;61,6;3;9,2
Deventer;28;27,8;10;9,9;4;4;Deventer;5;5;2;2;0;0;Deventer;23;22,8;8;7,9;4;4
Diemen;9;29,2;6;19,5;2;6,5;Diemen;1;3,2;1;3,2;0;0;Diemen;8;26;5;16,3;2;6,5
Dinkelland;17;64,2;6;22,7;1;3,8;Dinkelland;7;26,5;3;11,3;1;3,8;Dinkelland;10;37,7;3;11,4;0;0
Doesburg;5;45,1;2;18,1;1;9;Doesburg;1;9;0;0;0;0;Doesburg;4;36,1;2;18,1;1;9
Doetinchem;10;17,2;6;10,3;1;1,7;Doetinchem;0;0;1;1,7;0;0;Doetinchem;10;17,2;5;8,6;1;1,7
Dongen;8;30,5;4;15,3;0;0;Dongen;3;11,4;0;0;0;0;Dongen;5;19,1;4;15,3;0;0
Dordrecht;26;21,8;20;16,8;1;0,8;Dordrecht;5;4,2;7;5,9;0;0;Dordrecht;21;17,6;13;10,9;1;0,8
Drechterland;4;20,3;2;10,1;0;0;Drechterland;0;0;0;0;0;0;Drechterland;4;20,3;2;10,1;0;0
Drimmelen;16;58,7;9;33;0;0;Drimmelen;12;44;4;14,7;0;0;Drimmelen;4;14,7;5;18,3;0;0
Dronten;11;26,5;6;14,4;1;2,4;Dronten;7;16,8;2;4,8;0;0;Dronten;4;9,7;4;9,6;1;2,4
Druten;7;37;7;37;0;0;Druten;5;26,4;3;15,9;0;0;Druten;2;10,6;4;21,1;0;0
Duiven;3;11,9;2;8;0;0;Duiven;2;8;0;0;0;0;Duiven;1;3,9;2;8;0;0
Echt-Susteren;21;66,4;17;53,8;5;15,8;Echt-Susteren;10;31,6;9;28,5;3;9,5;Echt-Susteren;11;34,8;8;25,3;2;6,3
Edam-Volendam;9;24,9;6;16,6;0;0;Edam-Volendam;1;2,8;2;5,5;0;0;Edam-Volendam;8;22,1;4;11,1;0;0
Ede;28;23,9;15;12,8;0;0;Ede;5;4,3;1;0,9;0;0;Ede;23;19,6;14;11,9;0;0
Eemnes;1;10,8;0;0;0;0;Eemnes;1;10,8;0;0;0;0;Eemnes;0;0;0;0;0;0
Eersel;16;82,8;9;46,6;0;0;Eersel;5;25,9;4;20,7;0;0;Eersel;11;56,9;5;25,9;0;0
Eijsden-Margraten;21;81,5;14;54,3;0;0;Eijsden-Margraten;3;11,6;0;0;0;0;Eijsden-Margraten;18;69,9;14;54,3;0;0
Eindhoven;97;41,4;48;20,5;4;1,7;Eindhoven;25;10,7;10;4,3;0;0;Eindhoven;72;30,7;38;16,2;4;1,7
Elburg;7;30,2;2;8,6;0;0;Elburg;1;4,3;1;4,3;0;0;Elburg;6;25,9;1;4,3;0;0
Emmen;8;7,5;4;3,7;0;0;Emmen;3;2,8;0;0;0;0;Emmen;5;4,7;4;3,7;0;0
Enkhuizen;11;59,2;12;64,5;1;5,4;Enkhuizen;1;5,4;1;5,4;0;0;Enkhuizen;10;53,8;11;59,1;1;5,4
Enschede;24;15;12;7,5;1;0,6;Enschede;6;3,8;3;1,9;0;0;Enschede;18;11,2;9;5,6;1;0,6
Epe;17;51,2;13;39,2;0;0;Epe;4;12,1;1;3;0;0;Epe;13;39,1;12;36,2;0;0
Ermelo;19;70,3;9;33,3;2;7,4;Ermelo;9;33,3;5;18,5;0;0;Ermelo;10;37;4;14,8;2;7,4
Etten-Leur;26;59,3;16;36,5;3;6,8;Etten-Leur;13;29,6;4;9,1;1;2,3;Etten-Leur;13;29,7;12;27,4;2;4,5
Geertruidenberg;11;51,1;5;23,2;1;4,6;Geertruidenberg;7;32,5;3;13,9;0;0;Geertruidenberg;4;18,6;2;9,3;1;4,6
Geldrop-Mierlo;15;37,8;8;20,1;1;2,5;Geldrop-Mierlo;3;7,6;1;2,5;1;2,5;Geldrop-Mierlo;12;30,2;7;17,6;0;0
Gemert-Bakel;73;237,6;42;136,7;10;32,5;Gemert-Bakel;34;110,7;25;81,4;2;6,5;Gemert-Bakel;39;126,9;17;55,3;8;26
Gennep;7;41,4;4;23,6;1;5,9;Gennep;3;17,7;2;11,8;1;5,9;Gennep;4;23,7;2;11,8;0;0
Gilze en Rijen;22;83,2;11;41,6;0;0;Gilze en Rijen;3;11,4;0;0;0;0;Gilze en Rijen;19;71,8;11;41,6;0;0
Goeree-Overflakkee;45;89,9;15;30;3;6;Goeree-Overflakkee;9;18;1;2;0;0;Goeree-Overflakkee;36;71,9;14;28;3;6
Goes;2;5,3;2;5,3;0;0;Goes;3;7,9;0;0;0;0;Goes;-1;-2,6;2;5,3;0;0
Goirle;16;66,9;14;58,6;3;12,6;Goirle;11;46;2;8,4;2;8,4;Goirle;5;20,9;12;50,2;1;4,2
Gooise Meren;16;27,6;8;13,8;0;0;Gooise Meren;7;12,1;1;1,7;0;0;Gooise Meren;9;15,5;7;12,1;0;0
Gorinchem;10;27;7;18,9;0;0;Gorinchem;0;0;0;0;0;0;Gorinchem;10;27;7;18,9;0;0
Gouda;17;23,2;8;10,9;2;2,7;Gouda;8;10,9;2;2,7;0;0;Gouda;9;12,3;6;8,2;2;2,7
Grave;13;104,5;5;40,2;1;8;Grave;3;24,1;1;8;0;0;Grave;10;80,4;4;32,2;1;8
Groningen (gemeente);71;30,5;6;2,6;0;0;Groningen (gemeente);11;4,7;1;0,4;0;0;Groningen (gemeente);60;25,8;5;2,2;0;0
Gulpen-Wittem;5;35,3;3;21,2;0;0;Gulpen-Wittem;2;14,1;1;7,1;0;0;Gulpen-Wittem;3;21,2;2;14,1;0;0
Haaksbergen;3;12,3;1;4,1;0;0;Haaksbergen;2;8,2;0;0;0;0;Haaksbergen;1;4,1;1;4,1;0;0
Haaren;8;55,7;5;34,8;3;20,9;Haaren;9;62,6;3;20,9;1;7;Haaren;-1;-6,9;2;13,9;2;13,9
Haarlem;46;28,2;14;8,6;2;1,2;Haarlem;9;5,5;4;2,5;0;0;Haarlem;37;22,7;10;6,1;2;1,2
Haarlemmermeer;28;17,9;17;10,9;3;1,9;Haarlemmermeer;7;4,5;3;1,9;1;0,6;Haarlemmermeer;21;13,4;14;9;2;1,3
Halderberge;8;26,4;7;23,1;1;3,3;Halderberge;2;6,6;1;3,3;0;0;Halderberge;6;19,8;6;19,8;1;3,3
Hardenberg;7;11,5;5;8,2;0;0;Hardenberg;0;0;2;3,3;0;0;Hardenberg;7;11,5;3;4,9;0;0
Harderwijk;14;28,9;6;12,4;2;4,1;Harderwijk;4;8,3;4;8,3;1;2,1;Harderwijk;10;20,6;2;4,1;1;2
Hardinxveld-Giessendam;1;5,5;0;0;0;0;Hardinxveld-Giessendam;2;10,9;0;0;0;0;Hardinxveld-Giessendam;-1;-5,4;0;0;0;0
Harlingen;3;19,1;1;6,4;0;0;Harlingen;1;6,4;0;0;0;0;Harlingen;2;12,7;1;6,4;0;0
Hattem;5;41;4;32,8;0;0;Hattem;0;0;0;0;0;0;Hattem;5;41;4;32,8;0;0
Heemskerk;10;25,5;7;17,9;0;0;Heemskerk;3;7,7;2;5,1;0;0;Heemskerk;7;17,8;5;12,8;0;0
Heemstede;17;62,4;5;18,4;0;0;Heemstede;6;22;0;0;0;0;Heemstede;11;40,4;5;18,4;0;0
Heerde;21;113;21;113;2;10,8;Heerde;4;21,5;7;37,7;0;0;Heerde;17;91,5;14;75,3;2;10,8
Heerenveen;3;5,9;3;5,9;0;0;Heerenveen;0;0;0;0;0;0;Heerenveen;3;5,9;3;5,9;0;0
Heerhugowaard;15;26;12;20,8;2;3,5;Heerhugowaard;2;3,5;1;1,7;0;0;Heerhugowaard;13;22,5;11;19,1;2;3,5
Heerlen;47;54;37;42,5;11;12,6;Heerlen;14;16,1;13;14,9;2;2,3;Heerlen;33;37,9;24;27,6;9;10,3
Heeze-Leende;10;61,9;4;24,8;0;0;Heeze-Leende;4;24,8;2;12,4;0;0;Heeze-Leende;6;37,1;2;12,4;0;0
Heiloo;9;37,6;2;8,3;2;8,3;Heiloo;3;12,5;0;0;0;0;Heiloo;6;25,1;2;8,3;2;8,3
Hellendoorn;5;13,9;1;2,8;0;0;Hellendoorn;2;5,6;0;0;0;0;Hellendoorn;3;8,3;1;2,8;0;0
Hellevoetsluis;4;10;3;7,5;0;0;Hellevoetsluis;1;2,5;0;0;0;0;Hellevoetsluis;3;7,5;3;7,5;0;0
Helmond;54;58,4;26;28,1;6;6,5;Helmond;17;18,4;12;13;1;1,1;Helmond;37;40;14;15,1;5;5,4
Hendrik-Ido-Ambacht;3;9,6;4;12,8;0;0;Hendrik-Ido-Ambacht;0;0;1;3,2;0;0;Hendrik-Ido-Ambacht;3;9,6;3;9,6;0;0
Hengelo (O.);17;21;3;3,7;1;1,2;Hengelo (O.);4;4,9;1;1,2;0;0;Hengelo (O.);13;16,1;2;2,5;1;1,2
Het Hogeland;4;8,4;3;6,3;0;0;Het Hogeland;0;0;0;0;0;0;Het Hogeland;4;8,4;3;6,3;0;0
Heumen;14;85,1;3;18,2;1;6,1;Heumen;6;36,5;0;0;0;0;Heumen;8;48,6;3;18,2;1;6,1
Heusden;28;62,7;14;31,3;3;6,7;Heusden;5;11,2;0;0;0;0;Heusden;23;51,5;14;31,3;3;6,7
Hillegom;4;18;1;4,5;0;0;Hillegom;1;4,5;1;4,5;0;0;Hillegom;3;13,5;0;0;0;0
Hilvarenbeek;9;58;4;25,8;2;12,9;Hilvarenbeek;5;32,2;0;0;0;0;Hilvarenbeek;4;25,8;4;25,8;2;12,9
Hilversum;20;22;6;6,6;1;1,1;Hilversum;3;3,3;2;2,2;0;0;Hilversum;17;18,7;4;4,4;1;1,1
Hoeksche Waard;38;43,5;29;33,2;2;2,3;Hoeksche Waard;9;10,3;7;8;1;1,1;Hoeksche Waard;29;33,2;22;25,2;1;1,2
Hof van Twente;6;17,1;2;5,7;0;0;Hof van Twente;3;8,6;1;2,9;0;0;Hof van Twente;3;8,5;1;2,8;0;0
Hollands Kroon;9;18,6;10;20,6;1;2,1;Hollands Kroon;1;2,1;2;4,1;0;0;Hollands Kroon;8;16,5;8;16,5;1;2,1
Hoogeveen;8;14,4;3;5,4;0;0;Hoogeveen;3;5,4;1;1,8;0;0;Hoogeveen;5;9;2;3,6;0;0
Hoorn;16;21,8;11;15;1;1,4;Hoorn;4;5,5;3;4,1;0;0;Hoorn;12;16,3;8;10,9;1;1,4
Horst aan de Maas;21;49,5;14;33;4;9,4;Horst aan de Maas;8;18,9;6;14,1;1;2,4;Horst aan de Maas;13;30,6;8;18,9;3;7
Houten;22;43,9;6;12;0;0;Houten;7;14;0;0;0;0;Houten;15;29,9;6;12;0;0
Huizen;8;19,4;5;12,1;0;0;Huizen;2;4,8;0;0;0;0;Huizen;6;14,6;5;12,1;0;0
Hulst;0;0;2;7,3;0;0;Hulst;0;0;0;0;0;0;Hulst;0;0;2;7,3;0;0
IJsselstein;16;46,9;15;44;2;5,9;IJsselstein;8;23,5;3;8,8;0;0;IJsselstein;8;23,4;12;35,2;2;5,9
Kaag en Braassem;5;18,3;3;11;0;0;Kaag en Braassem;0;0;0;0;0;0;Kaag en Braassem;5;18,3;3;11;0;0
Kampen;31;57,1;18;33,1;0;0;Kampen;3;5,5;2;3,7;0;0;Kampen;28;51,6;16;29,4;0;0
Kapelle;2;15,8;1;7,9;0;0;Kapelle;2;15,8;1;7,9;0;0;Kapelle;0;0;0;0;0;0
Katwijk;6;9,1;3;4,6;0;0;Katwijk;1;1,5;1;1,5;0;0;Katwijk;5;7,6;2;3,1;0;0
Kerkrade;18;39,3;14;30,6;2;4,4;Kerkrade;4;8,7;2;4,4;0;0;Kerkrade;14;30,6;12;26,2;2;4,4
Koggenland;4;17,6;2;8,8;0;0;Koggenland;2;8,8;0;0;0;0;Koggenland;2;8,8;2;8,8;0;0
Krimpen aan den IJssel;6;20,3;1;3,4;0;0;Krimpen aan den IJssel;3;10,2;0;0;0;0;Krimpen aan den IJssel;3;10,1;1;3,4;0;0
Krimpenerwaard;13;23,1;9;16;1;1,8;Krimpenerwaard;4;7,1;2;3,6;0;0;Krimpenerwaard;9;16;7;12,4;1;1,8
Laarbeek;26;115,4;17;75,5;4;17,8;Laarbeek;6;26,6;6;26,6;0;0;Laarbeek;20;88,8;11;48,9;4;17,8
Landerd;36;228,9;12;76,3;5;31,8;Landerd;16;101,7;7;44,5;1;6,4;Landerd;20;127,2;5;31,8;4;25,4
Landgraaf;21;56,1;11;29,4;2;5,3;Landgraaf;7;18,7;4;10,7;1;2,7;Landgraaf;14;37,4;7;18,7;1;2,6
Landsmeer;6;52,2;3;26,1;0;0;Landsmeer;3;26,1;0;0;0;0;Landsmeer;3;26,1;3;26,1;0;0
Langedijk;11;39,1;6;21,3;0;0;Langedijk;4;14,2;0;0;0;0;Langedijk;7;24,9;6;21,3;0;0
Lansingerland;21;33,7;11;17,6;0;0;Lansingerland;10;16;5;8;0;0;Lansingerland;11;17,7;6;9,6;0;0
Laren (NH.);3;26,6;4;35,5;0;0;Laren (NH.);0;0;1;8,9;0;0;Laren (NH.);3;26,6;3;26,6;0;0
Leeuwarden;12;9,7;11;8,9;1;0,8;Leeuwarden;5;4;1;0,8;1;0,8;Leeuwarden;7;5,7;10;8,1;0;0
Leiden;20;16;11;8,8;0;0;Leiden;11;8,8;5;4;0;0;Leiden;9;7,2;6;4,8;0;0
Leiderdorp;3;11,1;3;11,1;0;0;Leiderdorp;2;7,4;1;3,7;0;0;Leiderdorp;1;3,7;2;7,4;0;0
Leidschendam-Voorburg;12;15,7;5;6,5;0;0;Leidschendam-Voorburg;6;7,8;2;2,6;0;0;Leidschendam-Voorburg;6;7,9;3;3,9;0;0
Lelystad;24;30,5;17;21,6;2;2,5;Lelystad;10;12,7;8;10,2;0;0;Lelystad;14;17,8;9;11,4;2;2,5
Leudal;29;80,8;18;50,2;2;5,6;Leudal;14;39;9;25,1;0;0;Leudal;15;41,8;9;25,1;2;5,6
Leusden;13;42,8;3;9,9;2;6,6;Leusden;4;13,2;0;0;0;0;Leusden;9;29,6;3;9,9;2;6,6
Lingewaard;12;25,8;8;17,2;0;0;Lingewaard;5;10,7;1;2,1;0;0;Lingewaard;7;15,1;7;15,1;0;0
Lisse;2;8,7;2;8,7;0;0;Lisse;0;0;1;4,4;0;0;Lisse;2;8,7;1;4,3;0;0
Lochem;6;17,8;5;14,8;0;0;Lochem;1;3;1;3;0;0;Lochem;5;14,8;4;11,8;0;0
Loon op Zand;17;72,6;11;47;2;8,5;Loon op Zand;7;29,9;2;8,5;0;0;Loon op Zand;10;42,7;9;38,5;2;8,5
Lopik;9;62,2;7;48,4;0;0;Lopik;3;20,7;2;13,8;0;0;Lopik;6;41,5;5;34,6;0;0
Loppersum;1;10,5;0;0;0;0;Loppersum;0;0;0;0;0;0;Loppersum;1;10,5;0;0;0;0
Losser;1;4,4;0;0;0;0;Losser;0;0;0;0;0;0;Losser;1;4,4;0;0;0;0
Maasdriel;5;20;5;20;1;4;Maasdriel;1;4;1;4;0;0;Maasdriel;4;16;4;16;1;4
Maasgouw;11;45,9;7;29,2;3;12,5;Maasgouw;4;16,7;3;12,5;1;4,2;Maasgouw;7;29,2;4;16,7;2;8,3
Maassluis;7;21,1;5;15,1;0;0;Maassluis;2;6;1;3;0;0;Maassluis;5;15,1;4;12,1;0;0
Maastricht;100;82,3;42;34,5;8;6,6;Maastricht;39;32,1;14;11,5;2;1,6;Maastricht;61;50,2;28;23;6;5
Medemblik;4;8,9;1;2,2;0;0;Medemblik;0;0;0;0;0;0;Medemblik;4;8,9;1;2,2;0;0
Meerssen;9;47,8;4;21,2;2;10,6;Meerssen;2;10,6;0;0;0;0;Meerssen;7;37,2;4;21,2;2;10,6
Meierijstad;171;210,6;89;109,6;41;50,5;Meierijstad;64;78,8;36;44,3;13;16;Meierijstad;107;131,8;53;65,3;28;34,5
Meppel;3;8,8;1;2,9;1;2,9;Meppel;0;0;1;2,9;0;0;Meppel;3;8,8;0;0;1;2,9
Middelburg (Z.);7;14,3;7;14,3;2;4,1;Middelburg (Z.);2;4,1;4;8,2;0;0;Middelburg (Z.);5;10,2;3;6,1;2;4,1
Midden-Delfland;2;10,3;0;0;0;0;Midden-Delfland;1;5,2;0;0;0;0;Midden-Delfland;1;5,1;0;0;0;0
Midden-Drenthe;1;3;0;0;0;0;Midden-Drenthe;0;0;0;0;0;0;Midden-Drenthe;1;3;0;0;0;0
Midden-Groningen;3;4,9;2;3,3;0;0;Midden-Groningen;2;3,3;0;0;0;0;Midden-Groningen;1;1,6;2;3,3;0;0
Mill en Sint Hubert;7;64;4;36,6;0;0;Mill en Sint Hubert;1;9,1;1;9,1;0;0;Mill en Sint Hubert;6;54,9;3;27,5;0;0
Moerdijk;5;13,5;2;5,4;0;0;Moerdijk;1;2,7;1;2,7;0;0;Moerdijk;4;10,8;1;2,7;0;0
Molenlanden;16;36,4;7;15,9;0;0;Molenlanden;7;15,9;4;9,1;0;0;Molenlanden;9;20,5;3;6,8;0;0
Montferland;4;11,1;5;13,9;0;0;Montferland;1;2,8;1;2,8;0;0;Montferland;3;8,3;4;11,1;0;0
