Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;
Blaricum;15;130;0;0;0;0;;;Blaricum;8;69,3;0;0;0;0;;ONWAAR;Blaricum
Bloemendaal;44;186,7;0;0;0;0;;;Bloemendaal;26;110,3;0;0;0;0;;ONWAAR;Bloemendaal
Bodegraven-Reeuwijk;70;200,7;1;2,9;5;14,3;;;Bodegraven-Reeuwijk;18;51,6;0;0;0;0;;ONWAAR;Bodegraven-Reeuwijk
Boekel;5;46,4;0;0;0;0;;;Boekel;4;37,1;0;0;0;0;;ONWAAR;Boekel
Borger-Odoorn;22;86,1;0;0;0;0;;;Borger-Odoorn;1;3,9;0;0;0;0;;ONWAAR;Borger-Odoorn
Borne;10;42,9;0;0;0;0;;;Borne;2;8,6;0;0;0;0;;ONWAAR;Borne
Borsele;11;48,4;0;0;0;0;;;Borsele;6;26,4;0;0;0;0;;ONWAAR;Borsele
Boxmeer;34;115,8;0;0;0;0;;;Boxmeer;1;3,4;0;0;0;0;;ONWAAR;Boxmeer
Boxtel;19;61,7;0;0;0;0;;;Boxtel;6;19,5;0;0;0;0;;ONWAAR;Boxtel
Breda;233;126,6;3;1,6;0;0;;;Breda;72;39,1;0;0;0;0;;ONWAAR;Breda
Brielle;25;144,8;0;0;0;0;;;Brielle;2;11,6;0;0;0;0;;ONWAAR;Brielle
Bronckhorst;19;52,7;0;0;0;0;;;Bronckhorst;13;36,1;0;0;0;0;;ONWAAR;Bronckhorst
Brummen;19;91,7;0;0;0;0;;;Brummen;9;43,4;0;0;0;0;;ONWAAR;Brummen
Brunssum;18;64,7;1;3,6;0;0;;;Brunssum;17;61,1;0;0;0;0;;ONWAAR;Brunssum
Bunnik;17;111,9;0;0;0;0;;;Bunnik;16;105,3;0;0;0;0;;ONWAAR;Bunnik
Bunschoten;23;105,2;1;4,6;0;0;;;Bunschoten;18;82,3;0;0;0;0;;ONWAAR;Bunschoten
Buren;12;44,9;0;0;0;0;;;Buren;3;11,2;0;0;0;0;;ONWAAR;Buren
Capelle aan den IJssel;180;268,2;0;0;0;0;;;Capelle aan den IJssel;57;84,9;0;0;0;0;;ONWAAR;Capelle aan den IJssel
Castricum;24;66,7;0;0;0;0;;;Castricum;9;25;0;0;0;0;;ONWAAR;Castricum
Coevorden;24;68;0;0;0;0;;;Coevorden;1;2,8;0;0;0;0;;ONWAAR;Coevorden
Cranendonck;35;165,6;0;0;0;0;;;Cranendonck;1;4,7;0;0;0;0;;ONWAAR;Cranendonck
Cuijk;30;119,4;0;0;0;0;;;Cuijk;8;31,8;0;0;0;0;;ONWAAR;Cuijk
Culemborg;68;234,8;2;6,9;0;0;;;Culemborg;15;51,8;0;0;0;0;;ONWAAR;Culemborg
Dalfsen;26;91;0;0;0;0;;;Dalfsen;7;24,5;0;0;0;0;;ONWAAR;Dalfsen
Dantumadiel;21;111;0;0;0;0;;;Dantumadiel;6;31,7;0;0;0;0;;ONWAAR;Dantumadiel
De Bilt;63;146;0;0;0;0;;;De Bilt;21;48,7;0;0;0;0;;ONWAAR;De Bilt
De Fryske Marren;59;114,4;1;1,9;0;0;;;De Fryske Marren;3;5,8;0;0;0;0;;ONWAAR;De Fryske Marren
De Ronde Venen;89;200,2;0;0;0;0;;;De Ronde Venen;37;83,2;0;0;0;0;;ONWAAR;De Ronde Venen
De Wolden;10;41,1;0;0;0;0;;;De Wolden;7;28,8;0;0;0;0;;ONWAAR;De Wolden
Delft;305;294,4;2;1,9;0;0;;;Delft;264;254,8;0;0;0;0;;ONWAAR;Delft
Delfzijl;3;12,2;0;0;0;0;;;Delfzijl;3;12,2;0;0;0;0;;ONWAAR;Delfzijl
Den Helder;24;42,6;0;0;0;0;;;Den Helder;5;8,9;1;1,8;0;0;;ONWAAR;Den Helder
Deurne;26;80,1;0;0;0;0;;;Deurne;18;55,4;0;0;0;0;;ONWAAR;Deurne
Deventer;111;110,2;0;0;0;0;;;Deventer;24;23,8;0;0;0;0;;ONWAAR;Deventer
Diemen;152;493,8;1;3,2;0;0;;;Diemen;49;159,2;0;0;0;0;;ONWAAR;Diemen
Dinkelland;18;68;0;0;0;0;;;Dinkelland;1;3,8;0;0;0;0;;ONWAAR;Dinkelland
Doesburg;9;81,2;0;0;0;0;;;Doesburg;9;81,2;0;0;0;0;;ONWAAR;Doesburg
Doetinchem;55;94,8;0;0;0;0;;;Doetinchem;35;60,3;1;1,7;0;0;;ONWAAR;Doetinchem
Dongen;19;72,5;0;0;0;0;;;Dongen;11;41,9;0;0;0;0;;ONWAAR;Dongen
Dordrecht;175;146,7;0;0;2;1,7;;;Dordrecht;106;88,9;1;0,8;1;0,8;;ONWAAR;Dordrecht
Drechterland;20;101,4;0;0;0;0;;;Drechterland;9;45,6;0;0;0;0;;ONWAAR;Drechterland
Drimmelen;27;99;0;0;0;0;;;Drimmelen;12;44;0;0;0;0;;ONWAAR;Drimmelen
Dronten;14;33,7;1;2,4;0;0;;;Dronten;7;16,8;0;0;0;0;;ONWAAR;Dronten
Druten;19;100,4;0;0;0;0;;;Druten;1;5,3;0;0;0;0;;ONWAAR;Druten
Duiven;29;115,4;0;0;0;0;;;Duiven;12;47,8;0;0;0;0;;ONWAAR;Duiven
Echt-Susteren;3;9,5;0;0;0;0;;;Echt-Susteren;6;19;0;0;0;0;;ONWAAR;Echt-Susteren
Edam-Volendam;102;281,8;1;2,8;0;0;;;Edam-Volendam;16;44,2;0;0;0;0;;ONWAAR;Edam-Volendam
Ede;161;137,4;0;0;0;0;;;Ede;78;66,6;1;0,9;0;0;;ONWAAR;Ede
Eemnes;8;86,5;0;0;0;0;;;Eemnes;3;32,4;0;0;0;0;;ONWAAR;Eemnes
Eersel;56;290;0;0;0;0;;;Eersel;26;134,6;0;0;0;0;;ONWAAR;Eersel
Eijsden-Margraten;14;54,3;0;0;0;0;;;Eijsden-Margraten;4;15,5;0;0;0;0;;ONWAAR;Eijsden-Margraten
Eindhoven;397;169,4;1;0,4;1;0,4;;;Eindhoven;150;64;0;0;0;0;;ONWAAR;Eindhoven
Elburg;9;38,9;0;0;0;0;;;Elburg;11;47,5;0;0;0;0;;ONWAAR;Elburg
Emmen;194;181,2;1;0,9;1;0,9;;;Emmen;15;14;0;0;0;0;;ONWAAR;Emmen
Enkhuizen;9;48,4;0;0;0;0;;;Enkhuizen;4;21,5;0;0;0;0;;ONWAAR;Enkhuizen
Enschede;110;68,9;1;0,6;0;0;;;Enschede;55;34,5;0;0;0;0;;ONWAAR;Enschede
Epe;28;84,4;1;3;0;0;;;Epe;10;30,1;0;0;0;0;;ONWAAR;Epe
Ermelo;28;103,7;0;0;0;0;;;Ermelo;10;37;0;0;0;0;;ONWAAR;Ermelo
Etten-Leur;61;139;0;0;0;0;;;Etten-Leur;15;34,2;0;0;0;0;;ONWAAR;Etten-Leur
Geertruidenberg;18;83,5;0;0;0;0;;;Geertruidenberg;4;18,6;0;0;0;0;;ONWAAR;Geertruidenberg
Geldrop-Mierlo;38;95,7;0;0;0;0;;;Geldrop-Mierlo;7;17,6;0;0;0;0;;ONWAAR;Geldrop-Mierlo
Gemert-Bakel;16;52,1;0;0;0;0;;;Gemert-Bakel;10;32,5;0;0;0;0;;ONWAAR;Gemert-Bakel
Gennep;16;94,6;1;5,9;0;0;;;Gennep;7;41,4;0;0;0;0;;ONWAAR;Gennep
Gilze en Rijen;21;79,5;0;0;0;0;;;Gilze en Rijen;6;22,7;0;0;0;0;;ONWAAR;Gilze en Rijen
Goeree-Overflakkee;80;159,8;2;4;1;2;;;Goeree-Overflakkee;21;42;0;0;0;0;;ONWAAR;Goeree-Overflakkee
Goes;23;60,4;0;0;0;0;;;Goes;11;28,9;0;0;0;0;;ONWAAR;Goes
Goirle;41;171,5;0;0;1;4,2;;;Goirle;30;125,5;0;0;0;0;;ONWAAR;Goirle
Gooise Meren;88;151,6;1;1,7;5;8,6;;;Gooise Meren;44;75,8;0;0;0;0;;ONWAAR;Gooise Meren
Gorinchem;66;178,3;0;0;0;0;;;Gorinchem;22;59,4;0;0;0;0;;ONWAAR;Gorinchem
Gouda;158;215,2;3;4,1;0;0;;;Gouda;51;69,5;0;0;1;1,4;;ONWAAR;Gouda
Grave;14;112,6;0;0;0;0;;;Grave;6;48,2;0;0;0;0;;ONWAAR;Grave
Groningen (gemeente);599;257,2;1;0,4;0;0;;;Groningen (gemeente);169;72,6;0;0;0;0;;ONWAAR;Groningen (gemeente)
Gulpen-Wittem;12;84,7;0;0;0;0;;;Gulpen-Wittem;3;21,2;0;0;0;0;;ONWAAR;Gulpen-Wittem
Haaksbergen;107;440,1;1;4,1;0;0;;;Haaksbergen;9;37;0;0;0;0;;ONWAAR;Haaksbergen
Haaren;9;62,6;0;0;0;0;;;Haaren;2;13,9;0;0;0;0;;ONWAAR;Haaren
Haarlem;296;181,7;5;3,1;2;1,2;;;Haarlem;134;82,3;4;2,5;1;0,6;;ONWAAR;Haarlem
Haarlemmermeer;330;211,5;3;1,9;0;0;;;Haarlemmermeer;146;93,6;2;1,3;0;0;;ONWAAR;Haarlemmermeer
Halderberge;38;125,5;1;3,3;0;0;;;Halderberge;13;42,9;0;0;1;3,3;;ONWAAR;Halderberge
Hardenberg;18;29,5;0;0;0;0;;;Hardenberg;4;6,6;0;0;0;0;;ONWAAR;Hardenberg
Harderwijk;60;123,9;1;2,1;0;0;;;Harderwijk;28;57,8;0;0;0;0;;ONWAAR;Harderwijk
Hardinxveld-Giessendam;18;98,4;0;0;0;0;;;Hardinxveld-Giessendam;4;21,9;0;0;0;0;;ONWAAR;Hardinxveld-Giessendam
Harlingen;4;25,4;0;0;0;0;;;Harlingen;3;19,1;0;0;0;0;;ONWAAR;Harlingen
Hattem;12;98,3;0;0;0;0;;;Hattem;5;41;0;0;0;0;;ONWAAR;Hattem
Heemskerk;39;99,5;0;0;0;0;;;Heemskerk;19;48,5;0;0;0;0;;ONWAAR;Heemskerk
Heemstede;55;202;1;3,7;1;3,7;;;Heemstede;17;62,4;0;0;0;0;;ONWAAR;Heemstede
Heerde;31;166,8;0;0;0;0;;;Heerde;10;53,8;0;0;0;0;;ONWAAR;Heerde
Heerenveen;23;45,6;0;0;0;0;;;Heerenveen;10;19,8;0;0;0;0;;ONWAAR;Heerenveen
Heerhugowaard;55;95,5;0;0;0;0;;;Heerhugowaard;34;59;0;0;0;0;;ONWAAR;Heerhugowaard
Heerlen;37;42,5;0;0;0;0;;;Heerlen;46;52,8;1;1,1;0;0;;ONWAAR;Heerlen
Heeze-Leende;8;49,5;0;0;0;0;;;Heeze-Leende;1;6,2;0;0;0;0;;ONWAAR;Heeze-Leende
Heiloo;12;50,1;1;4,2;0;0;;;Heiloo;7;29,2;0;0;0;0;;ONWAAR;Heiloo
Hellendoorn;6;16,7;0;0;0;0;;;Hellendoorn;0;0;0;0;0;0;;ONWAAR;Hellendoorn
Hellevoetsluis;88;219,2;0;0;1;2,5;;;Hellevoetsluis;18;44,8;0;0;0;0;;ONWAAR;Hellevoetsluis
Helmond;181;195,8;0;0;0;0;;;Helmond;42;45,4;0;0;0;0;;ONWAAR;Helmond
Hendrik-Ido-Ambacht;81;259,6;0;0;0;0;;;Hendrik-Ido-Ambacht;31;99,4;0;0;0;0;;ONWAAR;Hendrik-Ido-Ambacht
Hengelo (O.);91;112,2;0;0;0;0;;;Hengelo (O.);28;34,5;1;1,2;0;0;;ONWAAR;Hengelo (O.)
Het Hogeland;36;75,3;0;0;0;0;;;Het Hogeland;19;39,7;0;0;0;0;;ONWAAR;Het Hogeland
Heumen;41;249,2;1;6,1;0;0;;;Heumen;8;48,6;0;0;0;0;;ONWAAR;Heumen
Heusden;48;107,4;0;0;2;4,5;;;Heusden;21;47;0;0;0;0;;ONWAAR;Heusden
Hillegom;29;130,6;0;0;0;0;;;Hillegom;14;63;0;0;0;0;;ONWAAR;Hillegom
Hilvarenbeek;33;212,7;1;6,4;1;6,4;;;Hilvarenbeek;13;83,8;0;0;0;0;;ONWAAR;Hilvarenbeek
Hilversum;135;148,6;1;1,1;1;1,1;;;Hilversum;69;76;1;1,1;0;0;;ONWAAR;Hilversum
Hoeksche Waard;161;184,2;1;1,1;1;1,1;;;Hoeksche Waard;87;99,5;0;0;0;0;;ONWAAR;Hoeksche Waard
Hof van Twente;17;48,5;0;0;0;0;;;Hof van Twente;3;8,6;0;0;0;0;;ONWAAR;Hof van Twente
Hollands Kroon;18;37,2;0;0;0;0;;;Hollands Kroon;8;16,5;0;0;0;0;;ONWAAR;Hollands Kroon
Hoogeveen;26;46,7;0;0;0;0;;;Hoogeveen;2;3,6;1;1,8;0;0;;ONWAAR;Hoogeveen
Hoorn;87;118,8;1;1,4;0;0;;;Hoorn;42;57,3;0;0;0;0;;ONWAAR;Hoorn
Horst aan de Maas;31;73,1;0;0;1;2,4;;;Horst aan de Maas;9;21,2;0;0;0;0;;ONWAAR;Horst aan de Maas
Houten;65;129,6;1;2;0;0;;;Houten;34;67,8;0;0;0;0;;ONWAAR;Houten
Huizen;60;145,4;0;0;0;0;;;Huizen;23;55,7;0;0;0;0;;ONWAAR;Huizen
Hulst;14;50,8;0;0;0;0;;;Hulst;2;7,3;0;0;0;0;;ONWAAR;Hulst
IJsselstein;41;120,2;0;0;0;0;;;IJsselstein;10;29,3;0;0;0;0;;ONWAAR;IJsselstein
Kaag en Braassem;46;168,5;0;0;1;3,7;;;Kaag en Braassem;9;33;0;0;0;0;;ONWAAR;Kaag en Braassem
Kampen;33;60,8;0;0;0;0;;;Kampen;27;49,7;0;0;0;0;;ONWAAR;Kampen
Kapelle;3;23,6;0;0;0;0;;;Kapelle;0;0;0;0;0;0;;ONWAAR;Kapelle
Katwijk;77;117,1;0;0;0;0;;;Katwijk;20;30,4;1;1,5;0;0;;ONWAAR;Katwijk
Kerkrade;39;85,2;0;0;0;0;;;Kerkrade;21;45,9;0;0;0;0;;ONWAAR;Kerkrade
Koggenland;41;180,2;1;4,4;0;0;;;Koggenland;9;39,6;0;0;0;0;;ONWAAR;Koggenland
Krimpen aan den IJssel;63;213,4;1;3,4;0;0;;;Krimpen aan den IJssel;16;54,2;0;0;0;0;;ONWAAR;Krimpen aan den IJssel
Krimpenerwaard;113;200,6;1;1,8;1;1,8;;;Krimpenerwaard;38;67,5;0;0;0;0;;ONWAAR;Krimpenerwaard
Laarbeek;19;84,4;0;0;0;0;;;Laarbeek;6;26,6;0;0;0;0;;ONWAAR;Laarbeek
Landerd;22;139,9;1;6,4;0;0;;;Landerd;1;6,4;0;0;0;0;;ONWAAR;Landerd
Landgraaf;13;34,7;0;0;0;0;;;Landgraaf;8;21,4;0;0;0;0;;ONWAAR;Landgraaf
Landsmeer;28;243,7;0;0;0;0;;;Landsmeer;16;139,2;0;0;0;0;;ONWAAR;Landsmeer
Langedijk;37;131,4;1;3,6;0;0;;;Langedijk;13;46,2;0;0;0;0;;ONWAAR;Langedijk
Lansingerland;178;285,3;0;0;0;0;;;Lansingerland;50;80,1;0;0;0;0;;ONWAAR;Lansingerland
Laren (NH.);23;203,9;0;0;0;0;;;Laren (NH.);2;17,7;0;0;0;0;;ONWAAR;Laren (NH.)
Leeuwarden;234;188,6;3;2,4;0;0;;;Leeuwarden;29;23,4;0;0;0;0;;ONWAAR;Leeuwarden
Leiden;438;350,1;2;1,6;0;0;;;Leiden;166;132,7;1;0,8;0;0;;ONWAAR;Leiden
Leiderdorp;33;122;0;0;0;0;;;Leiderdorp;8;29,6;0;0;0;0;;ONWAAR;Leiderdorp
Leidschendam-Voorburg;178;232,6;3;3,9;0;0;;;Leidschendam-Voorburg;104;135,9;0;0;0;0;;ONWAAR;Leidschendam-Voorburg
Lelystad;109;138,7;0;0;0;0;;;Lelystad;25;31,8;0;0;0;0;;ONWAAR;Lelystad
Leudal;11;30,7;0;0;0;0;;;Leudal;5;13,9;0;0;0;0;;ONWAAR;Leudal
Leusden;52;171;0;0;1;3,3;;;Leusden;21;69,1;0;0;0;0;;ONWAAR;Leusden
Lingewaard;74;158,8;2;4,3;0;0;;;Lingewaard;25;53,6;0;0;0;0;;ONWAAR;Lingewaard
Lisse;18;78,4;0;0;0;0;;;Lisse;9;39,2;0;0;0;0;;ONWAAR;Lisse
Lochem;34;100,8;1;3;0;0;;;Lochem;5;14,8;0;0;0;0;;ONWAAR;Lochem
Loon op Zand;28;119,6;2;8,5;0;0;;;Loon op Zand;8;34,2;0;0;0;0;;ONWAAR;Loon op Zand
Lopik;38;262,7;0;0;0;0;;;Lopik;7;48,4;1;6,9;0;0;;ONWAAR;Lopik
Loppersum;8;83,9;0;0;0;0;;;Loppersum;2;21;0;0;0;0;;ONWAAR;Loppersum
Losser;23;101,4;2;8,8;0;0;;;Losser;8;35,3;0;0;0;0;;ONWAAR;Losser
Maasdriel;23;91,9;0;0;0;0;;;Maasdriel;7;28;0;0;0;0;;ONWAAR;Maasdriel
Maasgouw;12;50,1;0;0;0;0;;;Maasgouw;6;25;0;0;0;0;;ONWAAR;Maasgouw
Maassluis;64;192,7;0;0;0;0;;;Maassluis;28;84,3;0;0;0;0;;ONWAAR;Maassluis
Maastricht;99;81,4;2;1,6;0;0;;;Maastricht;42;34,5;0;0;0;0;;ONWAAR;Maastricht
Medemblik;29;64,3;0;0;0;0;;;Medemblik;3;6,7;0;0;0;0;;ONWAAR;Medemblik
Meerssen;13;69;0;0;0;0;;;Meerssen;3;15,9;0;0;0;0;;ONWAAR;Meerssen
Meierijstad;104;128,1;0;0;0;0;;;Meierijstad;15;18,5;0;0;0;0;;ONWAAR;Meierijstad
Meppel;30;88,4;0;0;0;0;;;Meppel;2;5,9;0;0;0;0;;ONWAAR;Meppel
Middelburg (Z.);35;71,7;1;2;0;0;;;Middelburg (Z.);21;43;0;0;0;0;;ONWAAR;Middelburg (Z.)
Midden-Delfland;41;212;0;0;0;0;;;Midden-Delfland;14;72,4;0;0;0;0;;ONWAAR;Midden-Delfland
Midden-Drenthe;18;54,2;0;0;0;0;;;Midden-Drenthe;1;3;0;0;0;0;;ONWAAR;Midden-Drenthe
Midden-Groningen;29;47,7;0;0;0;0;;;Midden-Groningen;14;23;1;1,6;0;0;;ONWAAR;Midden-Groningen
Mill en Sint Hubert;7;64;0;0;0;0;;;Mill en Sint Hubert;7;64;0;0;0;0;;ONWAAR;Mill en Sint Hubert
Moerdijk;35;94,3;1;2,7;0;0;;;Moerdijk;19;51,2;0;0;0;0;;ONWAAR;Moerdijk
Molenlanden;57;129,8;0;0;1;2,3;;;Molenlanden;9;20,5;1;2,3;0;0;;ONWAAR;Molenlanden
Montferland;14;38,9;0;0;0;0;;;Montferland;10;27,8;1;2,8;0;0;;ONWAAR;Montferland
Montfoort;18;129,3;1;7,2;0;0;;;Montfoort;13;93,4;0;0;0;0;;ONWAAR;Montfoort
Mook en Middelaar;18;229,4;0;0;0;0;;;Mook en Middelaar;4;51;0;0;0;0;;ONWAAR;Mook en Middelaar
Neder-Betuwe;8;32,9;0;0;0;0;;;Neder-Betuwe;1;4,1;0;0;0;0;;ONWAAR;Neder-Betuwe
Nederweert;9;52,9;0;0;0;0;;;Nederweert;2;11,8;0;0;0;0;;ONWAAR;Nederweert
Nieuwegein;103;162,3;0;0;0;0;;;Nieuwegein;37;58,3;0;0;0;0;;ONWAAR;Nieuwegein
Nieuwkoop;34;118;0;0;0;0;;;Nieuwkoop;5;17,4;0;0;0;0;;ONWAAR;Nieuwkoop
Nijkerk;102;236,3;0;0;0;0;;;Nijkerk;19;44;0;0;0;0;;ONWAAR;Nijkerk
Nijmegen;574;323,1;6;3,4;1;0,6;;;Nijmegen;260;146,3;2;1,1;0;0;;ONWAAR;Nijmegen
Nissewaard;138;161,9;0;0;4;4,7;;;Nissewaard;47;55,2;1;1,2;0;0;;ONWAAR;Nissewaard
Noardeast-Fryslân;22;48,6;0;0;0;0;;;Noardeast-FryslÃ¢n;4;8,8;0;0;0;0;;ONWAAR;Noardeast-Fryslan
Noord-Beveland;6;81,2;0;0;0;0;;;Noord-Beveland;2;27,1;0;0;0;0;;ONWAAR;Noord-Beveland
Noordenveld;51;163,2;0;0;4;12,8;;;Noordenveld;5;16;0;0;0;0;;ONWAAR;Noordenveld
Noordoostpolder;20;42,3;3;6,3;0;0;;;Noordoostpolder;9;19;0;0;0;0;;ONWAAR;Noordoostpolder
Noordwijk;75;172,4;1;2,3;0;0;;;Noordwijk;35;80,4;0;0;0;0;;ONWAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;47;201;0;0;0;0;;;Nuenen, Gerwen en Nederwetten;9;38,5;0;0;0;0;;ONWAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;24;86,2;0;0;0;0;;;Nunspeet;11;39,5;0;0;0;0;;ONWAAR;Nunspeet
Oegstgeest;38;153;0;0;0;0;;;Oegstgeest;17;68,4;0;0;0;0;;ONWAAR;Oegstgeest
Oirschot;32;171;0;0;0;0;;;Oirschot;7;37,4;0;0;0;0;;ONWAAR;Oirschot
Oisterwijk;32;121,9;1;3,8;0;0;;;Oisterwijk;7;26,7;0;0;0;0;;ONWAAR;Oisterwijk
Oldambt;23;60,2;0;0;1;2,6;;;Oldambt;9;23,6;0;0;0;0;;ONWAAR;Oldambt
Oldebroek;13;55;0;0;0;0;;;Oldebroek;3;12,7;0;0;0;0;;ONWAAR;Oldebroek
Oldenzaal;48;150,8;2;6,3;0;0;;;Oldenzaal;9;28,3;0;0;0;0;;ONWAAR;Oldenzaal
Olst-Wijhe;11;60,3;0;0;0;0;;;Olst-Wijhe;2;11;0;0;0;0;;ONWAAR;Olst-Wijhe
Ommen;25;138,8;0;0;0;0;;;Ommen;11;61,1;0;0;0;0;;ONWAAR;Ommen
Oost Gelre;40;135;0;0;0;0;;;Oost Gelre;15;50,6;0;0;0;0;;ONWAAR;Oost Gelre
Oosterhout;58;103,6;1;1,8;0;0;;;Oosterhout;34;60,7;0;0;0;0;;ONWAAR;Oosterhout
Ooststellingwerf;6;23,6;0;0;0;0;;;Ooststellingwerf;0;0;0;0;0;0;;ONWAAR;Ooststellingwerf
Oostzaan;21;215,7;2;20,5;0;0;;;Oostzaan;2;20,5;0;0;0;0;;ONWAAR;Oostzaan
Opmeer;18;152,1;0;0;0;0;;;Opmeer;0;0;0;0;0;0;;ONWAAR;Opmeer
Opsterland;11;37;0;0;0;0;;;Opsterland;4;13,5;0;0;0;0;;ONWAAR;Opsterland
Oss;197;214,3;1;1,1;0;0;;;Oss;76;82,7;0;0;0;0;;ONWAAR;Oss
