Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;
Lingewaard;15;32,2;1;2,1;2;4,3;;;WAAR;Lingewaard
Lisse;6;26,1;1;4,4;0;0;;;WAAR;Lisse
Lochem;7;20,8;0;0;1;3;;;WAAR;Lochem
Loon op Zand;3;12,8;0;0;0;0;;;WAAR;Loon op Zand
Lopik;5;34,6;0;0;1;6,9;;;WAAR;Lopik
Loppersum;0;0;0;0;0;0;;;WAAR;Loppersum
Losser;1;4,4;0;0;0;0;;;WAAR;Losser
Maasdriel;7;28;0;0;2;8;;;WAAR;Maasdriel
Maasgouw;7;29,2;0;0;2;8,3;;;WAAR;Maasgouw
Maassluis;7;21,1;1;3;0;0;;;WAAR;Maassluis
Maastricht;146;120,1;9;7,4;28;23;;;WAAR;Maastricht
Medemblik;1;2,2;0;0;0;0;;;WAAR;Medemblik
Meerssen;15;79,7;0;0;1;5,3;;;WAAR;Meerssen
Meierijstad;36;44,3;1;1,2;5;6,2;;;WAAR;Meierijstad
Meppel;1;2,9;0;0;0;0;;;WAAR;Meppel
Middelburg (Z.);7;14,3;1;2;3;6,1;;;WAAR;Middelburg (Z.)
Midden-Delfland;3;15,5;0;0;0;0;;;WAAR;Midden-Delfland
Midden-Drenthe;2;6;0;0;0;0;;;WAAR;Midden-Drenthe
Midden-Groningen;2;3,3;0;0;0;0;;;WAAR;Midden-Groningen
Mill en Sint Hubert;2;18,3;0;0;1;9,1;;;WAAR;Mill en Sint Hubert
Moerdijk;10;26,9;0;0;0;0;;;WAAR;Moerdijk
Molenlanden;9;20,5;0;0;2;4,6;;;WAAR;Molenlanden
Montferland;4;11,1;1;2,8;4;11,1;;;WAAR;Montferland
Montfoort;4;28,7;0;0;1;7,2;;;WAAR;Montfoort
Mook en Middelaar;2;25,5;0;0;1;12,7;;;WAAR;Mook en Middelaar
Neder-Betuwe;13;53,4;2;8,2;2;8,2;;;WAAR;Neder-Betuwe
Nederweert;0;0;0;0;0;0;;;WAAR;Nederweert
Nieuwegein;14;22,1;0;0;0;0;;;WAAR;Nieuwegein
Nieuwkoop;1;3,5;0;0;0;0;;;WAAR;Nieuwkoop
Nijkerk;3;6,9;0;0;0;0;;;WAAR;Nijkerk
Nijmegen;44;24,8;2;1,1;9;5,1;;;WAAR;Nijmegen
Nissewaard;17;19,9;3;3,5;2;2,3;;;WAAR;Nissewaard
Noardeast-Fryslan;2;4,4;0;0;0;0;;;WAAR;Noardeast-Fryslan
Noord-Beveland;1;13,5;0;0;0;0;;;WAAR;Noord-Beveland
Noordenveld;0;0;0;0;0;0;;;WAAR;Noordenveld
Noordoostpolder;10;21,1;0;0;1;2,1;;;WAAR;Noordoostpolder
Noordwijk;6;13,8;2;4,6;0;0;;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;8;34,2;1;4,3;1;4,3;;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;22;79;2;7,2;0;0;;;WAAR;Nunspeet
Oegstgeest;3;12,1;0;0;0;0;;;WAAR;Oegstgeest
Oirschot;1;5,3;0;0;2;10,7;;;WAAR;Oirschot
Oisterwijk;3;11,4;2;7,6;2;7,6;;;WAAR;Oisterwijk
Oldambt;1;2,6;0;0;0;0;;;WAAR;Oldambt
Oldebroek;11;46,5;0;0;3;12,7;;;WAAR;Oldebroek
Oldenzaal;2;6,3;0;0;0;0;;;WAAR;Oldenzaal
Olst-Wijhe;4;21,9;0;0;0;0;;;WAAR;Olst-Wijhe
Ommen;1;5,6;0;0;0;0;;;WAAR;Ommen
Oost Gelre;4;13,5;2;6,8;1;3,4;;;WAAR;Oost Gelre
Oosterhout;19;33,9;3;5,4;3;5,4;;;WAAR;Oosterhout
Ooststellingwerf;0;0;0;0;0;0;;;WAAR;Ooststellingwerf
Oostzaan;0;0;0;0;1;10,3;;;WAAR;Oostzaan
Opmeer;0;0;0;0;0;0;;;WAAR;Opmeer
Opsterland;0;0;0;0;0;0;;;WAAR;Opsterland
Oss;21;22,8;0;0;1;1,1;;;WAAR;Oss
Oude IJsselstreek;4;10,2;1;2,5;0;0;;;WAAR;Oude IJsselstreek
Ouder-Amstel;3;21,4;0;0;0;0;;;WAAR;Ouder-Amstel
Oudewater;3;29,3;1;9,8;0;0;;;WAAR;Oudewater
Overbetuwe;7;14,6;0;0;1;2,1;;;WAAR;Overbetuwe
Papendrecht;6;18,7;1;3,1;0;0;;;WAAR;Papendrecht
Peel en Maas;6;13,8;1;2,3;2;4,6;;;WAAR;Peel en Maas
Pekela;0;0;0;0;0;0;;;WAAR;Pekela
Pijnacker-Nootdorp;9;16,3;2;3,6;3;5,4;;;WAAR;Pijnacker-Nootdorp
Purmerend;12;14,8;0;0;3;3,7;;;WAAR;Purmerend
Putten;3;12,4;0;0;0;0;;;WAAR;Putten
Raalte;9;23,9;1;2,7;1;2,7;;;WAAR;Raalte
Reimerswaal;1;4,4;0;0;0;0;;;WAAR;Reimerswaal
Renkum;3;9,5;0;0;0;0;;;WAAR;Renkum
Renswoude;0;0;0;0;0;0;;;WAAR;Renswoude
Reusel-De Mierden;2;15,3;1;7,6;0;0;;;WAAR;Reusel-De Mierden
Rheden;39;89,1;2;4,6;0;0;;;WAAR;Rheden
Rhenen;8;39,8;1;5;2;9,9;;;WAAR;Rhenen
Ridderkerk;29;62,8;1;2,2;2;4,3;;;WAAR;Ridderkerk
Rijssen-Holten;34;89,1;2;5,2;7;18,3;;;WAAR;Rijssen-Holten
Rijswijk (ZH.);11;20,2;0;0;1;1,8;;;WAAR;Rijswijk (ZH.)
Roerdalen;1;4,9;0;0;0;0;;;WAAR;Roerdalen
Roermond;6;10,3;0;0;2;3,4;;;WAAR;Roermond
Roosendaal;15;19,4;0;0;2;2,6;;;WAAR;Roosendaal
Rotterdam;278;42,7;40;6,1;60;9,2;;;WAAR;Rotterdam
Rozendaal;0;0;0;0;0;0;;;WAAR;Rozendaal
Rucphen;12;52,5;1;4,4;2;8,7;;;WAAR;Rucphen
Schagen;2;4,3;0;0;3;6,5;;;WAAR;Schagen
Scherpenzeel;4;40,5;0;0;0;0;;;WAAR;Scherpenzeel
Schiedam;32;40,6;9;11,4;7;8,9;;;WAAR;Schiedam
Schiermonnikoog;0;0;0;0;0;0;;;WAAR;Schiermonnikoog
Schouwen-Duiveland;26;76,8;0;0;2;5,9;;;WAAR;Schouwen-Duiveland
's-Gravenhage (gemeente);183;33,5;20;3,7;37;6,8;;;WAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;35;22,6;0;0;6;3,9;;;WAAR;'s-Hertogenbosch
Simpelveld;2;18,9;1;9,5;1;9,5;;;WAAR;Simpelveld
Sint Anthonis;1;8,6;0;0;1;8,6;;;WAAR;Sint Anthonis
Sint-Michielsgestel;9;30,8;0;0;0;0;;;WAAR;Sint-Michielsgestel
Sittard-Geleen;44;47,6;3;3,2;5;5,4;;;WAAR;Sittard-Geleen
Sliedrecht;5;19,8;1;4;1;4;;;WAAR;Sliedrecht
Sluis;0;0;0;0;0;0;;;WAAR;Sluis
Smallingerland;4;7,1;0;0;0;0;;;WAAR;Smallingerland
Soest;4;8,6;1;2,1;2;4,3;;;WAAR;Soest
Someren;8;41,3;1;5,2;0;0;;;WAAR;Someren
Son en Breugel;1;5,8;0;0;0;0;;;WAAR;Son en Breugel
Stadskanaal;2;6,3;0;0;0;0;;;WAAR;Stadskanaal
Staphorst;4;23,3;0;0;0;0;;;WAAR;Staphorst
Stede Broec;1;4,6;0;0;0;0;;;WAAR;Stede Broec
Steenbergen;9;36,9;0;0;2;8,2;;;WAAR;Steenbergen
Steenwijkerland;4;9,1;0;0;0;0;;;WAAR;Steenwijkerland
Stein (L.);7;28;0;0;0;0;;;WAAR;Stein (L.)
Stichtse Vecht;12;18,5;1;1,5;2;3,1;;;WAAR;Stichtse Vecht
Sudwest-Fryslan;30;33,3;0;0;0;0;;;WAAR;Sudwest-Fryslan
Terneuzen;5;9,2;1;1,8;0;0;;;WAAR;Terneuzen
Terschelling;0;0;0;0;0;0;;;WAAR;Terschelling
Texel;0;0;0;0;1;7,4;;;WAAR;Texel
Teylingen;5;13,4;0;0;1;2,7;;;WAAR;Teylingen
Tholen;7;27,2;2;7,8;1;3,9;;;WAAR;Tholen
Tiel;10;23,7;1;2,4;1;2,4;;;WAAR;Tiel
Tilburg;52;23,7;1;0,5;6;2,7;;;WAAR;Tilburg
Tubbergen;4;18,8;1;4,7;0;0;;;WAAR;Tubbergen
Twenterand;3;8,9;0;0;0;0;;;WAAR;Twenterand
Tynaarlo;1;3;0;0;0;0;;;WAAR;Tynaarlo
Tytsjerksteradiel;0;0;0;0;0;0;;;WAAR;Tytsjerksteradiel
Uden;7;16,6;0;0;1;2,4;;;WAAR;Uden
Uitgeest;1;7,3;0;0;0;0;;;WAAR;Uitgeest
Uithoorn;1;3,4;0;0;0;0;;;WAAR;Uithoorn
Urk;10;47,5;1;4,8;0;0;;;WAAR;Urk
Utrecht (gemeente);118;33;15;4,2;23;6,4;;;WAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;8;16,1;0;0;1;2;;;WAAR;Utrechtse Heuvelrug
Vaals;2;19,8;0;0;0;0;;;WAAR;Vaals
Valkenburg aan de Geul;11;67,2;0;0;0;0;;;WAAR;Valkenburg aan de Geul
Valkenswaard;16;51,3;0;0;3;9,6;;;WAAR;Valkenswaard
Veendam;0;0;0;0;0;0;;;WAAR;Veendam
Veenendaal;10;15;0;0;0;0;;;WAAR;Veenendaal
Veere;1;4,6;0;0;0;0;;;WAAR;Veere
Veldhoven;9;19,8;0;0;0;0;;;WAAR;Veldhoven
Velsen;7;10,2;0;0;2;2,9;;;WAAR;Velsen
Venlo;9;8,8;1;1;6;5,9;;;WAAR;Venlo
Venray;2;4,6;0;0;1;2,3;;;WAAR;Venray
Vijfheerenlanden;24;42,2;2;3,5;2;3,5;;;WAAR;Vijfheerenlanden
Vlaardingen;23;31,3;4;5,4;7;9,5;;;WAAR;Vlaardingen
Vlieland;0;0;0;0;0;0;;;WAAR;Vlieland
Vlissingen;2;4,5;0;0;0;0;;;WAAR;Vlissingen
Voerendaal;3;24;0;0;0;0;;;WAAR;Voerendaal
Voorschoten;19;74,2;0;0;4;15,6;;;WAAR;Voorschoten
Voorst;1;4,1;0;0;0;0;;;WAAR;Voorst
Vught;2;7,5;0;0;2;7,5;;;WAAR;Vught
Waadhoeke;9;19,5;0;0;2;4,3;;;WAAR;Waadhoeke
