Updated;Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
19-5-2020;Ameland;0;0;0;0;0;0
2-6-2020;Ameland;0;0;0;0;0;0
16-6-2020;Ameland;0;0;0;0;0;0
30-6-2020;Ameland;0;0;0;0;0;0
14-7-2020;Ameland;0;0;0;0;0;0
28-7-2020;Ameland;0;0;0;0;0;0
11-8-2020;Ameland;0;0;0;0;0;0
10-3-2020;Amersfoort;3;1,9;2;1,3;0;0
25-3-2020;Amersfoort;45;28,6;18;11,4;4;2,5
7-4-2020;Amersfoort;54;34,3;29;18,4;9;5,7
21-4-2020;Amersfoort;63;40,1;5;3,2;6;3,8
5-5-2020;Amersfoort;25;15,9;1;0,6;4;2,5
19-5-2020;Amersfoort;15;9,5;2;1,3;0;0
2-6-2020;Amersfoort;7;4,5;0;0;0;0
16-6-2020;Amersfoort;11;7;0;0;0;0
30-6-2020;Amersfoort;6;3,8;1;0,6;0;0
14-7-2020;Amersfoort;14;8,9;0;0;0;0
28-7-2020;Amersfoort;22;14;0;0;0;0
11-8-2020;Amersfoort;24;15,3;0;0;0;0
10-3-2020;Amstelveen;2;2,2;0;0;0;0
25-3-2020;Amstelveen;48;52,4;13;14,2;0;0
7-4-2020;Amstelveen;112;122,2;31;33,8;19;20,7
21-4-2020;Amstelveen;106;115,6;11;12;12;13,1
5-5-2020;Amstelveen;28;30,5;0;0;4;4,4
19-5-2020;Amstelveen;7;7,6;0;0;0;0
2-6-2020;Amstelveen;4;4,4;1;1,1;0;0
16-6-2020;Amstelveen;14;15,3;1;1,1;0;0
30-6-2020;Amstelveen;7;7,6;0;0;0;0
14-7-2020;Amstelveen;4;4,4;0;0;0;0
28-7-2020;Amstelveen;6;6,5;0;0;0;0
11-8-2020;Amstelveen;53;57,8;0;0;0;0
10-3-2020;Amsterdam;16;1,8;3;0,3;0;0
25-3-2020;Amsterdam;360;41,2;135;15,5;8;0,9
7-4-2020;Amsterdam;606;69,4;256;29,3;66;7,6
21-4-2020;Amsterdam;661;75,7;126;14,4;88;10,1
5-5-2020;Amsterdam;427;48,9;46;5,3;62;7,1
19-5-2020;Amsterdam;199;22,8;25;2,9;35;4
2-6-2020;Amsterdam;94;10,8;6;0,7;19;2,2
16-6-2020;Amsterdam;208;23,8;2;0,2;5;0,6
30-6-2020;Amsterdam;102;11,7;1;0,1;1;0,1
14-7-2020;Amsterdam;76;8,7;1;0,1;0;0
28-7-2020;Amsterdam;306;35,1;9;1;0;0
11-8-2020;Amsterdam;1123;128,7;12;1,4;0;0
10-3-2020;Apeldoorn;1;0,6;0;0;0;0
25-3-2020;Apeldoorn;35;21,4;24;14,7;2;1,2
7-4-2020;Apeldoorn;104;63,5;38;23,2;13;7,9
21-4-2020;Apeldoorn;167;101,9;18;11;19;11,6
5-5-2020;Apeldoorn;68;41,5;7;4,3;13;7,9
19-5-2020;Apeldoorn;12;7,3;0;0;3;1,8
2-6-2020;Apeldoorn;26;15,9;1;0,6;0;0
16-6-2020;Apeldoorn;27;16,5;0;0;0;0
30-6-2020;Apeldoorn;12;7,3;0;0;0;0
14-7-2020;Apeldoorn;5;3,1;0;0;0;0
28-7-2020;Apeldoorn;8;4,9;1;0,6;0;0
11-8-2020;Apeldoorn;23;14;0;0;0;0
10-3-2020;Appingedam;0;0;0;0;0;0
25-3-2020;Appingedam;0;0;0;0;0;0
7-4-2020;Appingedam;2;17,2;2;17,2;0;0
21-4-2020;Appingedam;2;17,2;1;8,6;0;0
5-5-2020;Appingedam;1;8,6;0;0;0;0
19-5-2020;Appingedam;0;0;0;0;0;0
2-6-2020;Appingedam;0;0;0;0;0;0
16-6-2020;Appingedam;0;0;0;0;0;0
30-6-2020;Appingedam;0;0;0;0;0;0
14-7-2020;Appingedam;0;0;0;0;0;0
28-7-2020;Appingedam;0;0;0;0;0;0
11-8-2020;Appingedam;0;0;0;0;0;0
10-3-2020;Arnhem;3;1,9;1;0,6;0;0
25-3-2020;Arnhem;24;14,9;15;9,3;1;0,6
7-4-2020;Arnhem;83;51,4;34;21,1;7;4,3
21-4-2020;Arnhem;110;68,2;9;5,6;12;7,4
5-5-2020;Arnhem;46;28,5;6;3,7;3;1,9
19-5-2020;Arnhem;15;9,3;0;0;3;1,9
2-6-2020;Arnhem;60;37,2;1;0,6;2;1,2
16-6-2020;Arnhem;52;32,2;1;0,6;4;2,5
30-6-2020;Arnhem;11;6,8;0;0;0;0
14-7-2020;Arnhem;5;3,1;0;0;0;0
28-7-2020;Arnhem;15;9,3;0;0;0;0
11-8-2020;Arnhem;29;18;0;0;0;0
10-3-2020;Assen;0;0;0;0;0;0
25-3-2020;Assen;5;7,3;3;4,4;0;0
7-4-2020;Assen;20;29,2;8;11,7;2;2,9
21-4-2020;Assen;11;16;1;1,5;0;0
5-5-2020;Assen;6;8,7;0;0;0;0
19-5-2020;Assen;0;0;0;0;0;0
2-6-2020;Assen;0;0;0;0;0;0
16-6-2020;Assen;4;5,8;0;0;0;0
30-6-2020;Assen;0;0;0;0;0;0
14-7-2020;Assen;1;1,5;0;0;0;0
28-7-2020;Assen;3;4,4;0;0;0;0
11-8-2020;Assen;3;4,4;0;0;0;0
10-3-2020;Asten;0;0;1;6;0;0
25-3-2020;Asten;6;35,9;2;12;2;12
7-4-2020;Asten;23;137,6;9;53,8;2;12
21-4-2020;Asten;33;197,4;4;23,9;5;29,9
5-5-2020;Asten;11;65,8;1;6;2;12
19-5-2020;Asten;0;0;0;0;1;6
2-6-2020;Asten;1;6;0;0;0;0
16-6-2020;Asten;3;17,9;0;0;0;0
30-6-2020;Asten;0;0;0;0;0;0
14-7-2020;Asten;0;0;0;0;0;0
28-7-2020;Asten;1;6;0;0;0;0
11-8-2020;Asten;2;12;0;0;0;0
10-3-2020;Baarle-Nassau;0;0;0;0;0;0
25-3-2020;Baarle-Nassau;4;58,3;2;29,2;1;14,6
7-4-2020;Baarle-Nassau;11;160,4;5;72,9;0;0
21-4-2020;Baarle-Nassau;3;43,7;1;14,6;0;0
5-5-2020;Baarle-Nassau;5;72,9;0;0;1;14,6
19-5-2020;Baarle-Nassau;2;29,2;0;0;0;0
2-6-2020;Baarle-Nassau;0;0;0;0;0;0
16-6-2020;Baarle-Nassau;0;0;0;0;0;0
30-6-2020;Baarle-Nassau;0;0;0;0;0;0
14-7-2020;Baarle-Nassau;0;0;0;0;0;0
28-7-2020;Baarle-Nassau;0;0;0;0;0;0
11-8-2020;Baarle-Nassau;2;29,2;0;0;0;0
10-3-2020;Baarn;0;0;0;0;0;0
25-3-2020;Baarn;4;16,1;1;4;0;0
7-4-2020;Baarn;16;64,3;7;28,1;0;0
21-4-2020;Baarn;18;72,4;2;8;5;20,1
5-5-2020;Baarn;15;60,3;1;4;4;16,1
19-5-2020;Baarn;2;8;0;0;0;0
2-6-2020;Baarn;2;8;0;0;0;0
16-6-2020;Baarn;3;12,1;0;0;0;0
30-6-2020;Baarn;1;4;0;0;0;0
14-7-2020;Baarn;2;8;0;0;0;0
28-7-2020;Baarn;1;4;0;0;0;0
11-8-2020;Baarn;3;12,1;0;0;0;0
10-3-2020;Barendrecht;1;2,1;1;2,1;0;0
25-3-2020;Barendrecht;15;30,8;10;20,5;1;2,1
7-4-2020;Barendrecht;41;84,2;18;37;2;4,1
21-4-2020;Barendrecht;36;73,9;4;8,2;6;12,3
5-5-2020;Barendrecht;22;45,2;5;10,3;2;4,1
19-5-2020;Barendrecht;7;14,4;2;4,1;1;2,1
2-6-2020;Barendrecht;6;12,3;0;0;0;0
16-6-2020;Barendrecht;10;20,5;0;0;0;0
30-6-2020;Barendrecht;4;8,2;0;0;0;0
14-7-2020;Barendrecht;0;0;0;0;0;0
28-7-2020;Barendrecht;7;14,4;0;0;0;0
11-8-2020;Barendrecht;29;59,5;0;0;0;0
10-3-2020;Barneveld;0;0;0;0;0;0
25-3-2020;Barneveld;12;20,3;2;3,4;2;3,4
7-4-2020;Barneveld;41;69,4;9;15,2;0;0
21-4-2020;Barneveld;43;72,8;6;10,2;4;6,8
5-5-2020;Barneveld;13;22;1;1,7;0;0
19-5-2020;Barneveld;13;22;0;0;0;0
2-6-2020;Barneveld;5;8,5;0;0;0;0
16-6-2020;Barneveld;4;6,8;0;0;0;0
30-6-2020;Barneveld;6;10,2;0;0;0;0
14-7-2020;Barneveld;2;3,4;0;0;0;0
28-7-2020;Barneveld;1;1,7;0;0;0;0
11-8-2020;Barneveld;7;11,8;0;0;0;0
10-3-2020;Beek (L.);0;0;0;0;0;0
25-3-2020;Beek (L.);13;81,9;7;44,1;0;0
7-4-2020;Beek (L.);9;56,7;5;31,5;2;12,6
21-4-2020;Beek (L.);15;94,5;3;18,9;1;6,3
5-5-2020;Beek (L.);5;31,5;0;0;2;12,6
19-5-2020;Beek (L.);1;6,3;0;0;0;0
2-6-2020;Beek (L.);1;6,3;0;0;0;0
16-6-2020;Beek (L.);0;0;1;6,3;1;6,3
30-6-2020;Beek (L.);0;0;0;0;0;0
14-7-2020;Beek (L.);0;0;0;0;0;0
28-7-2020;Beek (L.);0;0;0;0;0;0
11-8-2020;Beek (L.);0;0;0;0;0;0
10-3-2020;Beekdaelen;8;22,3;2;5,6;0;0
25-3-2020;Beekdaelen;22;61,2;19;52,9;5;13,9
7-4-2020;Beekdaelen;33;91,8;15;41,7;6;16,7
21-4-2020;Beekdaelen;53;147,5;8;22,3;8;22,3
5-5-2020;Beekdaelen;39;108,5;5;13,9;2;5,6
19-5-2020;Beekdaelen;7;19,5;1;2,8;1;2,8
2-6-2020;Beekdaelen;8;22,3;2;5,6;0;0
16-6-2020;Beekdaelen;1;2,8;0;0;1;2,8
30-6-2020;Beekdaelen;0;0;0;0;0;0
14-7-2020;Beekdaelen;0;0;0;0;0;0
28-7-2020;Beekdaelen;1;2,8;0;0;0;0
11-8-2020;Beekdaelen;2;5,6;0;0;0;0
10-3-2020;Beemster;0;0;0;0;0;0
25-3-2020;Beemster;2;20;1;10;1;10
7-4-2020;Beemster;5;49,9;3;29,9;0;0
21-4-2020;Beemster;1;10;0;0;0;0
5-5-2020;Beemster;1;10;0;0;0;0
19-5-2020;Beemster;0;0;0;0;0;0
2-6-2020;Beemster;4;39,9;0;0;0;0
16-6-2020;Beemster;1;10;0;0;0;0
30-6-2020;Beemster;0;0;0;0;0;0
14-7-2020;Beemster;0;0;0;0;0;0
28-7-2020;Beemster;0;0;0;0;0;0
11-8-2020;Beemster;13;129,7;0;0;0;0
10-3-2020;Beesel;0;0;0;0;0;0
25-3-2020;Beesel;8;59,3;6;44,5;0;0
7-4-2020;Beesel;15;111,3;10;74,2;6;44,5
21-4-2020;Beesel;17;126,1;4;29,7;2;14,8
5-5-2020;Beesel;1;7,4;0;0;0;0
19-5-2020;Beesel;0;0;0;0;0;0
2-6-2020;Beesel;0;0;0;0;0;0
16-6-2020;Beesel;3;22,3;0;0;0;0
30-6-2020;Beesel;0;0;0;0;0;0
14-7-2020;Beesel;0;0;0;0;0;0
28-7-2020;Beesel;1;7,4;0;0;0;0
11-8-2020;Beesel;0;0;0;0;0;0
10-3-2020;Berg en Dal;3;8,6;0;0;0;0
25-3-2020;Berg en Dal;34;97,2;6;17,1;1;2,9
7-4-2020;Berg en Dal;52;148,6;17;48,6;10;28,6
21-4-2020;Berg en Dal;49;140;4;11,4;2;5,7
5-5-2020;Berg en Dal;10;28,6;0;0;2;5,7
19-5-2020;Berg en Dal;5;14,3;1;2,9;1;2,9
2-6-2020;Berg en Dal;11;31,4;0;0;0;0
16-6-2020;Berg en Dal;15;42,9;0;0;0;0
30-6-2020;Berg en Dal;1;2,9;0;0;0;0
14-7-2020;Berg en Dal;1;2,9;0;0;0;0
28-7-2020;Berg en Dal;1;2,9;0;0;0;0
11-8-2020;Berg en Dal;6;17,1;0;0;0;0
10-3-2020;Bergeijk;1;5,4;0;0;0;0
25-3-2020;Bergeijk;9;48,3;5;26,8;1;5,4
7-4-2020;Bergeijk;17;91,2;8;42,9;3;16,1
21-4-2020;Bergeijk;19;102;3;16,1;1;5,4
5-5-2020;Bergeijk;5;26,8;2;10,7;0;0
19-5-2020;Bergeijk;4;21,5;1;5,4;0;0
2-6-2020;Bergeijk;0;0;0;0;0;0
16-6-2020;Bergeijk;3;16,1;0;0;0;0
30-6-2020;Bergeijk;0;0;0;0;0;0
14-7-2020;Bergeijk;0;0;0;0;0;0
28-7-2020;Bergeijk;0;0;0;0;0;0
11-8-2020;Bergeijk;1;5,4;0;0;0;0
10-3-2020;Bergen (L.);0;0;0;0;0;0
25-3-2020;Bergen (L.);1;7,6;1;7,6;0;0
7-4-2020;Bergen (L.);7;53,5;5;38,2;1;7,6
21-4-2020;Bergen (L.);10;76,4;0;0;1;7,6
5-5-2020;Bergen (L.);4;30,6;0;0;0;0
19-5-2020;Bergen (L.);1;7,6;0;0;0;0
2-6-2020;Bergen (L.);0;0;0;0;0;0
16-6-2020;Bergen (L.);2;15,3;0;0;0;0
30-6-2020;Bergen (L.);0;0;0;0;0;0
14-7-2020;Bergen (L.);0;0;0;0;0;0
28-7-2020;Bergen (L.);0;0;0;0;0;0
11-8-2020;Bergen (L.);0;0;0;0;0;0
10-3-2020;Bergen (NH.);0;0;0;0;0;0
25-3-2020;Bergen (NH.);12;40,2;8;26,8;0;0
7-4-2020;Bergen (NH.);25;83,8;8;26,8;1;3,4
21-4-2020;Bergen (NH.);12;40,2;0;0;2;6,7
5-5-2020;Bergen (NH.);3;10,1;0;0;0;0
19-5-2020;Bergen (NH.);22;73,7;0;0;1;3,4
2-6-2020;Bergen (NH.);12;40,2;0;0;0;0
16-6-2020;Bergen (NH.);0;0;0;0;0;0
30-6-2020;Bergen (NH.);0;0;0;0;0;0
14-7-2020;Bergen (NH.);0;0;0;0;0;0
28-7-2020;Bergen (NH.);12;40,2;0;0;0;0
11-8-2020;Bergen (NH.);3;10,1;0;0;0;0
10-3-2020;Bergen op Zoom;1;1,5;2;3;0;0
25-3-2020;Bergen op Zoom;11;16,3;6;8,9;2;3
7-4-2020;Bergen op Zoom;25;37;7;10,4;2;3
21-4-2020;Bergen op Zoom;44;65,2;3;4,4;3;4,4
5-5-2020;Bergen op Zoom;29;43;1;1,5;2;3
19-5-2020;Bergen op Zoom;31;45,9;1;1,5;1;1,5
2-6-2020;Bergen op Zoom;22;32,6;0;0;2;3
16-6-2020;Bergen op Zoom;8;11,9;0;0;0;0
30-6-2020;Bergen op Zoom;1;1,5;0;0;1;1,5
14-7-2020;Bergen op Zoom;4;5,9;0;0;0;0
28-7-2020;Bergen op Zoom;11;16,3;0;0;0;0
11-8-2020;Bergen op Zoom;163;241,5;2;3;0;0
10-3-2020;Berkelland;0;0;0;0;0;0
25-3-2020;Berkelland;3;6,9;1;2,3;0;0
7-4-2020;Berkelland;12;27,4;6;13,7;0;0
21-4-2020;Berkelland;44;100,6;3;6,9;4;9,1
5-5-2020;Berkelland;12;27,4;1;2,3;3;6,9
19-5-2020;Berkelland;3;6,9;0;0;0;0
2-6-2020;Berkelland;15;34,3;0;0;0;0
16-6-2020;Berkelland;8;18,3;0;0;0;0
30-6-2020;Berkelland;0;0;0;0;0;0
14-7-2020;Berkelland;0;0;0;0;0;0
28-7-2020;Berkelland;0;0;0;0;0;0
11-8-2020;Berkelland;1;2,3;0;0;0;0
10-3-2020;Bernheze;2;6,4;2;6,4;0;0
25-3-2020;Bernheze;81;259,3;46;147,2;11;35,2
7-4-2020;Bernheze;89;284,9;26;83,2;25;80
21-4-2020;Bernheze;63;201,7;9;28,8;18;57,6
5-5-2020;Bernheze;28;89,6;3;9,6;8;25,6
19-5-2020;Bernheze;3;9,6;0;0;1;3,2
2-6-2020;Bernheze;8;25,6;0;0;1;3,2
16-6-2020;Bernheze;2;6,4;0;0;0;0
30-6-2020;Bernheze;5;16;0;0;0;0
14-7-2020;Bernheze;1;3,2;0;0;0;0
28-7-2020;Bernheze;0;0;0;0;0;0
11-8-2020;Bernheze;3;9,6;0;0;0;0
10-3-2020;Best;3;10;2;6,7;0;0
25-3-2020;Best;19;63,4;12;40;3;10
7-4-2020;Best;23;76,7;11;36,7;3;10
21-4-2020;Best;6;20;0;0;4;13,3
5-5-2020;Best;15;50;0;0;0;0
19-5-2020;Best;6;20;0;0;0;0
2-6-2020;Best;4;13,3;0;0;0;0
16-6-2020;Best;5;16,7;0;0;0;0
30-6-2020;Best;0;0;0;0;0;0
14-7-2020;Best;1;3,3;0;0;0;0
28-7-2020;Best;0;0;0;0;0;0
11-8-2020;Best;7;23,3;0;0;0;0
10-3-2020;Beuningen;3;11,6;0;0;0;0
25-3-2020;Beuningen;12;46,3;3;11,6;1;3,9
7-4-2020;Beuningen;21;81,1;14;54,1;3;11,6
21-4-2020;Beuningen;16;61,8;1;3,9;0;0
5-5-2020;Beuningen;10;38,6;1;3,9;1;3,9
19-5-2020;Beuningen;7;27;0;0;0;0
2-6-2020;Beuningen;4;15,4;0;0;0;0
16-6-2020;Beuningen;1;3,9;0;0;0;0
30-6-2020;Beuningen;0;0;0;0;0;0
14-7-2020;Beuningen;1;3,9;0;0;0;0
28-7-2020;Beuningen;3;11,6;0;0;0;0
11-8-2020;Beuningen;5;19,3;0;0;0;0
10-3-2020;Beverwijk;4;9,6;2;4,8;0;0
25-3-2020;Beverwijk;7;16,8;3;7,2;0;0
7-4-2020;Beverwijk;35;84,1;5;12;3;7,2
21-4-2020;Beverwijk;21;50,4;3;7,2;4;9,6
5-5-2020;Beverwijk;2;4,8;0;0;3;7,2
19-5-2020;Beverwijk;5;12;0;0;0;0
2-6-2020;Beverwijk;3;7,2;0;0;0;0
16-6-2020;Beverwijk;4;9,6;0;0;0;0
30-6-2020;Beverwijk;1;2,4;0;0;0;0
14-7-2020;Beverwijk;1;2,4;0;0;0;0
28-7-2020;Beverwijk;1;2,4;0;0;0;0
11-8-2020;Beverwijk;3;7,2;0;0;0;0
10-3-2020;Bladel;0;0;0;0;0;0
25-3-2020;Bladel;15;73,6;7;34,3;3;14,7
7-4-2020;Bladel;19;93,2;8;39,2;4;19,6
21-4-2020;Bladel;15;73,6;3;14,7;0;0
5-5-2020;Bladel;9;44,1;2;9,8;1;4,9
19-5-2020;Bladel;6;29,4;1;4,9;0;0
2-6-2020;Bladel;3;14,7;0;0;0;0
16-6-2020;Bladel;6;29,4;0;0;0;0
30-6-2020;Bladel;5;24,5;0;0;0;0
14-7-2020;Bladel;0;0;0;0;0;0
28-7-2020;Bladel;0;0;0;0;0;0
11-8-2020;Bladel;4;19,6;0;0;0;0
10-3-2020;Blaricum;1;8,7;0;0;0;0
25-3-2020;Blaricum;5;43,3;1;8,7;0;0
7-4-2020;Blaricum;5;43,3;3;26;2;17,3
21-4-2020;Blaricum;12;104;2;17,3;0;0
5-5-2020;Blaricum;3;26;1;8,7;0;0
19-5-2020;Blaricum;0;0;0;0;0;0
2-6-2020;Blaricum;2;17,3;0;0;0;0
16-6-2020;Blaricum;1;8,7;0;0;0;0
30-6-2020;Blaricum;3;26;0;0;0;0
14-7-2020;Blaricum;1;8,7;0;0;0;0
28-7-2020;Blaricum;0;0;0;0;0;0
