Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
\'s-Gravenhage (gemeente);483;88,5;4;0,7;2;0,4
\'s-Hertogenbosch;26;16,8;0;0;0;0
Simpelveld;0;0;0;0;0;0
Sint Anthonis;1;8,6;0;0;0;0
Sint-Michielsgestel;4;13,7;0;0;0;0
Sittard-Geleen;11;11,9;0;0;0;0
Sliedrecht;3;11,9;0;0;0;0
Sluis;3;12,9;0;0;0;0
Smallingerland;1;1,8;0;0;0;0
Soest;2;4,3;0;0;0;0
Someren;1;5,2;0;0;0;0
Son en Breugel;2;11,5;0;0;0;0
Stadskanaal;1;3,2;0;0;0;0
Staphorst;1;5,8;0;0;0;0
Stede Broec;0;0;0;0;0;0
Steenbergen;7;28,7;0;0;0;0
Steenwijkerland;2;4,5;0;0;0;0
Stein (L.);0;0;0;0;0;0
Stichtse Vecht;17;26,2;0;0;1;1,5
Súdwest-Fryslân;3;3,3;0;0;0;0
Terneuzen;2;3,7;0;0;0;0
Terschelling;0;0;0;0;0;0
Texel;0;0;0;0;0;0
Teylingen;9;24;1;2,7;0;0
Tholen;8;31,1;0;0;0;0
Tiel;5;11,9;0;0;1;2,4
Tilburg;64;29,1;1;0,5;0;0
Tubbergen;0;0;0;0;0;0
Twenterand;1;3;0;0;0;0
Tynaarlo;1;3;0;0;0;0
Tytsjerksteradiel;2;6,2;0;0;0;0
Uden;6;14,2;0;0;0;0
Uitgeest;2;14,6;0;0;0;0
Uithoorn;10;33,9;0;0;0;0
Urk;1;4,8;0;0;0;0
Utrecht (gemeente);230;64,3;1;0,3;0;0
Utrechtse Heuvelrug;7;14,1;0;0;0;0
Vaals;0;0;0;0;0;0
Valkenburg aan de Geul;0;0;0;0;0;0
Valkenswaard;7;22,4;0;0;0;0
Veendam;3;11;0;0;0;0
Veenendaal;4;6;0;0;0;0
Veere;6;27,4;0;0;0;0
Veldhoven;10;22;0;0;0;0
Velsen;13;18,9;0;0;0;0
Venlo;23;22,6;0;0;0;0
Venray;6;13,8;0;0;0;0
Vijfheerenlanden;11;19,4;0;0;0;0
Vlaardingen;69;94;0;0;0;0
Vlieland;0;0;0;0;0;0
Vlissingen;21;47,3;0;0;0;0
Voerendaal;0;0;0;0;0;0
Voorschoten;4;15,6;0;0;0;0
Voorst;4;16,3;0;0;0;0
Vught;5;18,8;1;3,8;0;0
Waadhoeke;0;0;0;0;0;0
Waalre;1;5,7;0;0;0;0
Waalwijk;16;32,9;0;0;0;0
Waddinxveen;18;61,5;0;0;0;0
Wageningen;5;12,6;0;0;0;0
Wassenaar;10;38;0;0;0;0
Waterland;3;17,2;0;0;0;0
Weert;3;6;0;0;0;0
Weesp;4;20,3;0;0;0;0
West Betuwe;2;3,9;0;0;0;0
West Maas en Waal;0;0;0;0;0;0
Westerkwartier;0;0;0;0;0;0
Westerveld;1;5,1;0;0;0;0
Westervoort;2;13,4;0;0;0;0
Westerwolde;1;3,9;0;0;0;0
Westland;61;55,3;1;0,9;0;0
Weststellingwerf;1;3,9;0;0;0;0
Westvoorne;5;33,9;0;0;0;0
Wierden;0;0;0;0;0;0
Wijchen;4;9,7;0;0;0;0
Wijdemeren;6;24,6;0;0;0;0
Wijk bij Duurstede;1;4,2;0;0;0;0
Winterswijk;0;0;0;0;0;0
Woensdrecht;8;36,6;0;0;0;0
Woerden;11;21;0;0;0;0
Wormerland;2;12,3;0;0;0;0
Woudenberg;1;7,5;0;0;0;0
Zaanstad;54;34,4;1;0,6;0;0
Zaltbommel;6;20,8;1;3,5;0;0
Zandvoort;11;64,3;0;0;0;0
Zeewolde;1;4,4;0;0;0;0
