"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Assen";106;"Assen";68599;"09-12-2020";"22-12-2020";231;336,7;6;8,7;1;1,5
"Asten";743;"Asten";16721;"09-12-2020";"22-12-2020";120;717,7;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"09-12-2020";"22-12-2020";35;510,3;0;0;0;0
"Baarn";308;"Baarn";24868;"09-12-2020";"22-12-2020";216;868,6;1;4;0;0
"Barendrecht";489;"Barendrecht";48714;"09-12-2020";"22-12-2020";266;546;2;4,1;1;2,1
"Barneveld";203;"Barneveld";59082;"09-12-2020";"22-12-2020";1104;1868,6;0;0;3;5,1
"Beek";888;"Beek";15865;"09-12-2020";"22-12-2020";164;1033,7;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"09-12-2020";"22-12-2020";282;784,7;3;8,3;1;2,8
"Beemster";370;"Beemster";10022;"09-12-2020";"22-12-2020";51;508,9;1;10;0;0
"Beesel";889;"Beesel";13482;"09-12-2020";"22-12-2020";102;756,6;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"09-12-2020";"22-12-2020";170;485,8;2;5,7;0;0
"Bergeijk";1724;"Bergeijk";18635;"09-12-2020";"22-12-2020";248;1330,8;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"09-12-2020";"22-12-2020";151;1154;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29839;"09-12-2020";"22-12-2020";154;516,1;0;0;1;3,4
"Bergen op Zoom";748;"Bergen op Zoom";67496;"09-12-2020";"22-12-2020";349;517,1;1;1,5;3;4,4
"Berkelland";1859;"Berkelland";43747;"09-12-2020";"22-12-2020";263;601,2;3;6,9;2;4,6
"Bernheze";1721;"Bernheze";31240;"09-12-2020";"22-12-2020";241;771,4;0;0;0;0
"Best";753;"Best";29988;"09-12-2020";"22-12-2020";332;1107,1;1;3,3;2;6,7
"Beuningen";209;"Beuningen";25890;"09-12-2020";"22-12-2020";186;718,4;0;0;1;3,9
"Beverwijk";375;"Beverwijk";41626;"09-12-2020";"22-12-2020";209;502,1;0;0;1;2,4
"Bladel";1728;"Bladel";20390;"09-12-2020";"22-12-2020";216;1059,3;2;9,8;5;24,5
"Blaricum";376;"Blaricum";11540;"09-12-2020";"22-12-2020";74;641,2;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23571;"09-12-2020";"22-12-2020";106;449,7;0;0;2;8,5
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"09-12-2020";"22-12-2020";366;1049,6;2;5,7;4;11,5
"Boekel";755;"Boekel";10785;"09-12-2020";"22-12-2020";112;1038,5;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"09-12-2020";"22-12-2020";124;485,2;1;3,9;0;0
"Borne";147;"Borne";23312;"09-12-2020";"22-12-2020";258;1106,7;1;4,3;5;21,4
"Borsele";654;"Borsele";22739;"09-12-2020";"22-12-2020";125;549,7;0;0;0;0
"Boxmeer";756;"Boxmeer";29365;"09-12-2020";"22-12-2020";402;1369;1;3,4;1;3,4
"Boxtel";757;"Boxtel";30801;"09-12-2020";"22-12-2020";270;876,6;0;0;3;9,7
"Breda";758;"Breda";184069;"09-12-2020";"22-12-2020";1349;732,9;4;2,2;5;2,7
"Brielle";501;"Brielle";17271;"09-12-2020";"22-12-2020";130;752,7;0;0;1;5,8
"Bronckhorst";1876;"Bronckhorst";36055;"09-12-2020";"22-12-2020";273;757,2;1;2,8;2;5,5
"Brummen";213;"Brummen";20726;"09-12-2020";"22-12-2020";166;800,9;1;4,8;0;0
"Brunssum";899;"Brunssum";27821;"09-12-2020";"22-12-2020";287;1031,6;2;7,2;1;3,6
"Bunnik";312;"Bunnik";15191;"09-12-2020";"22-12-2020";82;539,8;0;0;0;0
"Bunschoten";313;"Bunschoten";21866;"09-12-2020";"22-12-2020";575;2629,7;1;4,6;5;22,9
"Buren";214;"Buren";26749;"09-12-2020";"22-12-2020";249;930,9;1;3,7;0;0
"Capelle aan den IJssel";502;"Capelle aan den IJssel";67122;"09-12-2020";"22-12-2020";436;649,6;1;1,5;6;8,9
"Castricum";383;"Castricum";35986;"09-12-2020";"22-12-2020";255;708,6;0;0;1;2,8
"Coevorden";109;"Coevorden";35297;"09-12-2020";"22-12-2020";241;682,8;3;8,5;1;2,8
"Cranendonck";1706;"Cranendonck";21138;"09-12-2020";"22-12-2020";232;1097,5;3;14,2;1;4,7
"Cuijk";1684;"Cuijk";25130;"09-12-2020";"22-12-2020";198;787,9;0;0;2;8
"Culemborg";216;"Culemborg";28955;"09-12-2020";"22-12-2020";210;725,3;1;3,5;0;0
"Dalfsen";148;"Dalfsen";28587;"09-12-2020";"22-12-2020";208;727,6;0;0;1;3,5
"Dantumadiel";1891;"Dantumadiel";18922;"09-12-2020";"22-12-2020";140;739,9;1;5,3;0;0
"De Bilt";310;"De Bilt";43137;"09-12-2020";"22-12-2020";320;741,8;1;2,3;6;13,9
"De Fryske Marren";1940;"De Fryske Marren";51564;"09-12-2020";"22-12-2020";214;415;3;5,8;1;1,9
"De Ronde Venen";736;"De Ronde Venen";44456;"09-12-2020";"22-12-2020";358;805,3;4;9;3;6,7
"De Wolden";1690;"De Wolden";24330;"09-12-2020";"22-12-2020";170;698,7;1;4,1;0;0
"Delft";503;"Delft";103595;"09-12-2020";"22-12-2020";539;520,3;1;1;9;8,7
"Delfzijl";10;"Delfzijl";24678;"09-12-2020";"22-12-2020";183;741,6;0;0;1;4,1
"Den Helder";400;"Den Helder";56296;"09-12-2020";"22-12-2020";398;707;2;3,6;0;0
"Deurne";762;"Deurne";32471;"09-12-2020";"22-12-2020";224;689,8;0;0;2;6,2
"Deventer";150;"Deventer";100719;"09-12-2020";"22-12-2020";856;849,9;2;2;1;1
"Diemen";384;"Diemen";30780;"09-12-2020";"22-12-2020";192;623,8;0;0;2;6,5
"Dinkelland";1774;"Dinkelland";26461;"09-12-2020";"22-12-2020";202;763,4;0;0;0;0
"Doesburg";221;"Doesburg";11077;"09-12-2020";"22-12-2020";61;550,7;1;9;1;9
"Doetinchem";222;"Doetinchem";58001;"09-12-2020";"22-12-2020";420;724,1;2;3,4;1;1,7
"Dongen";766;"Dongen";26222;"09-12-2020";"22-12-2020";304;1159,3;0;0;2;7,6
"Dordrecht";505;"Dordrecht";119284;"09-12-2020";"22-12-2020";874;732,7;0;0;1;0,8
"Drechterland";498;"Drechterland";19719;"09-12-2020";"22-12-2020";177;897,6;0;0;1;5,1
"Drimmelen";1719;"Drimmelen";27272;"09-12-2020";"22-12-2020";220;806,7;1;3,7;6;22
"Dronten";303;"Dronten";41555;"09-12-2020";"22-12-2020";373;897,6;2;4,8;0;0
"Druten";225;"Druten";18926;"09-12-2020";"22-12-2020";153;808,4;0;0;1;5,3
"Duiven";226;"Duiven";25126;"09-12-2020";"22-12-2020";188;748,2;1;4;0;0
"Echt-Susteren";1711;"Echt-Susteren";31610;"09-12-2020";"22-12-2020";257;813;0;0;0;0
"Edam-Volendam";385;"Edam-Volendam";36197;"09-12-2020";"22-12-2020";169;466,9;1;2,8;0;0
"Ede";228;"Ede";117165;"09-12-2020";"22-12-2020";1418;1210,3;5;4,3;6;5,1
"Eemnes";317;"Eemnes";9247;"09-12-2020";"22-12-2020";77;832,7;1;10,8;0;0
"Eersel";770;"Eersel";19313;"09-12-2020";"22-12-2020";171;885,4;0;0;0;0
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"09-12-2020";"22-12-2020";216;838,2;0;0;1;3,9
"Eindhoven";772;"Eindhoven";234394;"09-12-2020";"22-12-2020";1466;625,4;10;4,3;17;7,3
"Elburg";230;"Elburg";23161;"09-12-2020";"22-12-2020";199;859,2;0;0;0;0
"Emmen";114;"Emmen";107048;"09-12-2020";"22-12-2020";697;651,1;5;4,7;0;0
"Enkhuizen";388;"Enkhuizen";18591;"09-12-2020";"22-12-2020";316;1699,7;1;5,4;0;0
"Enschede";153;"Enschede";159640;"09-12-2020";"22-12-2020";1045;654,6;10;6,3;14;8,8
"Epe";232;"Epe";33178;"09-12-2020";"22-12-2020";267;804,8;2;6;2;6
"Ermelo";233;"Ermelo";27008;"09-12-2020";"22-12-2020";349;1292,2;0;0;0;0
"Etten-Leur";777;"Etten-Leur";43878;"09-12-2020";"22-12-2020";349;795,4;2;4,6;0;0
"Geertruidenberg";779;"Geertruidenberg";21544;"09-12-2020";"22-12-2020";196;909,8;1;4,6;8;37,1
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"09-12-2020";"22-12-2020";319;803;3;7,6;0;0
"Gemert-Bakel";1652;"Gemert-Bakel";30723;"09-12-2020";"22-12-2020";237;771,4;1;3,3;0;0
"Gennep";907;"Gennep";16921;"09-12-2020";"22-12-2020";197;1164,2;2;11,8;0;0
"Gilze en Rijen";784;"Gilze en Rijen";26431;"09-12-2020";"22-12-2020";219;828,6;1;3,8;0;0
"Goeree-Overflakkee";1924;"Goeree-Overflakkee";50049;"09-12-2020";"22-12-2020";338;675,3;1;2;5;10
"Goes";664;"Goes";38082;"09-12-2020";"22-12-2020";105;275,7;1;2,6;1;2,6
"Goirle";785;"Goirle";23904;"09-12-2020";"22-12-2020";178;744,6;0;0;1;4,2
"Gooise Meren";1942;"Gooise Meren";58055;"09-12-2020";"22-12-2020";428;737,2;1;1,7;1;1,7
"Gorinchem";512;"Gorinchem";37022;"09-12-2020";"22-12-2020";337;910,3;0;0;3;8,1
"Gouda";513;"Gouda";73427;"09-12-2020";"22-12-2020";570;776,3;8;10,9;11;15
"Grave";786;"Grave";12436;"09-12-2020";"22-12-2020";144;1157,9;0;0;0;0
"'s-Gravenhage";518;"'s-Gravenhage";545838;"09-12-2020";"22-12-2020";3156;578,2;46;8,4;14;2,6
"Groningen";14;"Groningen";232874;"09-12-2020";"22-12-2020";897;385,2;7;3;3;1,3
"Gulpen-Wittem";1729;"Gulpen-Wittem";14171;"09-12-2020";"22-12-2020";111;783,3;0;0;0;0
"Haaksbergen";158;"Haaksbergen";24311;"09-12-2020";"22-12-2020";317;1303,9;0;0;0;0
"Haaren";788;"Haaren";14370;"09-12-2020";"22-12-2020";119;828,1;2;13,9;2;13,9
"Haarlem";392;"Haarlem";162902;"09-12-2020";"22-12-2020";1060;650,7;3;1,8;4;2,5
"Haarlemmermeer";394;"Haarlemmermeer";156002;"09-12-2020";"22-12-2020";1034;662,8;7;4,5;21;13,5
"Halderberge";1655;"Halderberge";30284;"09-12-2020";"22-12-2020";181;597,7;3;9,9;0;0
"Hardenberg";160;"Hardenberg";60948;"09-12-2020";"22-12-2020";441;723,6;0;0;0;0
"Harderwijk";243;"Harderwijk";48414;"09-12-2020";"22-12-2020";372;768,4;3;6,2;2;4,1
"Hardinxveld-Giessendam";523;"Hardinxveld-Giessendam";18295;"09-12-2020";"22-12-2020";195;1065,9;0;0;1;5,5
"Harlingen";72;"Harlingen";15722;"09-12-2020";"22-12-2020";24;152,7;0;0;0;0
"Hattem";244;"Hattem";12209;"09-12-2020";"22-12-2020";60;491,4;0;0;0;0
"Heemskerk";396;"Heemskerk";39182;"09-12-2020";"22-12-2020";234;597,2;0;0;1;2,6
"Heemstede";397;"Heemstede";27234;"09-12-2020";"22-12-2020";154;565,5;0;0;5;18,4
"Heerde";246;"Heerde";18589;"09-12-2020";"22-12-2020";113;607,9;0;0;0;0
"Heerenveen";74;"Heerenveen";50493;"09-12-2020";"22-12-2020";122;241,6;0;0;0;0
"Heerhugowaard";398;"Heerhugowaard";57587;"09-12-2020";"22-12-2020";526;913,4;3;5,2;2;3,5
"Heerlen";917;"Heerlen";87086;"09-12-2020";"22-12-2020";592;679,8;5;5,7;2;2,3
"Heeze-Leende";1658;"Heeze-Leende";16152;"09-12-2020";"22-12-2020";144;891,5;0;0;1;6,2
"Heiloo";399;"Heiloo";23968;"09-12-2020";"22-12-2020";134;559,1;0;0;0;0
"Hellendoorn";163;"Hellendoorn";35916;"09-12-2020";"22-12-2020";464;1291,9;1;2,8;4;11,1
"Hellevoetsluis";530;"Hellevoetsluis";40142;"09-12-2020";"22-12-2020";176;438,4;1;2,5;2;5
"Helmond";794;"Helmond";92423;"09-12-2020";"22-12-2020";523;565,9;4;4,3;0;0
"Hendrik-Ido-Ambacht";531;"Hendrik-Ido-Ambacht";31202;"09-12-2020";"22-12-2020";225;721,1;0;0;4;12,8
"Hengelo";164;"Hengelo";81140;"09-12-2020";"22-12-2020";722;889,8;3;3,7;0;0
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155111;"09-12-2020";"22-12-2020";1300;838,1;4;2,6;7;4,5
"Het Hogeland";1966;"Het Hogeland";47801;"09-12-2020";"22-12-2020";235;491,6;1;2,1;0;0
"Heumen";252;"Heumen";16454;"09-12-2020";"22-12-2020";120;729,3;2;12,2;0;0
"Heusden";797;"Heusden";44692;"09-12-2020";"22-12-2020";280;626,5;3;6,7;4;9
"Hillegom";534;"Hillegom";22209;"09-12-2020";"22-12-2020";129;580,8;2;9;0;0
"Hilvarenbeek";798;"Hilvarenbeek";15518;"09-12-2020";"22-12-2020";174;1121,3;1;6,4;1;6,4
"Hilversum";402;"Hilversum";90831;"09-12-2020";"22-12-2020";470;517,4;0;0;4;4,4
"Hoeksche Waard";1963;"Hoeksche Waard";87401;"09-12-2020";"22-12-2020";492;562,9;2;2,3;2;2,3
"Hof van Twente";1735;"Hof van Twente";35017;"09-12-2020";"22-12-2020";227;648,3;1;2,9;1;2,9
"Hollands Kroon";1911;"Hollands Kroon";48432;"09-12-2020";"22-12-2020";327;675,2;0;0;1;2,1
"Hoogeveen";118;"Hoogeveen";55699;"09-12-2020";"22-12-2020";596;1070;3;5,4;1;1,8
"Hoorn";405;"Hoorn";73261;"09-12-2020";"22-12-2020";581;793,1;2;2,7;0;0
"Horst aan de Maas";1507;"Horst aan de Maas";42429;"09-12-2020";"22-12-2020";572;1348,1;1;2,4;3;7,1
"Houten";321;"Houten";50146;"09-12-2020";"22-12-2020";411;819,6;1;2;1;2
"Huizen";406;"Huizen";41273;"09-12-2020";"22-12-2020";418;1012,8;1;2,4;7;17
"Hulst";677;"Hulst";27556;"09-12-2020";"22-12-2020";110;399,2;1;3,6;1;3,6
"IJsselstein";353;"IJsselstein";34109;"09-12-2020";"22-12-2020";237;694,8;0;0;0;0
"Kaag en Braassem";1884;"Kaag en Braassem";27297;"09-12-2020";"22-12-2020";242;886,5;1;3,7;0;0
"Kampen";166;"Kampen";54319;"09-12-2020";"22-12-2020";356;655,4;1;1,8;1;1,8
"Kapelle";678;"Kapelle";12695;"09-12-2020";"22-12-2020";83;653,8;1;7,9;1;7,9
"Katwijk";537;"Katwijk";65753;"09-12-2020";"22-12-2020";685;1041,8;4;6,1;3;4,6
"Kerkrade";928;"Kerkrade";45749;"09-12-2020";"22-12-2020";275;601,1;1;2,2;1;2,2
"Koggenland";1598;"Koggenland";22749;"09-12-2020";"22-12-2020";121;531,9;0;0;0;0
"Krimpen aan den IJssel";542;"Krimpen aan den IJssel";29526;"09-12-2020";"22-12-2020";326;1104,1;0;0;4;13,5
"Krimpenerwaard";1931;"Krimpenerwaard";56319;"09-12-2020";"22-12-2020";457;811,4;7;12,4;2;3,6
"Laarbeek";1659;"Laarbeek";22523;"09-12-2020";"22-12-2020";220;976,8;2;8,9;1;4,4
"Landerd";1685;"Landerd";15730;"09-12-2020";"22-12-2020";136;864,6;1;6,4;0;0
"Landgraaf";882;"Landgraaf";37445;"09-12-2020";"22-12-2020";348;929,4;1;2,7;3;8
"Landsmeer";415;"Landsmeer";11491;"09-12-2020";"22-12-2020";76;661,4;1;8,7;0;0
"Langedijk";416;"Langedijk";28163;"09-12-2020";"22-12-2020";238;845,1;1;3,6;0;0
"Lansingerland";1621;"Lansingerland";62384;"09-12-2020";"22-12-2020";497;796,7;4;6,4;1;1,6
"Laren";417;"Laren";11280;"09-12-2020";"22-12-2020";61;540,8;0;0;1;8,9
"Leeuwarden";80;"Leeuwarden";124084;"09-12-2020";"22-12-2020";483;389,3;0;0;1;0,8
"Leiden";546;"Leiden";125099;"09-12-2020";"22-12-2020";681;544,4;4;3,2;0;0
"Leiderdorp";547;"Leiderdorp";27056;"09-12-2020";"22-12-2020";205;757,7;0;0;1;3,7
"Leidschendam-Voorburg";1916;"Leidschendam-Voorburg";76534;"09-12-2020";"22-12-2020";587;767;8;10,5;3;3,9
"Lelystad";995;"Lelystad";78598;"09-12-2020";"22-12-2020";652;829,5;2;2,5;2;2,5
"Leudal";1640;"Leudal";35879;"09-12-2020";"22-12-2020";397;1106,5;2;5,6;0;0
"Leusden";327;"Leusden";30401;"09-12-2020";"22-12-2020";248;815,8;2;6,6;4;13,2
"Lingewaard";1705;"Lingewaard";46601;"09-12-2020";"22-12-2020";407;873,4;1;2,1;0;0
"Lisse";553;"Lisse";22955;"09-12-2020";"22-12-2020";222;967,1;4;17,4;2;8,7
"Lochem";262;"Lochem";33729;"09-12-2020";"22-12-2020";187;554,4;1;3;1;3
"Loon op Zand";809;"Loon op Zand";23408;"09-12-2020";"22-12-2020";241;1029,6;1;4,3;1;4,3
"Lopik";331;"Lopik";14467;"09-12-2020";"22-12-2020";117;808,7;0;0;1;6,9
"Loppersum";24;"Loppersum";9537;"09-12-2020";"22-12-2020";43;450,9;1;10,5;0;0
"Losser";168;"Losser";22683;"09-12-2020";"22-12-2020";264;1163,9;5;22;6;26,5
"Maasdriel";263;"Maasdriel";25030;"09-12-2020";"22-12-2020";214;855;1;4;1;4
"Maasgouw";1641;"Maasgouw";23965;"09-12-2020";"22-12-2020";169;705,2;0;0;0;0
"Maassluis";556;"Maassluis";33213;"09-12-2020";"22-12-2020";233;701,5;0;0;0;0
"Maastricht";935;"Maastricht";121575;"09-12-2020";"22-12-2020";834;686;9;7,4;2;1,6
"Medemblik";420;"Medemblik";45101;"09-12-2020";"22-12-2020";524;1161,8;1;2,2;1;2,2
"Meerssen";938;"Meerssen";18828;"09-12-2020";"22-12-2020";158;839,2;0;0;1;5,3
"Meierijstad";1948;"Meierijstad";81194;"09-12-2020";"22-12-2020";676;832,6;2;2,5;3;3,7
"Meppel";119;"Meppel";33920;"09-12-2020";"22-12-2020";192;566;1;2,9;0;0
"Middelburg";687;"Middelburg";48822;"09-12-2020";"22-12-2020";209;428,1;1;2;0;0
"Midden-Delfland";1842;"Midden-Delfland";19341;"09-12-2020";"22-12-2020";198;1023,7;0;0;1;5,2
"Midden-Drenthe";1731;"Midden-Drenthe";33185;"09-12-2020";"22-12-2020";157;473,1;1;3;0;0
"Midden-Groningen";1952;"Midden-Groningen";60797;"09-12-2020";"22-12-2020";255;419,4;1;1,6;3;4,9
"Mill en Sint Hubert";815;"Mill en Sint Hubert";10939;"09-12-2020";"22-12-2020";73;667,3;0;0;1;9,1
"Moerdijk";1709;"Moerdijk";37129;"09-12-2020";"22-12-2020";192;517,1;2;5,4;1;2,7
"Molenlanden";1978;"Molenlanden";43909;"09-12-2020";"22-12-2020";373;849,5;0;0;1;2,3
"Montferland";1955;"Montferland";36011;"09-12-2020";"22-12-2020";231;641,5;2;5,6;0;0
"Montfoort";335;"Montfoort";13917;"09-12-2020";"22-12-2020";139;998,8;0;0;0;0
"Mook en Middelaar";944;"Mook en Middelaar";7847;"09-12-2020";"22-12-2020";47;599;1;12,7;0;0
"Neder-Betuwe";1740;"Neder-Betuwe";24339;"09-12-2020";"22-12-2020";295;1212;4;16,4;0;0
"Nederweert";946;"Nederweert";17019;"09-12-2020";"22-12-2020";242;1421,9;0;0;2;11,8
"Nieuwegein";356;"Nieuwegein";63462;"09-12-2020";"22-12-2020";379;597,2;4;6,3;0;0
"Nieuwkoop";569;"Nieuwkoop";28811;"09-12-2020";"22-12-2020";303;1051,7;1;3,5;3;10,4
"Nijkerk";267;"Nijkerk";43171;"09-12-2020";"22-12-2020";534;1236,9;1;2,3;0;0
"Nijmegen";268;"Nijmegen";177659;"09-12-2020";"22-12-2020";1112;625,9;4;2,3;3;1,7
"Nissewaard";1930;"Nissewaard";85219;"09-12-2020";"22-12-2020";419;491,7;7;8,2;3;3,5
"Noardeast-Frysl̢n";1970;"Noardeast-Frysl̢n";45228;"09-12-2020";"22-12-2020";213;470,9;2;4,4;2;4,4
"Noord-Beveland";1695;"Noord-Beveland";7392;"09-12-2020";"22-12-2020";8;108,2;0;0;0;0
"Noordenveld";1699;"Noordenveld";31253;"09-12-2020";"22-12-2020";75;240;0;0;2;6,4
"Noordoostpolder";171;"Noordoostpolder";47291;"09-12-2020";"22-12-2020";421;890,2;1;2,1;0;0
"Noordwijk";575;"Noordwijk";43508;"09-12-2020";"22-12-2020";310;712,5;1;2,3;1;2,3
"Nuenen, Gerwen en Nederwetten";820;"Nuenen, Gerwen en Nederwetten";23383;"09-12-2020";"22-12-2020";137;585,9;1;4,3;1;4,3
"Nunspeet";302;"Nunspeet";27851;"09-12-2020";"22-12-2020";222;797,1;3;10,8;0;0
"Oegstgeest";579;"Oegstgeest";24840;"09-12-2020";"22-12-2020";220;885,7;0;0;9;36,2
"Oirschot";823;"Oirschot";18714;"09-12-2020";"22-12-2020";182;972,5;0;0;1;5,3
"Oisterwijk";824;"Oisterwijk";26245;"09-12-2020";"22-12-2020";247;941,1;0;0;1;3,8
"Oldambt";1895;"Oldambt";38209;"09-12-2020";"22-12-2020";187;489,4;3;7,9;4;10,5
"Oldebroek";269;"Oldebroek";23646;"09-12-2020";"22-12-2020";267;1129,2;1;4,2;1;4,2
"Oldenzaal";173;"Oldenzaal";31836;"09-12-2020";"22-12-2020";293;920,3;4;12,6;0;0
"Olst-Wijhe";1773;"Olst-Wijhe";18252;"09-12-2020";"22-12-2020";124;679,4;0;0;0;0
"Ommen";175;"Ommen";18009;"09-12-2020";"22-12-2020";109;605,3;0;0;0;0
"Oost Gelre";1586;"Oost Gelre";29627;"09-12-2020";"22-12-2020";237;799,9;1;3,4;1;3,4
"Oosterhout";826;"Oosterhout";55982;"09-12-2020";"22-12-2020";417;744,9;3;5,4;3;5,4
"Ooststellingwerf";85;"Ooststellingwerf";25469;"09-12-2020";"22-12-2020";75;294,5;1;3,9;0;0
"Oostzaan";431;"Oostzaan";9735;"09-12-2020";"22-12-2020";101;1037,5;0;0;0;0
"Opmeer";432;"Opmeer";11836;"09-12-2020";"22-12-2020";108;912,5;0;0;0;0
"Opsterland";86;"Opsterland";29733;"09-12-2020";"22-12-2020";107;359,9;0;0;1;3,4
"Oss";828;"Oss";91915;"09-12-2020";"22-12-2020";536;583,1;2;2,2;0;0
"Oude IJsselstreek";1509;"Oude IJsselstreek";39388;"09-12-2020";"22-12-2020";295;749;2;5,1;3;7,6
"Ouder-Amstel";437;"Ouder-Amstel";14026;"09-12-2020";"22-12-2020";120;855,6;0;0;0;0
"Oudewater";589;"Oudewater";10230;"09-12-2020";"22-12-2020";111;1085;0;0;0;0
"Overbetuwe";1734;"Overbetuwe";47906;"09-12-2020";"22-12-2020";287;599,1;0;0;0;0
"Papendrecht";590;"Papendrecht";32136;"09-12-2020";"22-12-2020";307;955,3;0;0;3;9,3
"Peel en Maas";1894;"Peel en Maas";43425;"09-12-2020";"22-12-2020";411;946,5;1;2,3;1;2,3
"Pekela";765;"Pekela";12196;"09-12-2020";"22-12-2020";49;401,8;2;16,4;0;0
"Pijnacker-Nootdorp";1926;"Pijnacker-Nootdorp";55308;"09-12-2020";"22-12-2020";498;900,4;1;1,8;0;0
"Purmerend";439;"Purmerend";81249;"09-12-2020";"22-12-2020";414;509,5;1;1,2;0;0
"Putten";273;"Putten";24112;"09-12-2020";"22-12-2020";328;1360,3;0;0;0;0
"Raalte";177;"Raalte";37712;"09-12-2020";"22-12-2020";415;1100,4;0;0;0;0
"Reimerswaal";703;"Reimerswaal";22730;"09-12-2020";"22-12-2020";184;809,5;0;0;0;0
"Renkum";274;"Renkum";31419;"09-12-2020";"22-12-2020";185;588,8;1;3,2;3;9,5
"Renswoude";339;"Renswoude";5444;"09-12-2020";"22-12-2020";101;1855,3;0;0;0;0
"Reusel-De Mierden";1667;"Reusel-De Mierden";13112;"09-12-2020";"22-12-2020";111;846,6;1;7,6;1;7,6
"Rheden";275;"Rheden";43761;"09-12-2020";"22-12-2020";318;726,7;2;4,6;4;9,1
"Rhenen";340;"Rhenen";20119;"09-12-2020";"22-12-2020";378;1878,8;2;9,9;1;5
"Ridderkerk";597;"Ridderkerk";46189;"09-12-2020";"22-12-2020";311;673,3;5;10,8;4;8,7
"Rijssen-Holten";1742;"Rijssen-Holten";38177;"09-12-2020";"22-12-2020";515;1349;1;2,6;0;0
"Rijswijk";603;"Rijswijk";54450;"09-12-2020";"22-12-2020";333;611,6;2;3,7;0;0
"Roerdalen";1669;"Roerdalen";20574;"09-12-2020";"22-12-2020";188;913,8;1;4,9;2;9,7
"Roermond";957;"Roermond";58260;"09-12-2020";"22-12-2020";456;782,7;1;1,7;2;3,4
"Roosendaal";1674;"Roosendaal";77251;"09-12-2020";"22-12-2020";451;583,8;1;1,3;5;6,5
"Rotterdam";599;"Rotterdam";651157;"09-12-2020";"22-12-2020";3454;530,4;44;6,8;18;2,8
"Rozendaal";277;"Rozendaal";1704;"09-12-2020";"22-12-2020";17;997,7;0;0;0;0
"Rucphen";840;"Rucphen";22878;"09-12-2020";"22-12-2020";147;642,5;0;0;0;0
