Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
Halderberge;9;29,7;2;6,6;0;0
Hardenberg;31;50,9;0;0;2;3,3
Harderwijk;55;113,6;6;12,4;3;6,2
Hardinxveld-Giessendam;5;27,3;0;0;0;0
Harlingen;5;31,8;0;0;1;6,4
Hattem;4;32,8;0;0;1;8,2
Heemskerk;6;15,3;0;0;2;5,1
Heemstede;2;7,3;0;0;5;18,4
Heerde;68;365,8;6;32,3;9;48,4
Heerenveen;20;39,6;1;2;9;17,8
Heerhugowaard;43;74,7;1;1,7;1;1,7
Heerlen;83;95,3;16;18,4;9;10,3
Heeze-Leende;5;31;1;6,2;1;6,2
Heiloo;10;41,7;0;0;3;12,5
Hellendoorn;35;97,4;1;2,8;7;19,5
Hellevoetsluis;8;19,9;0;0;2;5
Helmond;65;70,3;8;8,7;5;5,4
Hendrik-Ido-Ambacht;8;25,6;0;0;1;3,2
Hengelo (O.);11;13,6;2;2,5;9;11,1
Het Hogeland;4;8,4;0;0;1;2,1
Heumen;19;115,5;1;6,1;3;18,2
Heusden;42;94;1;2,2;6;13,4
Hillegom;7;31,5;0;0;1;4,5
Hilvarenbeek;9;58;1;6,4;1;6,4
Hilversum;84;92,5;4;4,4;10;11
Hoeksche Waard;83;95;5;5,7;9;10,3
Hof van Twente;6;17,1;1;2,9;1;2,9
Hollands Kroon;8;16,5;0;0;1;2,1
Hoogeveen;35;62,8;4;7,2;6;10,8
Hoorn;20;27,3;3;4,1;1;1,4
Horst aan de Maas;22;51,9;0;0;6;14,1
Houten;20;39,9;0;0;4;8
Huizen;48;116,3;0;0;3;7,3
Hulst;4;14,5;1;3,6;0;0
IJsselstein;39;114,3;1;2,9;6;17,6
Kaag en Braassem;10;36,6;0;0;0;0
Kampen;76;139,9;3;5,5;5;9,2
Kapelle;6;47,3;1;7,9;0;0
Katwijk;76;115,6;4;6,1;4;6,1
Kerkrade;55;120,2;8;17,5;8;17,5
Koggenland;6;26,4;0;0;2;8,8
Krimpen aan den IJssel;24;81,3;1;3,4;1;3,4
Krimpenerwaard;35;62,1;4;7,1;2;3,6
Laarbeek;28;124,3;3;13,3;3;13,3
Landerd;28;178;1;6,4;5;31,8
Landgraaf;33;88,1;7;18,7;1;2,7
Landsmeer;5;43,5;0;0;1;8,7
Langedijk;6;21,3;0;0;1;3,6
Lansingerland;33;52,9;4;6,4;3;4,8
Laren (NH.);3;26,6;0;0;1;8,9
Leeuwarden;7;5,6;1;0,8;2;1,6
Leiden;28;22,4;4;3,2;5;4
Leiderdorp;6;22,2;1;3,7;2;7,4
Leidschendam-Voorburg;28;36,6;1;1,3;2;2,6
Lelystad;52;66,2;7;8,9;10;12,7
Leudal;41;114,3;0;0;7;19,5
Leusden;11;36,2;1;3,3;0;0
Lingewaard;29;62,2;1;2,1;4;8,6
Lisse;5;21,8;0;0;0;0
Lochem;33;97,8;0;0;6;17,8
Loon op Zand;10;42,7;1;4,3;0;0
Lopik;26;179,7;2;13,8;4;27,6
Loppersum;0;0;0;0;0;0
Losser;5;22;0;0;0;0
Maasdriel;11;43,9;0;0;1;4
Maasgouw;37;154,4;4;16,7;2;8,3
Maassluis;9;27,1;3;9;2;6
Maastricht;165;135,7;25;20,6;43;35,4
Medemblik;18;39,9;1;2,2;0;0
Meerssen;15;79,7;5;26,6;4;21,2
Meierijstad;96;118,2;7;8,6;16;19,7
Meppel;6;17,7;0;0;0;0
Middelburg (Z.);12;24,6;1;2;0;0
Midden-Delfland;3;15,5;0;0;0;0
Midden-Drenthe;3;9;0;0;0;0
Midden-Groningen;5;8,2;0;0;1;1,6
Mill en Sint Hubert;10;91,4;0;0;1;9,1
Moerdijk;23;61,9;0;0;3;8,1
Molenlanden;25;56,9;1;2,3;2;4,6
Montferland;32;88,9;4;11,1;1;2,8
Montfoort;4;28,7;0;0;0;0
Mook en Middelaar;6;76,5;0;0;2;25,5
Neder-Betuwe;41;168,5;0;0;4;16,4
Nederweert;11;64,6;3;17,6;2;11,8
Nieuwegein;32;50,4;2;3,2;3;4,7
Nieuwkoop;10;34,7;1;3,5;0;0
Nijkerk;7;16,2;1;2,3;1;2,3
Nijmegen;85;47,8;6;3,4;13;7,3
Nissewaard;38;44,6;8;9,4;5;5,9
Noardeast-Fryslân;0;0;0;0;1;2,2
Noord-Beveland;1;13,5;0;0;0;0
Noordenveld;3;9,6;0;0;0;0
Noordoostpolder;32;67,7;3;6,3;4;8,5
Noordwijk;11;25,3;2;4,6;1;2,3
Nuenen, Gerwen en Nederwetten;7;29,9;0;0;2;8,6
Nunspeet;67;240,6;0;0;5;18
Oegstgeest;9;36,2;2;8,1;2;8,1
Oirschot;18;96,2;0;0;2;10,7
Oisterwijk;10;38,1;1;3,8;1;3,8
Oldambt;6;15,7;4;10,5;0;0
Oldebroek;53;224,1;1;4,2;3;12,7
Oldenzaal;9;28,3;0;0;0;0
Olst-Wijhe;11;60,3;0;0;3;16,4
Ommen;16;88,8;0;0;0;0
Oost Gelre;11;37,1;1;3,4;0;0
Oosterhout;25;44,7;5;8,9;3;5,4
Ooststellingwerf;5;19,6;1;3,9;0;0
Oostzaan;6;61,6;1;10,3;0;0
Opmeer;3;25,3;0;0;0;0
Opsterland;5;16,8;1;3,4;0;0
Oss;82;89,2;4;4,4;9;9,8
Oude IJsselstreek;24;60,9;2;5,1;5;12,7
Ouder-Amstel;8;57;0;0;0;0
Oudewater;6;58,7;0;0;1;9,8
Overbetuwe;15;31,3;1;2,1;2;4,2
Papendrecht;10;31,1;0;0;0;0
Peel en Maas;31;71,4;4;9,2;4;9,2
Pekela;1;8,2;0;0;0;0
Pijnacker-Nootdorp;39;70,5;2;3,6;5;9
Purmerend;53;65,2;3;3,7;15;18,5
Putten;4;16,6;0;0;0;0
Raalte;75;198,9;1;2,7;8;21,2
Reimerswaal;6;26,4;0;0;0;0
Renkum;18;57,3;0;0;4;12,7
Renswoude;7;128,6;0;0;0;0
Reusel-De Mierden;3;22,9;0;0;0;0
Rheden;10;22,9;1;2,3;0;0
Rhenen;8;39,8;4;19,9;0;0
Ridderkerk;29;62,8;5;10,8;2;4,3
Rijssen-Holten;62;162,4;4;10,5;8;21
Rijswijk (ZH.);41;75,3;8;14,7;10;18,4
Roerdalen;7;34;1;4,9;1;4,9
Roermond;17;29,2;6;10,3;1;1,7
Roosendaal;60;77,7;5;6,5;4;5,2
Rotterdam;571;87,7;80;12,3;125;19,2
Rozendaal;1;58,7;0;0;0;0
Rucphen;18;78,7;0;0;1;4,4
Schagen;12;25,8;1;2,2;2;4,3
Scherpenzeel;4;40,5;1;10,1;0;0
Schiedam;86;109,2;7;8,9;8;10,2
Schiermonnikoog;0;0;0;0;0;0
Schouwen-Duiveland;4;11,8;1;3;1;3
's-Gravenhage (gemeente);424;77,7;31;5,7;86;15,8
's-Hertogenbosch;114;73,5;4;2,6;14;9
Simpelveld;5;47,4;0;0;1;9,5
Sint Anthonis;4;34,3;0;0;1;8,6
Sint-Michielsgestel;20;68,5;4;13,7;2;6,8
Sittard-Geleen;88;95,2;18;19,5;15;16,2
Sliedrecht;17;67,4;1;4;1;4
Sluis;1;4,3;0;0;0;0
Smallingerland;23;41;2;3,6;3;5,3
Soest;12;25,7;2;4,3;4;8,6
Someren;18;92,9;2;10,3;2;10,3
Son en Breugel;15;86,6;2;11,5;4;23,1
Stadskanaal;1;3,2;0;0;1;3,2
Staphorst;13;75,8;1;5,8;1;5,8
Stede Broec;7;32,2;0;0;1;4,6
Steenbergen;28;114,7;1;4,1;5;20,5
Steenwijkerland;28;63,5;2;4,5;3;6,8
Stein (L.);25;100;5;20;1;4
Stichtse Vecht;24;37;2;3,1;2;3,1
Súdwest-Fryslân;16;17,8;0;0;2;2,2
Terneuzen;20;36,7;4;7,3;1;1,8
Terschelling;1;20,5;0;0;0;0
Texel;0;0;0;0;0;0
Teylingen;11;29,4;0;0;1;2,7
Tholen;21;81,5;0;0;1;3,9
Tiel;28;66,4;5;11,9;6;14,2
Tilburg;131;59,6;8;3,6;27;12,3
Tubbergen;11;51,7;1;4,7;2;9,4
Twenterand;14;41,5;1;3;0;0
Tynaarlo;4;11,8;1;3;0;0
Tytsjerksteradiel;1;3,1;0;0;0;0
Uden;30;71,2;1;2,4;6;14,2
Uitgeest;3;22;0;0;0;0
Uithoorn;6;20,4;0;0;1;3,4
Urk;21;99,9;2;9,5;0;0
Utrecht (gemeente);217;60,7;35;9,8;19;5,3
Utrechtse Heuvelrug;22;44,4;3;6,1;8;16,1
Vaals;4;39,6;0;0;0;0
Valkenburg aan de Geul;18;110;0;0;3;18,3
Valkenswaard;54;173,1;2;6,4;9;28,9
Veendam;1;3,7;0;0;0;0
Veenendaal;66;99,3;9;13,5;3;4,5
Veere;5;22,9;0;0;1;4,6
Veldhoven;26;57,2;3;6,6;1;2,2
Velsen;60;87,4;4;5,8;16;23,3
Venlo;75;73,7;10;9,8;10;9,8
Venray;17;39;1;2,3;0;0
Vijfheerenlanden;57;100,3;4;7;6;10,6
Vlaardingen;87;118,5;7;9,5;7;9,5
Vlieland;0;0;0;0;0;0
Vlissingen;3;6,8;1;2,3;1;2,3
Voerendaal;12;96,2;1;8;2;16
Voorschoten;13;50,8;0;0;1;3,9
Voorst;8;32,6;0;0;4;16,3
Vught;23;86,6;1;3,8;1;3,8
Waadhoeke;25;54,2;2;4,3;4;8,7
Waalre;7;40,1;1;5,7;1;5,7
Waalwijk;35;72;2;4,1;7;14,4
Waddinxveen;15;51,2;3;10,2;0;0
Wageningen;12;30,3;4;10,1;2;5
Wassenaar;12;45,6;0;0;3;11,4
Waterland;7;40,2;1;5,7;1;5,7
Weert;23;45,9;8;16;3;6
Weesp;30;152;0;0;4;20,3
West Betuwe;46;90;4;7,8;12;23,5
West Maas en Waal;13;67,3;3;15,5;5;25,9
Westerkwartier;4;6,3;0;0;1;1,6
Westerveld;6;30,8;0;0;1;5,1
Westervoort;10;66,8;2;13,4;3;20
Westerwolde;1;3,9;0;0;0;0
Westland;79;71,6;4;3,6;4;3,6
Weststellingwerf;13;50,2;1;3,9;2;7,7
Westvoorne;1;6,8;0;0;0;0
Wierden;9;36,8;0;0;3;12,3
Wijchen;29;70,5;1;2,4;4;9,7
Wijdemeren;5;20,5;0;0;0;0
Wijk bij Duurstede;6;25,1;1;4,2;0;0
Winterswijk;15;52;1;3,5;2;6,9
Woensdrecht;33;150,9;0;0;6;27,4
Woerden;31;59,3;2;3,8;3;5,7
Wormerland;11;67,6;3;18,4;0;0
Woudenberg;7;52,4;0;0;1;7,5
Zaanstad;85;54,2;8;5,1;7;4,5
Zaltbommel;31;107,3;1;3,5;5;17,3
Zandvoort;2;11,7;0;0;2;11,7
Zeewolde;14;61,8;3;13,2;1;4,4
Zeist;41;63,2;2;3,1;5;7,7
Zevenaar;18;41,1;4;9,1;5;11,4
Zoetermeer;51;40,7;4;3,2;3;2,4
Zoeterwoude;1;11,6;1;11,6;0;0
Zuidplas;49;111,7;3;6,8;12;27,3
Zundert;19;87;1;4,6;1;4,6
Zutphen;22;45,9;3;6,3;0;0
Zwartewaterland;28;123,4;3;13,2;4;17,6
Zwijndrecht;48;107,3;5;11,2;8;17,9
Zwolle;93;72,2;1;0,8;13;10,1
