Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;;Municipality_name
Bernheze;1721;Bernheze;31240;21-10-2020;3-11-2020;277;886,7;0;0;1;3,2;;WAAR;WAAR;Bernheze
Best;753;Best;29988;21-10-2020;3-11-2020;196;653,6;1;3,3;1;3,3;;WAAR;WAAR;Best
Beuningen;209;Beuningen;25890;21-10-2020;3-11-2020;144;556,2;0;0;0;0;;WAAR;WAAR;Beuningen
Beverwijk;375;Beverwijk;41626;21-10-2020;3-11-2020;280;672,7;1;2,4;0;0;;WAAR;WAAR;Beverwijk
Bladel;1728;Bladel;20390;21-10-2020;3-11-2020;214;1049,5;0;0;0;0;;WAAR;WAAR;Bladel
Blaricum;376;Blaricum;11540;21-10-2020;3-11-2020;69;597,9;0;0;0;0;;WAAR;WAAR;Blaricum
Bloemendaal;377;Bloemendaal;23571;21-10-2020;3-11-2020;92;390,3;1;4,2;0;0;;WAAR;WAAR;Bloemendaal
Bodegraven-Reeuwijk;1901;Bodegraven-Reeuwijk;34872;21-10-2020;3-11-2020;255;731,2;4;11,5;2;5,7;;WAAR;WAAR;Bodegraven-Reeuwijk
Boekel;755;Boekel;10785;21-10-2020;3-11-2020;72;667,6;0;0;0;0;;WAAR;WAAR;Boekel
Borger-Odoorn;1681;Borger-Odoorn;25559;21-10-2020;3-11-2020;71;277,8;1;3,9;2;7,8;;WAAR;WAAR;Borger-Odoorn
Borne;147;Borne;23312;21-10-2020;3-11-2020;145;622;1;4,3;0;0;;WAAR;WAAR;Borne
Borsele;654;Borsele;22739;21-10-2020;3-11-2020;45;197,9;0;0;0;0;;WAAR;WAAR;Borsele
Boxmeer;756;Boxmeer;29365;21-10-2020;3-11-2020;220;749,2;3;10,2;0;0;;WAAR;WAAR;Boxmeer
Boxtel;757;Boxtel;30801;21-10-2020;3-11-2020;258;837,6;1;3,2;1;3,2;;WAAR;WAAR;Boxtel
Breda;758;Breda;184069;21-10-2020;3-11-2020;1615;877,4;12;6,5;12;6,5;;WAAR;WAAR;Breda
Brielle;501;Brielle;17271;21-10-2020;3-11-2020;98;567,4;0;0;0;0;;WAAR;WAAR;Brielle
Bronckhorst;1876;Bronckhorst;36055;21-10-2020;3-11-2020;220;610,2;0;0;0;0;;WAAR;WAAR;Bronckhorst
Brummen;213;Brummen;20726;21-10-2020;3-11-2020;107;516,3;0;0;0;0;;WAAR;WAAR;Brummen
Brunssum;899;Brunssum;27821;21-10-2020;3-11-2020;73;262,4;1;3,6;0;0;;WAAR;WAAR;Brunssum
Bunnik;312;Bunnik;15191;21-10-2020;3-11-2020;115;757;0;0;2;13,2;;WAAR;WAAR;Bunnik
Bunschoten;313;Bunschoten;21866;21-10-2020;3-11-2020;349;1596,1;6;27,4;1;4,6;;WAAR;WAAR;Bunschoten
Buren;214;Buren;26749;21-10-2020;3-11-2020;188;702,8;0;0;0;0;;WAAR;WAAR;Buren
Capelle aan den IJssel;502;Capelle aan den IJssel;67122;21-10-2020;3-11-2020;519;773,2;1;1,5;0;0;;WAAR;WAAR;Capelle aan den IJssel
Castricum;383;Castricum;35986;21-10-2020;3-11-2020;149;414;0;0;1;2,8;;WAAR;WAAR;Castricum
Coevorden;109;Coevorden;35297;21-10-2020;3-11-2020;108;306;1;2,8;1;2,8;;WAAR;WAAR;Coevorden
Cranendonck;1706;Cranendonck;21138;21-10-2020;3-11-2020;145;686;0;0;0;0;;WAAR;WAAR;Cranendonck
Cuijk;1684;Cuijk;25130;21-10-2020;3-11-2020;234;931,2;3;11,9;1;4;;WAAR;WAAR;Cuijk
Culemborg;216;Culemborg;28955;21-10-2020;3-11-2020;199;687,3;4;13,8;1;3,5;;WAAR;WAAR;Culemborg
Dalfsen;148;Dalfsen;28587;21-10-2020;3-11-2020;165;577,2;0;0;1;3,5;;WAAR;WAAR;Dalfsen
Dantumadiel;1891;Dantumadiel;18922;21-10-2020;3-11-2020;28;148;0;0;0;0;;WAAR;WAAR;Dantumadiel
De Bilt;310;De Bilt;43137;21-10-2020;3-11-2020;290;672,3;3;7;0;0;;WAAR;WAAR;De Bilt
De Fryske Marren;1940;De Fryske Marren;51564;21-10-2020;3-11-2020;149;289;2;3,9;2;3,9;;WAAR;WAAR;De Fryske Marren
De Ronde Venen;736;De Ronde Venen;44456;21-10-2020;3-11-2020;301;677,1;8;18;3;6,7;;WAAR;WAAR;De Ronde Venen
De Wolden;1690;De Wolden;24330;21-10-2020;3-11-2020;89;365,8;1;4,1;0;0;;WAAR;WAAR;De Wolden
Delft;503;Delft;103595;21-10-2020;3-11-2020;767;740,4;3;2,9;4;3,9;;WAAR;WAAR;Delft
Delfzijl;10;Delfzijl;24678;21-10-2020;3-11-2020;34;137,8;0;0;0;0;;WAAR;WAAR;Delfzijl
Den Helder;400;Den Helder;56296;21-10-2020;3-11-2020;185;328,6;1;1,8;2;3,6;;WAAR;WAAR;Den Helder
Deurne;762;Deurne;32471;21-10-2020;3-11-2020;298;917,7;0;0;1;3,1;;WAAR;WAAR;Deurne
Deventer;150;Deventer;100719;21-10-2020;3-11-2020;468;464,7;0;0;4;4;;WAAR;WAAR;Deventer
Diemen;384;Diemen;30780;21-10-2020;3-11-2020;221;718;2;6,5;3;9,7;;WAAR;WAAR;Diemen
Dinkelland;1774;Dinkelland;26461;21-10-2020;3-11-2020;270;1020,4;0;0;3;11,3;;WAAR;WAAR;Dinkelland
Doesburg;221;Doesburg;11077;21-10-2020;3-11-2020;47;424,3;0;0;1;9;;WAAR;WAAR;Doesburg
Doetinchem;222;Doetinchem;58001;21-10-2020;3-11-2020;262;451,7;4;6,9;1;1,7;;WAAR;WAAR;Doetinchem
Dongen;766;Dongen;26222;21-10-2020;3-11-2020;244;930,5;3;11,4;3;11,4;;WAAR;WAAR;Dongen
Dordrecht;505;Dordrecht;119284;21-10-2020;3-11-2020;1259;1055,5;0;0;4;3,4;;WAAR;WAAR;Dordrecht
Drechterland;498;Drechterland;19719;21-10-2020;3-11-2020;120;608,6;1;5,1;0;0;;WAAR;WAAR;Drechterland
Drimmelen;1719;Drimmelen;27272;21-10-2020;3-11-2020;227;832,4;0;0;0;0;;WAAR;WAAR;Drimmelen
Dronten;303;Dronten;41555;21-10-2020;3-11-2020;119;286,4;0;0;1;2,4;;WAAR;WAAR;Dronten
Druten;225;Druten;18926;21-10-2020;3-11-2020;106;560,1;0;0;1;5,3;;WAAR;WAAR;Druten
Duiven;226;Duiven;25126;21-10-2020;3-11-2020;129;513,4;0;0;0;0;;WAAR;WAAR;Duiven
Echt-Susteren;1711;Echt-Susteren;31610;21-10-2020;3-11-2020;82;259,4;0;0;0;0;;WAAR;WAAR;Echt-Susteren
Edam-Volendam;385;Edam-Volendam;36197;21-10-2020;3-11-2020;300;828,8;5;13,8;1;2,8;;WAAR;WAAR;Edam-Volendam
Ede;228;Ede;117165;21-10-2020;3-11-2020;735;627,3;4;3,4;5;4,3;;WAAR;WAAR;Ede
Eemnes;317;Eemnes;9247;21-10-2020;3-11-2020;70;757;0;0;0;0;;WAAR;WAAR;Eemnes
Eersel;770;Eersel;19313;21-10-2020;3-11-2020;172;890,6;1;5,2;1;5,2;;WAAR;WAAR;Eersel
Eijsden-Margraten;1903;Eijsden-Margraten;25768;21-10-2020;3-11-2020;121;469,6;2;7,8;1;3,9;;WAAR;WAAR;Eijsden-Margraten
Eindhoven;772;Eindhoven;234394;21-10-2020;3-11-2020;1466;625,4;4;1,7;9;3,8;;WAAR;WAAR;Eindhoven
Elburg;230;Elburg;23161;21-10-2020;3-11-2020;98;423,1;1;4,3;0;0;;WAAR;WAAR;Elburg
Emmen;114;Emmen;107048;21-10-2020;3-11-2020;363;339,1;5;4,7;5;4,7;;WAAR;WAAR;Emmen
Enkhuizen;388;Enkhuizen;18591;21-10-2020;3-11-2020;121;650,9;0;0;0;0;;WAAR;WAAR;Enkhuizen
Enschede;153;Enschede;159640;21-10-2020;3-11-2020;1332;834,4;0;0;14;8,8;;WAAR;WAAR;Enschede
Epe;232;Epe;33178;21-10-2020;3-11-2020;174;524,4;1;3;0;0;;WAAR;WAAR;Epe
Ermelo;233;Ermelo;27008;21-10-2020;3-11-2020;132;488,7;0;0;0;0;;WAAR;WAAR;Ermelo
Etten-Leur;777;Etten-Leur;43878;21-10-2020;3-11-2020;351;799,9;5;11,4;0;0;;WAAR;WAAR;Etten-Leur
Geertruidenberg;779;Geertruidenberg;21544;21-10-2020;3-11-2020;132;612,7;2;9,3;0;0;;WAAR;WAAR;Geertruidenberg
Geldrop-Mierlo;1771;Geldrop-Mierlo;39726;21-10-2020;3-11-2020;330;830,7;3;7,6;1;2,5;;WAAR;WAAR;Geldrop-Mierlo
Gemert-Bakel;1652;Gemert-Bakel;30723;21-10-2020;3-11-2020;175;569,6;0;0;2;6,5;;WAAR;WAAR;Gemert-Bakel
Gennep;907;Gennep;16921;21-10-2020;3-11-2020;97;573,3;1;5,9;0;0;;WAAR;WAAR;Gennep
Gilze en Rijen;784;Gilze en Rijen;26431;21-10-2020;3-11-2020;215;813,4;2;7,6;1;3,8;;WAAR;WAAR;Gilze en Rijen
Goeree-Overflakkee;1924;Goeree-Overflakkee;50049;21-10-2020;3-11-2020;321;641,4;3;6;3;6;;WAAR;WAAR;Goeree-Overflakkee
Goes;664;Goes;38082;21-10-2020;3-11-2020;123;323;1;2,6;0;0;;WAAR;WAAR;Goes
Goirle;785;Goirle;23904;21-10-2020;3-11-2020;191;799;3;12,6;3;12,6;;WAAR;WAAR;Goirle
Gooise Meren;1942;Gooise Meren;58055;21-10-2020;3-11-2020;311;535,7;1;1,7;0;0;;WAAR;WAAR;Gooise Meren
Gorinchem;512;Gorinchem;37022;21-10-2020;3-11-2020;302;815,7;1;2,7;4;10,8;;WAAR;WAAR;Gorinchem
Gouda;513;Gouda;73427;21-10-2020;3-11-2020;579;788,5;17;23,2;14;19,1;;WAAR;WAAR;Gouda
Grave;786;Grave;12436;21-10-2020;3-11-2020;127;1021,2;4;32,2;1;8;;WAAR;WAAR;Grave
Groningen (gemeente);14;Groningen (gemeente);232874;21-10-2020;3-11-2020;531;228;2;0,9;1;0,4;;WAAR;WAAR;Groningen (gemeente)
Gulpen-Wittem;1729;Gulpen-Wittem;14171;21-10-2020;3-11-2020;59;416,3;1;7,1;1;7,1;;WAAR;WAAR;Gulpen-Wittem
Haaksbergen;158;Haaksbergen;24311;21-10-2020;3-11-2020;178;732,2;1;4,1;1;4,1;;WAAR;WAAR;Haaksbergen
Haaren;788;Haaren;14370;21-10-2020;3-11-2020;146;1016;0;0;0;0;;WAAR;WAAR;Haaren
Haarlem;392;Haarlem;162902;21-10-2020;3-11-2020;900;552,5;8;4,9;5;3,1;;WAAR;WAAR;Haarlem
Haarlemmermeer;394;Haarlemmermeer;156002;21-10-2020;3-11-2020;952;610,2;8;5,1;4;2,6;;WAAR;WAAR;Haarlemmermeer
Halderberge;1655;Halderberge;30284;21-10-2020;3-11-2020;279;921,3;1;3,3;1;3,3;;WAAR;WAAR;Halderberge
Hardenberg;160;Hardenberg;60948;21-10-2020;3-11-2020;282;462,7;0;0;0;0;;WAAR;WAAR;Hardenberg
Harderwijk;243;Harderwijk;48414;21-10-2020;3-11-2020;191;394,5;0;0;1;2,1;;WAAR;WAAR;Harderwijk
Hardinxveld-Giessendam;523;Hardinxveld-Giessendam;18295;21-10-2020;3-11-2020;176;962;0;0;3;16,4;;WAAR;WAAR;Hardinxveld-Giessendam
Harlingen;72;Harlingen;15722;21-10-2020;3-11-2020;33;209,9;1;6,4;1;6,4;;WAAR;WAAR;Harlingen
Hattem;244;Hattem;12209;21-10-2020;3-11-2020;45;368,6;0;0;0;0;;WAAR;WAAR;Hattem
Heemskerk;396;Heemskerk;39182;21-10-2020;3-11-2020;280;714,6;0;0;1;2,6;;WAAR;WAAR;Heemskerk
Heemstede;397;Heemstede;27234;21-10-2020;3-11-2020;97;356,2;2;7,3;0;0;;WAAR;WAAR;Heemstede
Heerde;246;Heerde;18589;21-10-2020;3-11-2020;52;279,7;0;0;0;0;;WAAR;WAAR;Heerde
Heerenveen;74;Heerenveen;50493;21-10-2020;3-11-2020;97;192,1;0;0;0;0;;WAAR;WAAR;Heerenveen
Heerhugowaard;398;Heerhugowaard;57587;21-10-2020;3-11-2020;298;517,5;1;1,7;1;1,7;;WAAR;WAAR;Heerhugowaard
Heerlen;917;Heerlen;87086;21-10-2020;3-11-2020;294;337,6;1;1,1;1;1,1;;WAAR;WAAR;Heerlen
Heeze-Leende;1658;Heeze-Leende;16152;21-10-2020;3-11-2020;151;934,9;1;6,2;0;0;;WAAR;WAAR;Heeze-Leende
Heiloo;399;Heiloo;23968;21-10-2020;3-11-2020;104;433,9;0;0;0;0;;WAAR;WAAR;Heiloo
Hellendoorn;163;Hellendoorn;35916;21-10-2020;3-11-2020;275;765,7;0;0;1;2,8;;WAAR;WAAR;Hellendoorn
Hellevoetsluis;530;Hellevoetsluis;40142;21-10-2020;3-11-2020;261;650,2;0;0;1;2,5;;WAAR;WAAR;Hellevoetsluis
Helmond;794;Helmond;92423;21-10-2020;3-11-2020;800;865,6;0;0;1;1,1;;WAAR;WAAR;Helmond
Hendrik-Ido-Ambacht;531;Hendrik-Ido-Ambacht;31202;21-10-2020;3-11-2020;324;1038,4;0;0;1;3,2;;WAAR;WAAR;Hendrik-Ido-Ambacht
Hengelo (O.);164;Hengelo (O.);81140;21-10-2020;3-11-2020;541;666,7;1;1,2;1;1,2;;WAAR;WAAR;Hengelo (O.)
Het Hogeland;1966;Het Hogeland;47801;21-10-2020;3-11-2020;95;198,7;0;0;0;0;;WAAR;WAAR;Het Hogeland
Heumen;252;Heumen;16454;21-10-2020;3-11-2020;89;540,9;0;0;0;0;;WAAR;WAAR;Heumen
Heusden;797;Heusden;44692;21-10-2020;3-11-2020;387;865,9;3;6,7;1;2,2;;WAAR;WAAR;Heusden
Hillegom;534;Hillegom;22209;21-10-2020;3-11-2020;131;589,9;0;0;0;0;;WAAR;WAAR;Hillegom
Hilvarenbeek;798;Hilvarenbeek;15518;21-10-2020;3-11-2020;151;973,1;1;6,4;3;19,3;;WAAR;WAAR;Hilvarenbeek
Hilversum;402;Hilversum;90831;21-10-2020;3-11-2020;481;529,6;2;2,2;0;0;;WAAR;WAAR;Hilversum
Hoeksche Waard;1963;Hoeksche Waard;87401;21-10-2020;3-11-2020;553;632,7;2;2,3;2;2,3;;WAAR;WAAR;Hoeksche Waard
Hof van Twente;1735;Hof van Twente;35017;21-10-2020;3-11-2020;227;648,3;1;2,9;0;0;;WAAR;WAAR;Hof van Twente
Hollands Kroon;1911;Hollands Kroon;48432;21-10-2020;3-11-2020;200;413;0;0;0;0;;WAAR;WAAR;Hollands Kroon
Hoogeveen;118;Hoogeveen;55699;21-10-2020;3-11-2020;233;418,3;3;5,4;0;0;;WAAR;WAAR;Hoogeveen
Hoorn;405;Hoorn;73261;21-10-2020;3-11-2020;408;556,9;1;1,4;1;1,4;;WAAR;WAAR;Hoorn
Horst aan de Maas;1507;Horst aan de Maas;42429;21-10-2020;3-11-2020;284;669,4;4;9,4;0;0;;WAAR;WAAR;Horst aan de Maas
Houten;321;Houten;50146;21-10-2020;3-11-2020;390;777,7;1;2;9;17,9;;WAAR;WAAR;Houten
Huizen;406;Huizen;41273;21-10-2020;3-11-2020;332;804,4;2;4,8;2;4,8;;WAAR;WAAR;Huizen
Hulst;677;Hulst;27556;21-10-2020;3-11-2020;162;587,9;3;10,9;0;0;;WAAR;WAAR;Hulst
IJsselstein;353;IJsselstein;34109;21-10-2020;3-11-2020;249;730;3;8,8;2;5,9;;WAAR;WAAR;IJsselstein
Kaag en Braassem;1884;Kaag en Braassem;27297;21-10-2020;3-11-2020;202;740;1;3,7;0;0;;WAAR;WAAR;Kaag en Braassem
Kampen;166;Kampen;54319;21-10-2020;3-11-2020;140;257,7;0;0;0;0;;WAAR;WAAR;Kampen
Kapelle;678;Kapelle;12695;21-10-2020;3-11-2020;31;244,2;0;0;0;0;;WAAR;WAAR;Kapelle
Katwijk;537;Katwijk;65753;21-10-2020;3-11-2020;748;1137,6;5;7,6;5;7,6;;WAAR;WAAR;Katwijk
Kerkrade;928;Kerkrade;45749;21-10-2020;3-11-2020;154;336,6;5;10,9;0;0;;WAAR;WAAR;Kerkrade
Koggenland;1598;Koggenland;22749;21-10-2020;3-11-2020;136;597,8;2;8,8;0;0;;WAAR;WAAR;Koggenland
Krimpen aan den IJssel;542;Krimpen aan den IJssel;29526;21-10-2020;3-11-2020;239;809,5;0;0;4;13,5;;WAAR;WAAR;Krimpen aan den IJssel
Krimpenerwaard;1931;Krimpenerwaard;56319;21-10-2020;3-11-2020;388;688,9;6;10,7;1;1,8;;WAAR;WAAR;Krimpenerwaard
Laarbeek;1659;Laarbeek;22523;21-10-2020;3-11-2020;164;728,1;0;0;0;0;;WAAR;WAAR;Laarbeek
Landerd;1685;Landerd;15730;21-10-2020;3-11-2020;137;870,9;0;0;0;0;;WAAR;WAAR;Landerd
Landgraaf;882;Landgraaf;37445;21-10-2020;3-11-2020;120;320,5;2;5,3;0;0;;WAAR;WAAR;Landgraaf
Landsmeer;415;Landsmeer;11491;21-10-2020;3-11-2020;90;783,2;0;0;0;0;;WAAR;WAAR;Landsmeer
Langedijk;416;Langedijk;28163;21-10-2020;3-11-2020;173;614,3;0;0;0;0;;WAAR;WAAR;Langedijk
Lansingerland;1621;Lansingerland;62384;21-10-2020;3-11-2020;528;846,4;3;4,8;4;6,4;;WAAR;WAAR;Lansingerland
Laren (NH.);417;Laren (NH.);11280;21-10-2020;3-11-2020;86;762,4;0;0;0;0;;WAAR;WAAR;Laren (NH.)
Leeuwarden;80;Leeuwarden;124084;21-10-2020;3-11-2020;256;206,3;2;1,6;3;2,4;;WAAR;WAAR;Leeuwarden
Leiden;546;Leiden;125099;21-10-2020;3-11-2020;1033;825,7;5;4;1;0,8;;WAAR;WAAR;Leiden
Leiderdorp;547;Leiderdorp;27056;21-10-2020;3-11-2020;225;831,6;4;14,8;1;3,7;;WAAR;WAAR;Leiderdorp
Leidschendam-Voorburg;1916;Leidschendam-Voorburg;76534;21-10-2020;3-11-2020;489;638,9;5;6,5;2;2,6;;WAAR;WAAR;Leidschendam-Voorburg
Lelystad;995;Lelystad;78598;21-10-2020;3-11-2020;373;474,6;4;5,1;2;2,5;;WAAR;WAAR;Lelystad
Leudal;1640;Leudal;35879;21-10-2020;3-11-2020;110;306,6;0;0;4;11,1;;WAAR;WAAR;Leudal
Leusden;327;Leusden;30401;21-10-2020;3-11-2020;205;674,3;0;0;1;3,3;;WAAR;WAAR;Leusden
Lingewaard;1705;Lingewaard;46601;21-10-2020;3-11-2020;324;695,3;0;0;2;4,3;;WAAR;WAAR;Lingewaard
Lisse;553;Lisse;22955;21-10-2020;3-11-2020;176;766,7;0;0;1;4,4;;WAAR;WAAR;Lisse
Lochem;262;Lochem;33729;21-10-2020;3-11-2020;120;355,8;2;5,9;1;3;;WAAR;WAAR;Lochem
Loon op Zand;809;Loon op Zand;23408;21-10-2020;3-11-2020;221;944,1;0;0;5;21,4;;WAAR;WAAR;Loon op Zand
Lopik;331;Lopik;14467;21-10-2020;3-11-2020;118;815,6;2;13,8;0;0;;WAAR;WAAR;Lopik
Loppersum;24;Loppersum;9537;21-10-2020;3-11-2020;22;230,7;0;0;0;0;;WAAR;WAAR;Loppersum
Losser;168;Losser;22683;21-10-2020;3-11-2020;190;837,6;0;0;1;4,4;;WAAR;WAAR;Losser
Maasdriel;263;Maasdriel;25030;21-10-2020;3-11-2020;213;851;3;12;1;4;;WAAR;WAAR;Maasdriel
Maasgouw;1641;Maasgouw;23965;21-10-2020;3-11-2020;55;229,5;0;0;0;0;;WAAR;WAAR;Maasgouw
Maassluis;556;Maassluis;33213;21-10-2020;3-11-2020;273;822;3;9;2;6;;WAAR;WAAR;Maassluis
Maastricht;935;Maastricht;121575;21-10-2020;3-11-2020;480;394,8;4;3,3;1;0,8;;WAAR;WAAR;Maastricht
Medemblik;420;Medemblik;45101;21-10-2020;3-11-2020;271;600,9;1;2,2;0;0;;WAAR;WAAR;Medemblik
Meerssen;938;Meerssen;18828;21-10-2020;3-11-2020;37;196,5;0;0;0;0;;WAAR;WAAR;Meerssen
Meierijstad;1948;Meierijstad;81194;21-10-2020;3-11-2020;554;682,3;5;6,2;1;1,2;;WAAR;WAAR;Meierijstad
Meppel;119;Meppel;33920;21-10-2020;3-11-2020;110;324,3;0;0;0;0;;WAAR;WAAR;Meppel
Middelburg (Z.);687;Middelburg (Z.);48822;21-10-2020;3-11-2020;131;268,3;2;4,1;0;0;;WAAR;WAAR;Middelburg (Z.)
Midden-Delfland;1842;Midden-Delfland;19341;21-10-2020;3-11-2020;148;765,2;1;5,2;1;5,2;;WAAR;WAAR;Midden-Delfland
Midden-Drenthe;1731;Midden-Drenthe;33185;21-10-2020;3-11-2020;126;379,7;0;0;0;0;;WAAR;WAAR;Midden-Drenthe
Midden-Groningen;1952;Midden-Groningen;60797;21-10-2020;3-11-2020;113;185,9;1;1,6;0;0;;WAAR;WAAR;Midden-Groningen
Mill en Sint Hubert;815;Mill en Sint Hubert;10939;21-10-2020;3-11-2020;82;749,6;3;27,4;1;9,1;;WAAR;WAAR;Mill en Sint Hubert
Moerdijk;1709;Moerdijk;37129;21-10-2020;3-11-2020;348;937,3;3;8,1;6;16,2;;WAAR;WAAR;Moerdijk
Molenlanden;1978;Molenlanden;43909;21-10-2020;3-11-2020;431;981,6;0;0;2;4,6;;WAAR;WAAR;Molenlanden
Montferland;1955;Montferland;36011;21-10-2020;3-11-2020;216;599,8;1;2,8;1;2,8;;WAAR;WAAR;Montferland
Montfoort;335;Montfoort;13917;21-10-2020;3-11-2020;118;847,9;1;7,2;0;0;;WAAR;WAAR;Montfoort
Mook en Middelaar;944;Mook en Middelaar;7847;21-10-2020;3-11-2020;43;548;1;12,7;0;0;;WAAR;WAAR;Mook en Middelaar
Neder-Betuwe;1740;Neder-Betuwe;24339;21-10-2020;3-11-2020;169;694,4;2;8,2;0;0;;WAAR;WAAR;Neder-Betuwe
Nederweert;946;Nederweert;17019;21-10-2020;3-11-2020;108;634,6;1;5,9;0;0;;WAAR;WAAR;Nederweert
Nieuwegein;356;Nieuwegein;63462;21-10-2020;3-11-2020;452;712,2;2;3,2;3;4,7;;WAAR;WAAR;Nieuwegein
Nieuwkoop;569;Nieuwkoop;28811;21-10-2020;3-11-2020;233;808,7;1;3,5;1;3,5;;WAAR;WAAR;Nieuwkoop
Nijkerk;267;Nijkerk;43171;21-10-2020;3-11-2020;255;590,7;2;4,6;0;0;;WAAR;WAAR;Nijkerk
