Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;
Dronten;38;91,4;4;9,6;3;7,2;;;WAAR;Dronten
Druten;23;121,5;4;21,1;3;15,9;;;WAAR;Druten
Duiven;14;55,7;3;11,9;4;15,9;;;WAAR;Duiven
Echt-Susteren;17;53,8;4;12,7;0;0;;;WAAR;Echt-Susteren
Edam-Volendam;32;88,4;2;5,5;3;8,3;;;WAAR;Edam-Volendam
Ede;51;43,5;2;1,7;6;5,1;;;WAAR;Ede
Eemnes;3;32,4;1;10,8;0;0;;;WAAR;Eemnes
Eersel;10;51,8;4;20,7;2;10,4;;;WAAR;Eersel
Eijsden-Margraten;20;77,6;3;11,6;6;23,3;;;WAAR;Eijsden-Margraten
Eindhoven;103;43,9;19;8,1;17;7,3;;;WAAR;Eindhoven
Elburg;35;151,1;6;25,9;6;25,9;;;WAAR;Elburg
Emmen;30;28;4;3,7;3;2,8;;;WAAR;Emmen
Enkhuizen;4;21,5;0;0;0;0;;;WAAR;Enkhuizen
Enschede;34;21,3;2;1,3;4;2,5;;;WAAR;Enschede
Epe;38;114,5;3;9;7;21,1;;;WAAR;Epe
Ermelo;28;103,7;1;3,7;3;11,1;;;WAAR;Ermelo
Etten-Leur;39;88,9;2;4,6;1;2,3;;;WAAR;Etten-Leur
Geertruidenberg;17;78,9;1;4,6;2;9,3;;;WAAR;Geertruidenberg
Geldrop-Mierlo;20;50,3;6;15,1;2;5;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;21;68,4;2;6,5;1;3,3;;;WAAR;Gemert-Bakel
Gennep;5;29,5;1;5,9;2;11,8;;;WAAR;Gennep
Gilze en Rijen;17;64,3;0;0;5;18,9;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;22;44;2;4;5;10;;;WAAR;Goeree-Overflakkee
Goes;9;23,6;0;0;2;5,3;;;WAAR;Goes
Goirle;8;33,5;1;4,2;2;8,4;;;WAAR;Goirle
Gooise Meren;18;31;1;1,7;3;5,2;;;WAAR;Gooise Meren
Gorinchem;23;62,1;0;0;3;8,1;;;WAAR;Gorinchem
Gouda;64;87,2;3;4,1;17;23,2;;;WAAR;Gouda
Grave;19;152,8;2;16,1;3;24,1;;;WAAR;Grave
Groningen (gemeente);18;7,7;2;0,9;1;0,4;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;24;169,4;6;42,3;7;49,4;;;WAAR;Gulpen-Wittem
Haaksbergen;9;37;0;0;3;12,3;;;WAAR;Haaksbergen
Haaren;6;41,8;0;0;2;13,9;;;WAAR;Haaren
Haarlem;24;14,7;5;3,1;5;3,1;;;WAAR;Haarlem
Haarlemmermeer;35;22,4;3;1,9;6;3,8;;;WAAR;Haarlemmermeer
Halderberge;9;29,7;2;6,6;0;0;;;WAAR;Halderberge
Hardenberg;31;50,9;0;0;2;3,3;;;WAAR;Hardenberg
Harderwijk;55;113,6;6;12,4;3;6,2;;;WAAR;Harderwijk
Hardinxveld-Giessendam;5;27,3;0;0;0;0;;;WAAR;Hardinxveld-Giessendam
Harlingen;5;31,8;0;0;1;6,4;;;WAAR;Harlingen
Hattem;4;32,8;0;0;1;8,2;;;WAAR;Hattem
Heemskerk;6;15,3;0;0;2;5,1;;;WAAR;Heemskerk
Heemstede;2;7,3;0;0;5;18,4;;;WAAR;Heemstede
Heerde;68;365,8;6;32,3;9;48,4;;;WAAR;Heerde
Heerenveen;20;39,6;1;2;9;17,8;;;WAAR;Heerenveen
Heerhugowaard;43;74,7;1;1,7;1;1,7;;;WAAR;Heerhugowaard
Heerlen;83;95,3;16;18,4;9;10,3;;;WAAR;Heerlen
Heeze-Leende;5;31;1;6,2;1;6,2;;;WAAR;Heeze-Leende
Heiloo;10;41,7;0;0;3;12,5;;;WAAR;Heiloo
Hellendoorn;35;97,4;1;2,8;7;19,5;;;WAAR;Hellendoorn
Hellevoetsluis;8;19,9;0;0;2;5;;;WAAR;Hellevoetsluis
Helmond;65;70,3;8;8,7;5;5,4;;;WAAR;Helmond
Hendrik-Ido-Ambacht;8;25,6;0;0;1;3,2;;;WAAR;Hendrik-Ido-Ambacht
Hengelo (O.);11;13,6;2;2,5;9;11,1;;;WAAR;Hengelo (O.)
Het Hogeland;4;8,4;0;0;1;2,1;;;WAAR;Het Hogeland
Heumen;19;115,5;1;6,1;3;18,2;;;WAAR;Heumen
Heusden;42;94;1;2,2;6;13,4;;;WAAR;Heusden
Hillegom;7;31,5;0;0;1;4,5;;;WAAR;Hillegom
Hilvarenbeek;9;58;1;6,4;1;6,4;;;WAAR;Hilvarenbeek
Hilversum;84;92,5;4;4,4;10;11;;;WAAR;Hilversum
Hoeksche Waard;83;95;5;5,7;9;10,3;;;WAAR;Hoeksche Waard
Hof van Twente;6;17,1;1;2,9;1;2,9;;;WAAR;Hof van Twente
Hollands Kroon;8;16,5;0;0;1;2,1;;;WAAR;Hollands Kroon
Hoogeveen;35;62,8;4;7,2;6;10,8;;;WAAR;Hoogeveen
Hoorn;20;27,3;3;4,1;1;1,4;;;WAAR;Hoorn
Horst aan de Maas;22;51,9;0;0;6;14,1;;;WAAR;Horst aan de Maas
Houten;20;39,9;0;0;4;8;;;WAAR;Houten
Huizen;48;116,3;0;0;3;7,3;;;WAAR;Huizen
Hulst;4;14,5;1;3,6;0;0;;;WAAR;Hulst
IJsselstein;39;114,3;1;2,9;6;17,6;;;WAAR;IJsselstein
Kaag en Braassem;10;36,6;0;0;0;0;;;WAAR;Kaag en Braassem
Kampen;76;139,9;3;5,5;5;9,2;;;WAAR;Kampen
Kapelle;6;47,3;1;7,9;0;0;;;WAAR;Kapelle
Katwijk;76;115,6;4;6,1;4;6,1;;;WAAR;Katwijk
Kerkrade;55;120,2;8;17,5;8;17,5;;;WAAR;Kerkrade
Koggenland;6;26,4;0;0;2;8,8;;;WAAR;Koggenland
Krimpen aan den IJssel;24;81,3;1;3,4;1;3,4;;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;35;62,1;4;7,1;2;3,6;;;WAAR;Krimpenerwaard
Laarbeek;28;124,3;3;13,3;3;13,3;;;WAAR;Laarbeek
Landerd;28;178;1;6,4;5;31,8;;;WAAR;Landerd
Landgraaf;33;88,1;7;18,7;1;2,7;;;WAAR;Landgraaf
Landsmeer;5;43,5;0;0;1;8,7;;;WAAR;Landsmeer
Langedijk;6;21,3;0;0;1;3,6;;;WAAR;Langedijk
Lansingerland;33;52,9;4;6,4;3;4,8;;;WAAR;Lansingerland
Laren (NH.);3;26,6;0;0;1;8,9;;;WAAR;Laren (NH.)
Leeuwarden;7;5,6;1;0,8;2;1,6;;;WAAR;Leeuwarden
Leiden;28;22,4;4;3,2;5;4;;;WAAR;Leiden
Leiderdorp;6;22,2;1;3,7;2;7,4;;;WAAR;Leiderdorp
Leidschendam-Voorburg;28;36,6;1;1,3;2;2,6;;;WAAR;Leidschendam-Voorburg
Lelystad;52;66,2;7;8,9;10;12,7;;;WAAR;Lelystad
Leudal;41;114,3;0;0;7;19,5;;;WAAR;Leudal
Leusden;11;36,2;1;3,3;0;0;;;WAAR;Leusden
Lingewaard;29;62,2;1;2,1;4;8,6;;;WAAR;Lingewaard
Lisse;5;21,8;0;0;0;0;;;WAAR;Lisse
Lochem;33;97,8;0;0;6;17,8;;;WAAR;Lochem
Loon op Zand;10;42,7;1;4,3;0;0;;;WAAR;Loon op Zand
Lopik;26;179,7;2;13,8;4;27,6;;;WAAR;Lopik
Loppersum;0;0;0;0;0;0;;;WAAR;Loppersum
Losser;5;22;0;0;0;0;;;WAAR;Losser
Maasdriel;11;43,9;0;0;1;4;;;WAAR;Maasdriel
Maasgouw;37;154,4;4;16,7;2;8,3;;;WAAR;Maasgouw
Maassluis;9;27,1;3;9;2;6;;;WAAR;Maassluis
Maastricht;165;135,7;25;20,6;43;35,4;;;WAAR;Maastricht
Medemblik;18;39,9;1;2,2;0;0;;;WAAR;Medemblik
Meerssen;15;79,7;5;26,6;4;21,2;;;WAAR;Meerssen
Meierijstad;96;118,2;7;8,6;16;19,7;;;WAAR;Meierijstad
Meppel;6;17,7;0;0;0;0;;;WAAR;Meppel
Middelburg (Z.);12;24,6;1;2;0;0;;;WAAR;Middelburg (Z.)
Midden-Delfland;3;15,5;0;0;0;0;;;WAAR;Midden-Delfland
Midden-Drenthe;3;9;0;0;0;0;;;WAAR;Midden-Drenthe
Midden-Groningen;5;8,2;0;0;1;1,6;;;WAAR;Midden-Groningen
Mill en Sint Hubert;10;91,4;0;0;1;9,1;;;WAAR;Mill en Sint Hubert
Moerdijk;23;61,9;0;0;3;8,1;;;WAAR;Moerdijk
Molenlanden;25;56,9;1;2,3;2;4,6;;;WAAR;Molenlanden
Montferland;32;88,9;4;11,1;1;2,8;;;WAAR;Montferland
Montfoort;4;28,7;0;0;0;0;;;WAAR;Montfoort
Mook en Middelaar;6;76,5;0;0;2;25,5;;;WAAR;Mook en Middelaar
Neder-Betuwe;41;168,5;0;0;4;16,4;;;WAAR;Neder-Betuwe
Nederweert;11;64,6;3;17,6;2;11,8;;;WAAR;Nederweert
Nieuwegein;32;50,4;2;3,2;3;4,7;;;WAAR;Nieuwegein
Nieuwkoop;10;34,7;1;3,5;0;0;;;WAAR;Nieuwkoop
Nijkerk;7;16,2;1;2,3;1;2,3;;;WAAR;Nijkerk
Nijmegen;85;47,8;6;3,4;13;7,3;;;WAAR;Nijmegen
Nissewaard;38;44,6;8;9,4;5;5,9;;;WAAR;Nissewaard
Noardeast-Fryslan;0;0;0;0;1;2,2;;;WAAR;Noardeast-Fryslan
Noord-Beveland;1;13,5;0;0;0;0;;;WAAR;Noord-Beveland
Noordenveld;3;9,6;0;0;0;0;;;WAAR;Noordenveld
Noordoostpolder;32;67,7;3;6,3;4;8,5;;;WAAR;Noordoostpolder
Noordwijk;11;25,3;2;4,6;1;2,3;;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;7;29,9;0;0;2;8,6;;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;67;240,6;0;0;5;18;;;WAAR;Nunspeet
Oegstgeest;9;36,2;2;8,1;2;8,1;;;WAAR;Oegstgeest
Oirschot;18;96,2;0;0;2;10,7;;;WAAR;Oirschot
Oisterwijk;10;38,1;1;3,8;1;3,8;;;WAAR;Oisterwijk
Oldambt;6;15,7;4;10,5;0;0;;;WAAR;Oldambt
Oldebroek;53;224,1;1;4,2;3;12,7;;;WAAR;Oldebroek
Oldenzaal;9;28,3;0;0;0;0;;;WAAR;Oldenzaal
Olst-Wijhe;11;60,3;0;0;3;16,4;;;WAAR;Olst-Wijhe
Ommen;16;88,8;0;0;0;0;;;WAAR;Ommen
Oost Gelre;11;37,1;1;3,4;0;0;;;WAAR;Oost Gelre
Oosterhout;25;44,7;5;8,9;3;5,4;;;WAAR;Oosterhout
Ooststellingwerf;5;19,6;1;3,9;0;0;;;WAAR;Ooststellingwerf
Oostzaan;6;61,6;1;10,3;0;0;;;WAAR;Oostzaan
Opmeer;3;25,3;0;0;0;0;;;WAAR;Opmeer
Opsterland;5;16,8;1;3,4;0;0;;;WAAR;Opsterland
Oss;82;89,2;4;4,4;9;9,8;;;WAAR;Oss
Oude IJsselstreek;24;60,9;2;5,1;5;12,7;;;WAAR;Oude IJsselstreek
Ouder-Amstel;8;57;0;0;0;0;;;WAAR;Ouder-Amstel
Oudewater;6;58,7;0;0;1;9,8;;;WAAR;Oudewater
Overbetuwe;15;31,3;1;2,1;2;4,2;;;WAAR;Overbetuwe
Papendrecht;10;31,1;0;0;0;0;;;WAAR;Papendrecht
Peel en Maas;31;71,4;4;9,2;4;9,2;;;WAAR;Peel en Maas
Pekela;1;8,2;0;0;0;0;;;WAAR;Pekela
Pijnacker-Nootdorp;39;70,5;2;3,6;5;9;;;WAAR;Pijnacker-Nootdorp
Purmerend;53;65,2;3;3,7;15;18,5;;;WAAR;Purmerend
Putten;4;16,6;0;0;0;0;;;WAAR;Putten
Raalte;75;198,9;1;2,7;8;21,2;;;WAAR;Raalte
Reimerswaal;6;26,4;0;0;0;0;;;WAAR;Reimerswaal
Renkum;18;57,3;0;0;4;12,7;;;WAAR;Renkum
Renswoude;7;128,6;0;0;0;0;;;WAAR;Renswoude
Reusel-De Mierden;3;22,9;0;0;0;0;;;WAAR;Reusel-De Mierden
Rheden;10;22,9;1;2,3;0;0;;;WAAR;Rheden
Rhenen;8;39,8;4;19,9;0;0;;;WAAR;Rhenen
Ridderkerk;29;62,8;5;10,8;2;4,3;;;WAAR;Ridderkerk
Rijssen-Holten;62;162,4;4;10,5;8;21;;;WAAR;Rijssen-Holten
Rijswijk (ZH.);41;75,3;8;14,7;10;18,4;;;WAAR;Rijswijk (ZH.)
Roerdalen;7;34;1;4,9;1;4,9;;;WAAR;Roerdalen
Roermond;17;29,2;6;10,3;1;1,7;;;WAAR;Roermond
Roosendaal;60;77,7;5;6,5;4;5,2;;;WAAR;Roosendaal
Rotterdam;571;87,7;80;12,3;125;19,2;;;WAAR;Rotterdam
Rozendaal;1;58,7;0;0;0;0;;;WAAR;Rozendaal
Rucphen;18;78,7;0;0;1;4,4;;;WAAR;Rucphen
Schagen;12;25,8;1;2,2;2;4,3;;;WAAR;Schagen
Scherpenzeel;4;40,5;1;10,1;0;0;;;WAAR;Scherpenzeel
Schiedam;86;109,2;7;8,9;8;10,2;;;WAAR;Schiedam
Schiermonnikoog;0;0;0;0;0;0;;;WAAR;Schiermonnikoog
Schouwen-Duiveland;4;11,8;1;3;1;3;;;WAAR;Schouwen-Duiveland
's-Gravenhage (gemeente);424;77,7;31;5,7;86;15,8;;;WAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;114;73,5;4;2,6;14;9;;;WAAR;'s-Hertogenbosch
Simpelveld;5;47,4;0;0;1;9,5;;;WAAR;Simpelveld
Sint Anthonis;4;34,3;0;0;1;8,6;;;WAAR;Sint Anthonis
Sint-Michielsgestel;20;68,5;4;13,7;2;6,8;;;WAAR;Sint-Michielsgestel
Sittard-Geleen;88;95,2;18;19,5;15;16,2;;;WAAR;Sittard-Geleen
Sliedrecht;17;67,4;1;4;1;4;;;WAAR;Sliedrecht
Sluis;1;4,3;0;0;0;0;;;WAAR;Sluis
Smallingerland;23;41;2;3,6;3;5,3;;;WAAR;Smallingerland
Soest;12;25,7;2;4,3;4;8,6;;;WAAR;Soest
Someren;18;92,9;2;10,3;2;10,3;;;WAAR;Someren
Son en Breugel;15;86,6;2;11,5;4;23,1;;;WAAR;Son en Breugel
Stadskanaal;1;3,2;0;0;1;3,2;;;WAAR;Stadskanaal
Staphorst;13;75,8;1;5,8;1;5,8;;;WAAR;Staphorst
Stede Broec;7;32,2;0;0;1;4,6;;;WAAR;Stede Broec
Steenbergen;28;114,7;1;4,1;5;20,5;;;WAAR;Steenbergen
Steenwijkerland;28;63,5;2;4,5;3;6,8;;;WAAR;Steenwijkerland
Stein (L.);25;100;5;20;1;4;;;WAAR;Stein (L.)
Stichtse Vecht;24;37;2;3,1;2;3,1;;;WAAR;Stichtse Vecht
Sudwest-Fryslan;16;17,8;0;0;2;2,2;;;WAAR;Sudwest-Fryslan
Terneuzen;20;36,7;4;7,3;1;1,8;;;WAAR;Terneuzen
Terschelling;1;20,5;0;0;0;0;;;WAAR;Terschelling
Texel;0;0;0;0;0;0;;;WAAR;Texel
Teylingen;11;29,4;0;0;1;2,7;;;WAAR;Teylingen
Tholen;21;81,5;0;0;1;3,9;;;WAAR;Tholen
Tiel;28;66,4;5;11,9;6;14,2;;;WAAR;Tiel
Tilburg;131;59,6;8;3,6;27;12,3;;;WAAR;Tilburg
Tubbergen;11;51,7;1;4,7;2;9,4;;;WAAR;Tubbergen
Twenterand;14;41,5;1;3;0;0;;;WAAR;Twenterand
Tynaarlo;4;11,8;1;3;0;0;;;WAAR;Tynaarlo
Tytsjerksteradiel;1;3,1;0;0;0;0;;;WAAR;Tytsjerksteradiel
Uden;30;71,2;1;2,4;6;14,2;;;WAAR;Uden
Uitgeest;3;22;0;0;0;0;;;WAAR;Uitgeest
Uithoorn;6;20,4;0;0;1;3,4;;;WAAR;Uithoorn
Urk;21;99,9;2;9,5;0;0;;;WAAR;Urk
Utrecht (gemeente);217;60,7;35;9,8;19;5,3;;;WAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;22;44,4;3;6,1;8;16,1;;;WAAR;Utrechtse Heuvelrug
Vaals;4;39,6;0;0;0;0;;;WAAR;Vaals
Valkenburg aan de Geul;18;110;0;0;3;18,3;;;WAAR;Valkenburg aan de Geul
Valkenswaard;54;173,1;2;6,4;9;28,9;;;WAAR;Valkenswaard
Veendam;1;3,7;0;0;0;0;;;WAAR;Veendam
Veenendaal;66;99,3;9;13,5;3;4,5;;;WAAR;Veenendaal
Veere;5;22,9;0;0;1;4,6;;;WAAR;Veere
Veldhoven;26;57,2;3;6,6;1;2,2;;;WAAR;Veldhoven
Velsen;60;87,4;4;5,8;16;23,3;;;WAAR;Velsen
Venlo;75;73,7;10;9,8;10;9,8;;;WAAR;Venlo
Venray;17;39;1;2,3;0;0;;;WAAR;Venray
Vijfheerenlanden;57;100,3;4;7;6;10,6;;;WAAR;Vijfheerenlanden
Vlaardingen;87;118,5;7;9,5;7;9,5;;;WAAR;Vlaardingen
Vlieland;0;0;0;0;0;0;;;WAAR;Vlieland
Vlissingen;3;6,8;1;2,3;1;2,3;;;WAAR;Vlissingen
Voerendaal;12;96,2;1;8;2;16;;;WAAR;Voerendaal
Voorschoten;13;50,8;0;0;1;3,9;;;WAAR;Voorschoten
Voorst;8;32,6;0;0;4;16,3;;;WAAR;Voorst
Vught;23;86,6;1;3,8;1;3,8;;;WAAR;Vught
Waadhoeke;25;54,2;2;4,3;4;8,7;;;WAAR;Waadhoeke
Waalre;7;40,1;1;5,7;1;5,7;;;WAAR;Waalre
Waalwijk;35;72;2;4,1;7;14,4;;;WAAR;Waalwijk
Waddinxveen;15;51,2;3;10,2;0;0;;;WAAR;Waddinxveen
Wageningen;12;30,3;4;10,1;2;5;;;WAAR;Wageningen
Wassenaar;12;45,6;0;0;3;11,4;;;WAAR;Wassenaar
Waterland;7;40,2;1;5,7;1;5,7;;;WAAR;Waterland
Weert;23;45,9;8;16;3;6;;;WAAR;Weert
Weesp;30;152;0;0;4;20,3;;;WAAR;Weesp
West Betuwe;46;90;4;7,8;12;23,5;;;WAAR;West Betuwe
West Maas en Waal;13;67,3;3;15,5;5;25,9;;;WAAR;West Maas en Waal
Westerkwartier;4;6,3;0;0;1;1,6;;;WAAR;Westerkwartier
Westerveld;6;30,8;0;0;1;5,1;;;WAAR;Westerveld
Westervoort;10;66,8;2;13,4;3;20;;;WAAR;Westervoort
Westerwolde;1;3,9;0;0;0;0;;;WAAR;Westerwolde
Westland;79;71,6;4;3,6;4;3,6;;;WAAR;Westland
Weststellingwerf;13;50,2;1;3,9;2;7,7;;;WAAR;Weststellingwerf
Westvoorne;1;6,8;0;0;0;0;;;WAAR;Westvoorne
Wierden;9;36,8;0;0;3;12,3;;;WAAR;Wierden
Wijchen;29;70,5;1;2,4;4;9,7;;;WAAR;Wijchen
Wijdemeren;5;20,5;0;0;0;0;;;WAAR;Wijdemeren
Wijk bij Duurstede;6;25,1;1;4,2;0;0;;;WAAR;Wijk bij Duurstede
Winterswijk;15;52;1;3,5;2;6,9;;;WAAR;Winterswijk
Woensdrecht;33;150,9;0;0;6;27,4;;;WAAR;Woensdrecht
Woerden;31;59,3;2;3,8;3;5,7;;;WAAR;Woerden
Wormerland;11;67,6;3;18,4;0;0;;;WAAR;Wormerland
Woudenberg;7;52,4;0;0;1;7,5;;;WAAR;Woudenberg
Zaanstad;85;54,2;8;5,1;7;4,5;;;WAAR;Zaanstad
Zaltbommel;31;107,3;1;3,5;5;17,3;;;WAAR;Zaltbommel
Zandvoort;2;11,7;0;0;2;11,7;;;WAAR;Zandvoort
Zeewolde;14;61,8;3;13,2;1;4,4;;;WAAR;Zeewolde
Zeist;41;63,2;2;3,1;5;7,7;;;WAAR;Zeist
Zevenaar;18;41,1;4;9,1;5;11,4;;;WAAR;Zevenaar
Zoetermeer;51;40,7;4;3,2;3;2,4;;;WAAR;Zoetermeer
Zoeterwoude;1;11,6;1;11,6;0;0;;;WAAR;Zoeterwoude
Zuidplas;49;111,7;3;6,8;12;27,3;;;WAAR;Zuidplas
Zundert;19;87;1;4,6;1;4,6;;;WAAR;Zundert
Zutphen;22;45,9;3;6,3;0;0;;;WAAR;Zutphen
Zwartewaterland;28;123,4;3;13,2;4;17,6;;;WAAR;Zwartewaterland
Zwijndrecht;48;107,3;5;11,2;8;17,9;;;WAAR;Zwijndrecht
Zwolle;93;72,2;1;0,8;13;10,1;;;WAAR;Zwolle
