Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;
Neder-Betuwe;1740;Neder-Betuwe;24339;11-11-2020;2020-11-24;Neder-Betuwe;177;727,2;2;8,2;0;0;;WAAR
Nederweert;946;Nederweert;17019;11-11-2020;2020-11-24;Nederweert;74;434,8;0;0;0;0;;WAAR
Nieuwegein;356;Nieuwegein;63462;11-11-2020;2020-11-24;Nieuwegein;217;341,9;3;4,7;0;0;;WAAR
Nieuwkoop;569;Nieuwkoop;28811;11-11-2020;2020-11-24;Nieuwkoop;137;475,5;0;0;1;3,5;;WAAR
Nijkerk;267;Nijkerk;43171;11-11-2020;2020-11-24;Nijkerk;155;359;0;0;0;0;;WAAR
Nijmegen;268;Nijmegen;177659;11-11-2020;2020-11-24;Nijmegen;517;291;2;1,1;8;4,5;;WAAR
Nissewaard;1930;Nissewaard;85219;11-11-2020;2020-11-24;Nissewaard;481;564,4;2;2,3;5;5,9;;WAAR
Noardeast-Fryslan;1970;Noardeast-Fryslan;45228;11-11-2020;2020-11-24;Noardeast-Fryslan;85;187,9;1;2,2;2;4,4;;WAAR
Noord-Beveland;1695;Noord-Beveland;7392;11-11-2020;2020-11-24;Noord-Beveland;11;148,8;1;13,5;0;0;;WAAR
Noordenveld;1699;Noordenveld;31253;11-11-2020;2020-11-24;Noordenveld;26;83,2;0;0;0;0;;WAAR
Noordoostpolder;171;Noordoostpolder;47291;11-11-2020;2020-11-24;Noordoostpolder;222;469,4;1;2,1;1;2,1;;WAAR
Noordwijk;575;Noordwijk;43508;11-11-2020;2020-11-24;Noordwijk;146;335,6;0;0;2;4,6;;WAAR
Nuenen, Gerwen en Nederwetten;820;Nuenen, Gerwen en Nederwetten;23383;11-11-2020;2020-11-24;Nuenen, Gerwen en Nederwetten;93;397,7;1;4,3;1;4,3;;WAAR
Nunspeet;302;Nunspeet;27851;11-11-2020;2020-11-24;Nunspeet;87;312,4;2;7,2;1;3,6;;WAAR
Oegstgeest;579;Oegstgeest;24840;11-11-2020;2020-11-24;Oegstgeest;97;390,5;1;4;1;4;;WAAR
Oirschot;823;Oirschot;18714;11-11-2020;2020-11-24;Oirschot;98;523,7;1;5,3;2;10,7;;WAAR
Oisterwijk;824;Oisterwijk;26245;11-11-2020;2020-11-24;Oisterwijk;132;503;0;0;0;0;;WAAR
Oldambt;1895;Oldambt;38209;11-11-2020;2020-11-24;Oldambt;41;107,3;0;0;1;2,6;;WAAR
Oldebroek;269;Oldebroek;23646;11-11-2020;2020-11-24;Oldebroek;60;253,7;0;0;0;0;;WAAR
Oldenzaal;173;Oldenzaal;31836;11-11-2020;2020-11-24;Oldenzaal;180;565,4;4;12,6;3;9,4;;WAAR
Olst-Wijhe;1773;Olst-Wijhe;18252;11-11-2020;2020-11-24;Olst-Wijhe;15;82,2;0;0;0;0;;WAAR
Ommen;175;Ommen;18009;11-11-2020;2020-11-24;Ommen;38;211;0;0;1;5,6;;WAAR
