Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;Gemeente
Borger-Odoorn;1681;Borger-Odoorn;25559;2020-11-25;2020-12-08;79;309,1;1;3,9;1;3,9;Borger-Odoorn
Borne;147;Borne;23312;2020-11-25;2020-12-08;99;424,7;2;8,6;0;0;Borne
Borsele;654;Borsele;22739;2020-11-25;2020-12-08;36;158,3;0;0;0;0;Borsele
Boxmeer;756;Boxmeer;29365;2020-11-25;2020-12-08;112;381,4;0;0;0;0;Boxmeer
Boxtel;757;Boxtel;30801;2020-11-25;2020-12-08;147;477,3;1;3,2;2;6,5;Boxtel
Breda;758;Breda;184069;2020-11-25;2020-12-08;701;380,8;2;1,1;1;0,5;Breda
Brielle;501;Brielle;17271;2020-11-25;2020-12-08;68;393,7;1;5,8;0;0;Brielle
Bronckhorst;1876;Bronckhorst;36055;2020-11-25;2020-12-08;164;454,9;1;2,8;1;2,8;Bronckhorst
Brummen;213;Brummen;20726;2020-11-25;2020-12-08;51;246,1;0;0;0;0;Brummen
Brunssum;899;Brunssum;27821;2020-11-25;2020-12-08;105;377,4;2;7,2;2;7,2;Brunssum
Bunnik;312;Bunnik;15191;2020-11-25;2020-12-08;52;342,3;2;13,2;1;6,6;Bunnik
Bunschoten;313;Bunschoten;21866;2020-11-25;2020-12-08;325;1486,3;6;27,4;1;4,6;Bunschoten
Buren;214;Buren;26749;2020-11-25;2020-12-08;89;332,7;1;3,7;1;3,7;Buren
Capelle aan den IJssel;502;Capelle aan den IJssel;67122;2020-11-25;2020-12-08;275;409,7;2;3;3;4,5;Capelle aan den IJssel
Castricum;383;Castricum;35986;2020-11-25;2020-12-08;170;472,4;0;0;0;0;Castricum
Coevorden;109;Coevorden;35297;2020-11-25;2020-12-08;70;198,3;1;2,8;0;0;Coevorden
Cranendonck;1706;Cranendonck;21138;2020-11-25;2020-12-08;116;548,8;0;0;0;0;Cranendonck
Cuijk;1684;Cuijk;25130;2020-11-25;2020-12-08;143;569;0;0;0;0;Cuijk
Culemborg;216;Culemborg;28955;2020-11-25;2020-12-08;129;445,5;1;3,5;0;0;Culemborg
Dalfsen;148;Dalfsen;28587;2020-11-25;2020-12-08;69;241,4;0;0;0;0;Dalfsen
Dantumadiel;1891;Dantumadiel;18922;2020-11-25;2020-12-08;55;290,7;0;0;0;0;Dantumadiel
De Bilt;310;De Bilt;43137;2020-11-25;2020-12-08;145;336,1;0;0;3;7;De Bilt
De Fryske Marren;1940;De Fryske Marren;51564;2020-11-25;2020-12-08;112;217,2;0;0;1;1,9;De Fryske Marren
De Ronde Venen;736;De Ronde Venen;44456;2020-11-25;2020-12-08;184;413,9;1;2,2;3;6,7;De Ronde Venen
De Wolden;1690;De Wolden;24330;2020-11-25;2020-12-08;49;201,4;1;4,1;0;0;De Wolden
Delft;503;Delft;103595;2020-11-25;2020-12-08;387;373,6;3;2,9;3;2,9;Delft
Delfzijl;10;Delfzijl;24678;2020-11-25;2020-12-08;107;433,6;0;0;1;4,1;Delfzijl
Den Helder;400;Den Helder;56296;2020-11-25;2020-12-08;117;207,8;0;0;2;3,6;Den Helder
Deurne;762;Deurne;32471;2020-11-25;2020-12-08;118;363,4;0;0;1;3,1;Deurne
Deventer;150;Deventer;100719;2020-11-25;2020-12-08;574;569,9;1;1;2;2;Deventer
Diemen;384;Diemen;30780;2020-11-25;2020-12-08;172;558,8;0;0;0;0;Diemen
Dinkelland;1774;Dinkelland;26461;2020-11-25;2020-12-08;203;767,2;0;0;1;3,8;Dinkelland
Doesburg;221;Doesburg;11077;2020-11-25;2020-12-08;34;306,9;1;9;0;0;Doesburg
Doetinchem;222;Doetinchem;58001;2020-11-25;2020-12-08;199;343,1;1;1,7;2;3,4;Doetinchem
Dongen;766;Dongen;26222;2020-11-25;2020-12-08;210;800,9;1;3,8;1;3,8;Dongen
Dordrecht;505;Dordrecht;119284;2020-11-25;2020-12-08;651;545,8;1;0,8;5;4,2;Dordrecht
Drechterland;498;Drechterland;19719;2020-11-25;2020-12-08;70;355;0;0;0;0;Drechterland
Drimmelen;1719;Drimmelen;27272;2020-11-25;2020-12-08;123;451;2;7,3;2;7,3;Drimmelen
Dronten;303;Dronten;41555;2020-11-25;2020-12-08;190;457,2;0;0;0;0;Dronten
Druten;225;Druten;18926;2020-11-25;2020-12-08;58;306,5;0;0;3;15,9;Druten
Duiven;226;Duiven;25126;2020-11-25;2020-12-08;141;561,2;0;0;0;0;Duiven
Echt-Susteren;1711;Echt-Susteren;31610;2020-11-25;2020-12-08;92;291;0;0;0;0;Echt-Susteren
Edam-Volendam;385;Edam-Volendam;36197;2020-11-25;2020-12-08;79;218,3;2;5,5;0;0;Edam-Volendam
Ede;228;Ede;117165;2020-11-25;2020-12-08;627;535,1;5;4,3;5;4,3;Ede
Eemnes;317;Eemnes;9247;2020-11-25;2020-12-08;23;248,7;1;10,8;0;0;Eemnes
Eersel;770;Eersel;19313;2020-11-25;2020-12-08;103;533,3;0;0;0;0;Eersel
Eijsden-Margraten;1903;Eijsden-Margraten;25768;2020-11-25;2020-12-08;131;508,4;1;3,9;1;3,9;Eijsden-Margraten
Eindhoven;772;Eindhoven;234394;2020-11-25;2020-12-08;894;381,4;6;2,6;10;4,3;Eindhoven
Elburg;230;Elburg;23161;2020-11-25;2020-12-08;124;535,4;1;4,3;0;0;Elburg
Emmen;114;Emmen;107048;2020-11-25;2020-12-08;288;269;2;1,9;3;2,8;Emmen
Enkhuizen;388;Enkhuizen;18591;2020-11-25;2020-12-08;102;548,7;0;0;0;0;Enkhuizen
Enschede;153;Enschede;159640;2020-11-25;2020-12-08;578;362,1;8;5;6;3,8;Enschede
Epe;232;Epe;33178;2020-11-25;2020-12-08;96;289,3;1;3;0;0;Epe
Ermelo;233;Ermelo;27008;2020-11-25;2020-12-08;120;444,3;0;0;0;0;Ermelo
Etten-Leur;777;Etten-Leur;43878;2020-11-25;2020-12-08;150;341,9;1;2,3;0;0;Etten-Leur
Geertruidenberg;779;Geertruidenberg;21544;2020-11-25;2020-12-08;161;747,3;1;4,6;2;9,3;Geertruidenberg
Geldrop-Mierlo;1771;Geldrop-Mierlo;39726;2020-11-25;2020-12-08;152;382,6;1;2,5;1;2,5;Geldrop-Mierlo
Gemert-Bakel;1652;Gemert-Bakel;30723;2020-11-25;2020-12-08;89;289,7;0;0;0;0;Gemert-Bakel
Gennep;907;Gennep;16921;2020-11-25;2020-12-08;86;508,2;0;0;0;0;Gennep
Gilze en Rijen;784;Gilze en Rijen;26431;2020-11-25;2020-12-08;169;639,4;0;0;0;0;Gilze en Rijen
Goeree-Overflakkee;1924;Goeree-Overflakkee;50049;2020-11-25;2020-12-08;190;379,6;1;2;0;0;Goeree-Overflakkee
Goes;664;Goes;38082;2020-11-25;2020-12-08;66;173,3;4;10,5;0;0;Goes
Goirle;785;Goirle;23904;2020-11-25;2020-12-08;110;460,2;0;0;0;0;Goirle
Gooise Meren;1942;Gooise Meren;58055;2020-11-25;2020-12-08;184;316,9;1;1,7;0;0;Gooise Meren
Gorinchem;512;Gorinchem;37022;2020-11-25;2020-12-08;226;610,4;0;0;0;0;Gorinchem
Gouda;513;Gouda;73427;2020-11-25;2020-12-08;416;566,5;7;9,5;5;6,8;Gouda
Grave;786;Grave;12436;2020-11-25;2020-12-08;72;579;0;0;1;8;Grave
Groningen;14;Groningen;232874;2020-11-25;2020-12-08;400;171,8;2;0,9;3;1,3;Groningen
Gulpen-Wittem;1729;Gulpen-Wittem;14171;2020-11-25;2020-12-08;52;366,9;1;7,1;0;0;Gulpen-Wittem
Haaksbergen;158;Haaksbergen;24311;2020-11-25;2020-12-08;123;505,9;1;4,1;4;16,5;Haaksbergen
Haaren;788;Haaren;14370;2020-11-25;2020-12-08;66;459,3;1;7;1;7;Haaren
Haarlem;392;Haarlem;162902;2020-11-25;2020-12-08;551;338,2;7;4,3;13;8;Haarlem
Haarlemmermeer;394;Haarlemmermeer;156002;2020-11-25;2020-12-08;616;394,9;1;0,6;1;0,6;Haarlemmermeer
Halderberge;1655;Halderberge;30284;2020-11-25;2020-12-08;61;201,4;1;3,3;1;3,3;Halderberge
Hardenberg;160;Hardenberg;60948;2020-11-25;2020-12-08;143;234,6;0;0;3;4,9;Hardenberg
Harderwijk;243;Harderwijk;48414;2020-11-25;2020-12-08;216;446,2;1;2,1;0;0;Harderwijk
Hardinxveld-Giessendam;523;Hardinxveld-Giessendam;18295;2020-11-25;2020-12-08;134;732,4;0;0;0;0;Hardinxveld-Giessendam
Harlingen;72;Harlingen;15722;2020-11-25;2020-12-08;27;171,7;0;0;0;0;Harlingen
Hattem;244;Hattem;12209;2020-11-25;2020-12-08;30;245,7;1;8,2;0;0;Hattem
Heemskerk;396;Heemskerk;39182;2020-11-25;2020-12-08;198;505,3;2;5,1;1;2,6;Heemskerk
Heemstede;397;Heemstede;27234;2020-11-25;2020-12-08;119;437;1;3,7;5;18,4;Heemstede
Heerde;246;Heerde;18589;2020-11-25;2020-12-08;21;113;0;0;0;0;Heerde
Heerenveen;74;Heerenveen;50493;2020-11-25;2020-12-08;55;108,9;0;0;1;2;Heerenveen
Heerhugowaard;398;Heerhugowaard;57587;2020-11-25;2020-12-08;182;316;0;0;1;1,7;Heerhugowaard
Heerlen;917;Heerlen;87086;2020-11-25;2020-12-08;283;325;3;3,4;2;2,3;Heerlen
Heeze-Leende;1658;Heeze-Leende;16152;2020-11-25;2020-12-08;69;427,2;1;6,2;1;6,2;Heeze-Leende
Heiloo;399;Heiloo;23968;2020-11-25;2020-12-08;63;262,9;0;0;0;0;Heiloo
Hellendoorn;163;Hellendoorn;35916;2020-11-25;2020-12-08;202;562,4;1;2,8;0;0;Hellendoorn
Hellevoetsluis;530;Hellevoetsluis;40142;2020-11-25;2020-12-08;115;286,5;2;5;0;0;Hellevoetsluis
Helmond;794;Helmond;92423;2020-11-25;2020-12-08;350;378,7;1;1,1;0;0;Helmond
Hendrik-Ido-Ambacht;531;Hendrik-Ido-Ambacht;31202;2020-11-25;2020-12-08;146;467,9;0;0;0;0;Hendrik-Ido-Ambacht
Hengelo;164;Hengelo;81140;2020-11-25;2020-12-08;310;382,1;1;1,2;2;2,5;Hengelo
Het Hogeland;1966;Het Hogeland;47801;2020-11-25;2020-12-08;131;274,1;1;2,1;1;2,1;Het Hogeland
Heumen;252;Heumen;16454;2020-11-25;2020-12-08;40;243,1;1;6,1;0;0;Heumen
Heusden;797;Heusden;44692;2020-11-25;2020-12-08;229;512,4;1;2,2;3;6,7;Heusden
Hillegom;534;Hillegom;22209;2020-11-25;2020-12-08;85;382,7;0;0;0;0;Hillegom
Hilvarenbeek;798;Hilvarenbeek;15518;2020-11-25;2020-12-08;51;328,7;0;0;0;0;Hilvarenbeek
Hilversum;402;Hilversum;90831;2020-11-25;2020-12-08;267;294;1;1,1;1;1,1;Hilversum
Hoeksche Waard;1963;Hoeksche Waard;87401;2020-11-25;2020-12-08;288;329,5;0;0;0;0;Hoeksche Waard
Hof van Twente;1735;Hof van Twente;35017;2020-11-25;2020-12-08;122;348,4;2;5,7;2;5,7;Hof van Twente
Hollands Kroon;1911;Hollands Kroon;48432;2020-11-25;2020-12-08;133;274,6;0;0;1;2,1;Hollands Kroon
Hoogeveen;118;Hoogeveen;55699;2020-11-25;2020-12-08;96;172,4;1;1,8;0;0;Hoogeveen
Hoorn;405;Hoorn;73261;2020-11-25;2020-12-08;270;368,5;2;2,7;0;0;Hoorn
Horst aan de Maas;1507;Horst aan de Maas;42429;2020-11-25;2020-12-08;217;511,4;2;4,7;5;11,8;Horst aan de Maas
Houten;321;Houten;50146;2020-11-25;2020-12-08;257;512,5;1;2;0;0;Houten
Huizen;406;Huizen;41273;2020-11-25;2020-12-08;165;399,8;0;0;0;0;Huizen
Hulst;677;Hulst;27556;2020-11-25;2020-12-08;79;286,7;1;3,6;0;0;Hulst
IJsselstein;353;IJsselstein;34109;2020-11-25;2020-12-08;123;360,6;1;2,9;0;0;IJsselstein
Kaag en Braassem;1884;Kaag en Braassem;27297;2020-11-25;2020-12-08;97;355,4;3;11;0;0;Kaag en Braassem
Kampen;166;Kampen;54319;2020-11-25;2020-12-08;180;331,4;0;0;1;1,8;Kampen
Kapelle;678;Kapelle;12695;2020-11-25;2020-12-08;22;173,3;0;0;0;0;Kapelle
Katwijk;537;Katwijk;65753;2020-11-25;2020-12-08;330;501,9;2;3;1;1,5;Katwijk
Kerkrade;928;Kerkrade;45749;2020-11-25;2020-12-08;111;242,6;1;2,2;1;2,2;Kerkrade
Koggenland;1598;Koggenland;22749;2020-11-25;2020-12-08;78;342,9;1;4,4;0;0;Koggenland
Krimpen aan den IJssel;542;Krimpen aan den IJssel;29526;2020-11-25;2020-12-08;131;443,7;0;0;0;0;Krimpen aan den IJssel
Krimpenerwaard;1931;Krimpenerwaard;56319;2020-11-25;2020-12-08;182;323,2;0;0;0;0;Krimpenerwaard
Laarbeek;1659;Laarbeek;22523;2020-11-25;2020-12-08;133;590,5;0;0;0;0;Laarbeek
Landerd;1685;Landerd;15730;2020-11-25;2020-12-08;82;521,3;0;0;0;0;Landerd
Landgraaf;882;Landgraaf;37445;2020-11-25;2020-12-08;112;299,1;0;0;2;5,3;Landgraaf
Landsmeer;415;Landsmeer;11491;2020-11-25;2020-12-08;35;304,6;0;0;1;8,7;Landsmeer
Langedijk;416;Langedijk;28163;2020-11-25;2020-12-08;78;277;0;0;0;0;Langedijk
Lansingerland;1621;Lansingerland;62384;2020-11-25;2020-12-08;323;517,8;2;3,2;1;1,6;Lansingerland
Laren;417;Laren;11280;2020-11-25;2020-12-08;36;319,1;1;8,9;0;0;Laren
Leeuwarden;80;Leeuwarden;124084;2020-11-25;2020-12-08;160;128,9;4;3,2;0;0;Leeuwarden
Leiden;546;Leiden;125099;2020-11-25;2020-12-08;363;290,2;3;2,4;1;0,8;Leiden
Leiderdorp;547;Leiderdorp;27056;2020-11-25;2020-12-08;116;428,7;1;3,7;0;0;Leiderdorp
Leidschendam-Voorburg;1916;Leidschendam-Voorburg;76534;2020-11-25;2020-12-08;288;376,3;8;10,5;7;9,1;Leidschendam-Voorburg
Lelystad;995;Lelystad;78598;2020-11-25;2020-12-08;291;370,2;1;1,3;2;2,5;Lelystad
Leudal;1640;Leudal;35879;2020-11-25;2020-12-08;169;471;1;2,8;2;5,6;Leudal
Leusden;327;Leusden;30401;2020-11-25;2020-12-08;88;289,5;0;0;0;0;Leusden
Lingewaard;1705;Lingewaard;46601;2020-11-25;2020-12-08;193;414,2;1;2,1;2;4,3;Lingewaard
Lisse;553;Lisse;22955;2020-11-25;2020-12-08;117;509,7;2;8,7;0;0;Lisse
Lochem;262;Lochem;33729;2020-11-25;2020-12-08;120;355,8;0;0;1;3;Lochem
Loon op Zand;809;Loon op Zand;23408;2020-11-25;2020-12-08;120;512,6;0;0;0;0;Loon op Zand
Lopik;331;Lopik;14467;2020-11-25;2020-12-08;86;594,5;0;0;0;0;Lopik
Loppersum;24;Loppersum;9537;2020-11-25;2020-12-08;27;283,1;0;0;0;0;Loppersum
Losser;168;Losser;22683;2020-11-25;2020-12-08;148;652,5;2;8,8;2;8,8;Losser
Maasdriel;263;Maasdriel;25030;2020-11-25;2020-12-08;98;391,5;0;0;2;8;Maasdriel
Maasgouw;1641;Maasgouw;23965;2020-11-25;2020-12-08;98;408,9;1;4,2;0;0;Maasgouw
Maassluis;556;Maassluis;33213;2020-11-25;2020-12-08;131;394,4;0;0;3;9;Maassluis
Maastricht;935;Maastricht;121575;2020-11-25;2020-12-08;479;394;3;2,5;3;2,5;Maastricht
Medemblik;420;Medemblik;45101;2020-11-25;2020-12-08;214;474,5;1;2,2;1;2,2;Medemblik
Meerssen;938;Meerssen;18828;2020-11-25;2020-12-08;84;446,1;1;5,3;2;10,6;Meerssen
Meierijstad;1948;Meierijstad;81194;2020-11-25;2020-12-08;354;436;0;0;1;1,2;Meierijstad
Meppel;119;Meppel;33920;2020-11-25;2020-12-08;78;230;0;0;0;0;Meppel
Middelburg;687;Middelburg;48822;2020-11-25;2020-12-08;76;155,7;0;0;0;0;Middelburg
Midden-Delfland;1842;Midden-Delfland;19341;2020-11-25;2020-12-08;97;501,5;1;5,2;1;5,2;Midden-Delfland
Midden-Drenthe;1731;Midden-Drenthe;33185;2020-11-25;2020-12-08;49;147,7;1;3;1;3;Midden-Drenthe
Midden-Groningen;1952;Midden-Groningen;60797;2020-11-25;2020-12-08;156;256,6;0;0;2;3,3;Midden-Groningen
Mill en Sint Hubert;815;Mill en Sint Hubert;10939;2020-11-25;2020-12-08;38;347,4;0;0;0;0;Mill en Sint Hubert
Moerdijk;1709;Moerdijk;37129;2020-11-25;2020-12-08;120;323,2;2;5,4;2;5,4;Moerdijk
Molenlanden;1978;Molenlanden;43909;2020-11-25;2020-12-08;179;407,7;0;0;0;0;Molenlanden
Montferland;1955;Montferland;36011;2020-11-25;2020-12-08;119;330,5;1;2,8;0;0;Montferland
Montfoort;335;Montfoort;13917;2020-11-25;2020-12-08;69;495,8;0;0;0;0;Montfoort
Mook en Middelaar;944;Mook en Middelaar;7847;2020-11-25;2020-12-08;19;242,1;0;0;1;12,7;Mook en Middelaar
Neder-Betuwe;1740;Neder-Betuwe;24339;2020-11-25;2020-12-08;175;719;1;4,1;3;12,3;Neder-Betuwe
Nederweert;946;Nederweert;17019;2020-11-25;2020-12-08;100;587,6;0;0;0;0;Nederweert
Nieuwegein;356;Nieuwegein;63462;2020-11-25;2020-12-08;220;346,7;0;0;0;0;Nieuwegein
Nieuwkoop;569;Nieuwkoop;28811;2020-11-25;2020-12-08;156;541,5;2;6,9;1;3,5;Nieuwkoop
Nijkerk;267;Nijkerk;43171;2020-11-25;2020-12-08;226;523,5;1;2,3;0;0;Nijkerk
Nijmegen;268;Nijmegen;177659;2020-11-25;2020-12-08;542;305,1;2;1,1;2;1,1;Nijmegen
Nissewaard;1930;Nissewaard;85219;2020-11-25;2020-12-08;326;382,5;3;3,5;5;5,9;Nissewaard
Noardeast-Fryslan;1970;Noardeast-Fryslan;45228;2020-11-25;2020-12-08;153;338,3;3;6,6;0;0;Noardeast-Fryslan
Noord-Beveland;1695;Noord-Beveland;7392;2020-11-25;2020-12-08;5;67,6;0;0;0;0;Noord-Beveland
Noordenveld;1699;Noordenveld;31253;2020-11-25;2020-12-08;39;124,8;1;3,2;0;0;Noordenveld
Noordoostpolder;171;Noordoostpolder;47291;2020-11-25;2020-12-08;333;704,2;0;0;3;6,3;Noordoostpolder
Noordwijk;575;Noordwijk;43508;2020-11-25;2020-12-08;173;397,6;1;2,3;0;0;Noordwijk
Nuenen, Gerwen en Nederwetten;820;Nuenen, Gerwen en Nederwetten;23383;2020-11-25;2020-12-08;78;333,6;0;0;0;0;Nuenen, Gerwen en Nederwetten
Nunspeet;302;Nunspeet;27851;2020-11-25;2020-12-08;96;344,7;0;0;0;0;Nunspeet
Oegstgeest;579;Oegstgeest;24840;2020-11-25;2020-12-08;107;430,8;0;0;1;4;Oegstgeest
Oirschot;823;Oirschot;18714;2020-11-25;2020-12-08;82;438,2;0;0;0;0;Oirschot
Oisterwijk;824;Oisterwijk;26245;2020-11-25;2020-12-08;158;602;1;3,8;0;0;Oisterwijk
Oldambt;1895;Oldambt;38209;2020-11-25;2020-12-08;92;240,8;0;0;0;0;Oldambt
Oldebroek;269;Oldebroek;23646;2020-11-25;2020-12-08;65;274,9;0;0;0;0;Oldebroek
Oldenzaal;173;Oldenzaal;31836;2020-11-25;2020-12-08;143;449,2;2;6,3;3;9,4;Oldenzaal
Olst-Wijhe;1773;Olst-Wijhe;18252;2020-11-25;2020-12-08;43;235,6;0;0;0;0;Olst-Wijhe
Ommen;175;Ommen;18009;2020-11-25;2020-12-08;30;166,6;0;0;1;5,6;Ommen
Oost Gelre;1586;Oost Gelre;29627;2020-11-25;2020-12-08;87;293,7;0;0;0;0;Oost Gelre
Oosterhout;826;Oosterhout;55982;2020-11-25;2020-12-08;226;403,7;3;5,4;2;3,6;Oosterhout
Ooststellingwerf;85;Ooststellingwerf;25469;2020-11-25;2020-12-08;55;215,9;1;3,9;0;0;Ooststellingwerf
Oostzaan;431;Oostzaan;9735;2020-11-25;2020-12-08;44;452;0;0;0;0;Oostzaan
Opmeer;432;Opmeer;11836;2020-11-25;2020-12-08;40;338;0;0;0;0;Opmeer
Opsterland;86;Opsterland;29733;2020-11-25;2020-12-08;51;171,5;0;0;0;0;Opsterland
Oss;828;Oss;91915;2020-11-25;2020-12-08;336;365,6;1;1,1;0;0;Oss
Oude IJsselstreek;1509;Oude IJsselstreek;39388;2020-11-25;2020-12-08;148;375,7;0;0;7;17,8;Oude IJsselstreek
Ouder-Amstel;437;Ouder-Amstel;14026;2020-11-25;2020-12-08;74;527,6;0;0;0;0;Ouder-Amstel
Oudewater;589;Oudewater;10230;2020-11-25;2020-12-08;49;479;0;0;0;0;Oudewater
Overbetuwe;1734;Overbetuwe;47906;2020-11-25;2020-12-08;152;317,3;1;2,1;1;2,1;Overbetuwe
Papendrecht;590;Papendrecht;32136;2020-11-25;2020-12-08;121;376,5;0;0;2;6,2;Papendrecht
Peel en Maas;1894;Peel en Maas;43425;2020-11-25;2020-12-08;120;276,3;0;0;0;0;Peel en Maas
Pekela;765;Pekela;12196;2020-11-25;2020-12-08;20;164;0;0;0;0;Pekela
Pijnacker-Nootdorp;1926;Pijnacker-Nootdorp;55308;2020-11-25;2020-12-08;272;491,8;2;3,6;1;1,8;Pijnacker-Nootdorp
Purmerend;439;Purmerend;81249;2020-11-25;2020-12-08;255;313,9;3;3,7;1;1,2;Purmerend
Putten;273;Putten;24112;2020-11-25;2020-12-08;134;555,7;0;0;3;12,4;Putten
Raalte;177;Raalte;37712;2020-11-25;2020-12-08;228;604,6;0;0;0;0;Raalte
Reimerswaal;703;Reimerswaal;22730;2020-11-25;2020-12-08;104;457,5;0;0;0;0;Reimerswaal
Renkum;274;Renkum;31419;2020-11-25;2020-12-08;130;413,8;0;0;2;6,4;Renkum
Renswoude;339;Renswoude;5444;2020-11-25;2020-12-08;36;661,3;0;0;0;0;Renswoude
Reusel-De Mierden;1667;Reusel-De Mierden;13112;2020-11-25;2020-12-08;49;373,7;0;0;1;7,6;Reusel-De Mierden
Rheden;275;Rheden;43761;2020-11-25;2020-12-08;212;484,4;0;0;1;2,3;Rheden
Rhenen;340;Rhenen;20119;2020-11-25;2020-12-08;172;854,9;1;5;1;5;Rhenen
Ridderkerk;597;Ridderkerk;46189;2020-11-25;2020-12-08;194;420;2;4,3;8;17,3;Ridderkerk
