Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;Gemeente
Heiloo;399;Heiloo;23968;18-11-2020;1-12-2020;77;321,3;1;4,2;0;0;Heiloo
Hellendoorn;163;Hellendoorn;35916;18-11-2020;1-12-2020;170;473,3;0;0;0;0;Hellendoorn
Hellevoetsluis;530;Hellevoetsluis;40142;18-11-2020;1-12-2020;116;289;2;5;2;5;Hellevoetsluis
Helmond;794;Helmond;92423;18-11-2020;1-12-2020;325;351,6;2;2,2;0;0;Helmond
Hendrik-Ido-Ambacht;531;Hendrik-Ido-Ambacht;31202;18-11-2020;1-12-2020;106;339,7;0;0;0;0;Hendrik-Ido-Ambacht
Hengelo;164;Hengelo;81140;18-11-2020;1-12-2020;307;378,4;2;2,5;2;2,5;Hengelo
Het Hogeland;1966;Het Hogeland;47801;18-11-2020;1-12-2020;92;192,5;0;0;0;0;Het Hogeland
Heumen;252;Heumen;16454;18-11-2020;1-12-2020;47;285,6;0;0;0;0;Heumen
Heusden;797;Heusden;44692;18-11-2020;1-12-2020;256;572,8;2;4,5;5;11,2;Heusden
Hillegom;534;Hillegom;22209;18-11-2020;1-12-2020;67;301,7;0;0;0;0;Hillegom
Hilvarenbeek;798;Hilvarenbeek;15518;18-11-2020;1-12-2020;42;270,7;0;0;0;0;Hilvarenbeek
Hilversum;402;Hilversum;90831;18-11-2020;1-12-2020;241;265,3;0;0;4;4,4;Hilversum
Hoeksche Waard;1963;Hoeksche Waard;87401;18-11-2020;1-12-2020;291;332,9;0;0;1;1,1;Hoeksche Waard
Hof van Twente;1735;Hof van Twente;35017;18-11-2020;1-12-2020;166;474,1;2;5,7;4;11,4;Hof van Twente
Hollands Kroon;1911;Hollands Kroon;48432;18-11-2020;1-12-2020;117;241,6;0;0;1;2,1;Hollands Kroon
Hoogeveen;118;Hoogeveen;55699;18-11-2020;1-12-2020;100;179,5;1;1,8;0;0;Hoogeveen
Hoorn;405;Hoorn;73261;18-11-2020;1-12-2020;245;334,4;1;1,4;0;0;Hoorn
Horst aan de Maas;1507;Horst aan de Maas;42429;18-11-2020;1-12-2020;209;492,6;1;2,4;4;9,4;Horst aan de Maas
Houten;321;Houten;50146;18-11-2020;1-12-2020;162;323,1;2;4;2;4;Houten
Huizen;406;Huizen;41273;18-11-2020;1-12-2020;142;344,1;1;2,4;0;0;Huizen
Hulst;677;Hulst;27556;18-11-2020;1-12-2020;101;366,5;1;3,6;2;7,3;Hulst
IJsselstein;353;IJsselstein;34109;18-11-2020;1-12-2020;138;404,6;1;2,9;0;0;IJsselstein
Kaag en Braassem;1884;Kaag en Braassem;27297;18-11-2020;1-12-2020;99;362,7;1;3,7;0;0;Kaag en Braassem
Kampen;166;Kampen;54319;18-11-2020;1-12-2020;175;322,2;2;3,7;1;1,8;Kampen
Kapelle;678;Kapelle;12695;18-11-2020;1-12-2020;14;110,3;0;0;0;0;Kapelle
Katwijk;537;Katwijk;65753;18-11-2020;1-12-2020;279;424,3;1;1,5;1;1,5;Katwijk
Kerkrade;928;Kerkrade;45749;18-11-2020;1-12-2020;71;155,2;0;0;1;2,2;Kerkrade
Koggenland;1598;Koggenland;22749;18-11-2020;1-12-2020;100;439,6;0;0;1;4,4;Koggenland
Krimpen aan den IJssel;542;Krimpen aan den IJssel;29526;18-11-2020;1-12-2020;123;416,6;0;0;1;3,4;Krimpen aan den IJssel
Krimpenerwaard;1931;Krimpenerwaard;56319;18-11-2020;1-12-2020;229;406,6;4;7,1;4;7,1;Krimpenerwaard
Laarbeek;1659;Laarbeek;22523;18-11-2020;1-12-2020;114;506,1;0;0;0;0;Laarbeek
Landerd;1685;Landerd;15730;18-11-2020;1-12-2020;74;470,4;1;6,4;1;6,4;Landerd
Landgraaf;882;Landgraaf;37445;18-11-2020;1-12-2020;107;285,8;0;0;2;5,3;Landgraaf
Landsmeer;415;Landsmeer;11491;18-11-2020;1-12-2020;37;322;0;0;0;0;Landsmeer
Langedijk;416;Langedijk;28163;18-11-2020;1-12-2020;91;323,1;1;3,6;0;0;Langedijk
Lansingerland;1621;Lansingerland;62384;18-11-2020;1-12-2020;228;365,5;1;1,6;2;3,2;Lansingerland
Laren;417;Laren;11280;18-11-2020;1-12-2020;32;283,7;0;0;1;8,9;Laren
Leeuwarden;80;Leeuwarden;124084;18-11-2020;1-12-2020;199;160,4;3;2,4;0;0;Leeuwarden
Leiden;546;Leiden;125099;18-11-2020;1-12-2020;406;324,5;5;4;2;1,6;Leiden
Leiderdorp;547;Leiderdorp;27056;18-11-2020;1-12-2020;95;351,1;0;0;0;0;Leiderdorp
Leidschendam-Voorburg;1916;Leidschendam-Voorburg;76534;18-11-2020;1-12-2020;253;330,6;7;9,1;7;9,1;Leidschendam-Voorburg
Lelystad;995;Lelystad;78598;18-11-2020;1-12-2020;262;333,3;0;0;3;3,8;Lelystad
Leudal;1640;Leudal;35879;18-11-2020;1-12-2020;132;367,9;0;0;1;2,8;Leudal
Leusden;327;Leusden;30401;18-11-2020;1-12-2020;98;322,4;0;0;0;0;Leusden
Lingewaard;1705;Lingewaard;46601;18-11-2020;1-12-2020;176;377,7;2;4,3;0;0;Lingewaard
Lisse;553;Lisse;22955;18-11-2020;1-12-2020;67;291,9;1;4,4;0;0;Lisse
Lochem;262;Lochem;33729;18-11-2020;1-12-2020;101;299,4;0;0;3;8,9;Lochem
Loon op Zand;809;Loon op Zand;23408;18-11-2020;1-12-2020;125;534;1;4,3;2;8,5;Loon op Zand
Lopik;331;Lopik;14467;18-11-2020;1-12-2020;50;345,6;0;0;0;0;Lopik
Loppersum;24;Loppersum;9537;18-11-2020;1-12-2020;16;167,8;0;0;0;0;Loppersum
Losser;168;Losser;22683;18-11-2020;1-12-2020;153;674,5;1;4,4;1;4,4;Losser
Maasdriel;263;Maasdriel;25030;18-11-2020;1-12-2020;121;483,4;0;0;2;8;Maasdriel
Maasgouw;1641;Maasgouw;23965;18-11-2020;1-12-2020;57;237,8;0;0;0;0;Maasgouw
Maassluis;556;Maassluis;33213;18-11-2020;1-12-2020;143;430,6;1;3;0;0;Maassluis
Maastricht;935;Maastricht;121575;18-11-2020;1-12-2020;409;336,4;4;3,3;0;0;Maastricht
Medemblik;420;Medemblik;45101;18-11-2020;1-12-2020;133;294,9;0;0;0;0;Medemblik
Meerssen;938;Meerssen;18828;18-11-2020;1-12-2020;64;339,9;0;0;0;0;Meerssen
Meierijstad;1948;Meierijstad;81194;18-11-2020;1-12-2020;288;354,7;0;0;0;0;Meierijstad
Meppel;119;Meppel;33920;18-11-2020;1-12-2020;83;244,7;0;0;0;0;Meppel
Middelburg;687;Middelburg;48822;18-11-2020;1-12-2020;72;147,5;0;0;1;2;Middelburg
Midden-Delfland;1842;Midden-Delfland;19341;18-11-2020;1-12-2020;99;511,9;0;0;1;5,2;Midden-Delfland
Midden-Drenthe;1731;Midden-Drenthe;33185;18-11-2020;1-12-2020;54;162,7;0;0;1;3;Midden-Drenthe
Midden-Groningen;1952;Midden-Groningen;60797;18-11-2020;1-12-2020;180;296,1;2;3,3;3;4,9;Midden-Groningen
Mill en Sint Hubert;815;Mill en Sint Hubert;10939;18-11-2020;1-12-2020;31;283,4;0;0;0;0;Mill en Sint Hubert
Moerdijk;1709;Moerdijk;37129;18-11-2020;1-12-2020;117;315,1;1;2,7;0;0;Moerdijk
Molenlanden;1978;Molenlanden;43909;18-11-2020;1-12-2020;219;498,8;0;0;0;0;Molenlanden
Montferland;1955;Montferland;36011;18-11-2020;1-12-2020;84;233,3;0;0;0;0;Montferland
Montfoort;335;Montfoort;13917;18-11-2020;1-12-2020;58;416,8;0;0;0;0;Montfoort
Mook en Middelaar;944;Mook en Middelaar;7847;18-11-2020;1-12-2020;18;229,4;0;0;1;12,7;Mook en Middelaar
Neder-Betuwe;1740;Neder-Betuwe;24339;18-11-2020;1-12-2020;187;768,3;1;4,1;2;8,2;Neder-Betuwe
Nederweert;946;Nederweert;17019;18-11-2020;1-12-2020;95;558,2;0;0;1;5,9;Nederweert
Nieuwegein;356;Nieuwegein;63462;18-11-2020;1-12-2020;212;334,1;2;3,2;0;0;Nieuwegein
Nieuwkoop;569;Nieuwkoop;28811;18-11-2020;1-12-2020;139;482,5;0;0;0;0;Nieuwkoop
Nijkerk;267;Nijkerk;43171;18-11-2020;1-12-2020;184;426,2;1;2,3;0;0;Nijkerk
Nijmegen;268;Nijmegen;177659;18-11-2020;1-12-2020;467;262,9;3;1,7;6;3,4;Nijmegen
Nissewaard;1930;Nissewaard;85219;18-11-2020;1-12-2020;395;463,5;2;2,3;7;8,2;Nissewaard
Noardeast-Fryslan;1970;Noardeast-Fryslan;45228;18-11-2020;1-12-2020;87;192,4;1;2,2;2;4,4;Noardeast-Fryslan
Noord-Beveland;1695;Noord-Beveland;7392;18-11-2020;1-12-2020;5;67,6;2;27,1;0;0;Noord-Beveland
Noordenveld;1699;Noordenveld;31253;18-11-2020;1-12-2020;36;115,2;0;0;0;0;Noordenveld
Noordoostpolder;171;Noordoostpolder;47291;18-11-2020;1-12-2020;276;583,6;1;2,1;4;8,5;Noordoostpolder
Noordwijk;575;Noordwijk;43508;18-11-2020;1-12-2020;150;344,8;1;2,3;0;0;Noordwijk
Nuenen, Gerwen en Nederwetten;820;Nuenen, Gerwen en Nederwetten;23383;18-11-2020;1-12-2020;94;402;0;0;1;4,3;Nuenen, Gerwen en Nederwetten
Nunspeet;302;Nunspeet;27851;18-11-2020;1-12-2020;110;395;0;0;0;0;Nunspeet
Oegstgeest;579;Oegstgeest;24840;18-11-2020;1-12-2020;110;442,8;1;4;3;12,1;Oegstgeest
Oirschot;823;Oirschot;18714;18-11-2020;1-12-2020;75;400,8;0;0;1;5,3;Oirschot
Oisterwijk;824;Oisterwijk;26245;18-11-2020;1-12-2020;143;544,9;0;0;0;0;Oisterwijk
Oldambt;1895;Oldambt;38209;18-11-2020;1-12-2020;67;175,4;0;0;1;2,6;Oldambt
Oldebroek;269;Oldebroek;23646;18-11-2020;1-12-2020;57;241,1;0;0;0;0;Oldebroek
Oldenzaal;173;Oldenzaal;31836;18-11-2020;1-12-2020;158;496,3;3;9,4;6;18,8;Oldenzaal
Olst-Wijhe;1773;Olst-Wijhe;18252;18-11-2020;1-12-2020;26;142,5;0;0;0;0;Olst-Wijhe
Ommen;175;Ommen;18009;18-11-2020;1-12-2020;32;177,7;0;0;1;5,6;Ommen
Oost Gelre;1586;Oost Gelre;29627;18-11-2020;1-12-2020;71;239,6;1;3,4;4;13,5;Oost Gelre
Oosterhout;826;Oosterhout;55982;18-11-2020;1-12-2020;230;410,8;0;0;1;1,8;Oosterhout
Ooststellingwerf;85;Ooststellingwerf;25469;18-11-2020;1-12-2020;83;325,9;1;3,9;0;0;Ooststellingwerf
Oostzaan;431;Oostzaan;9735;18-11-2020;1-12-2020;33;339;0;0;0;0;Oostzaan
Opmeer;432;Opmeer;11836;18-11-2020;1-12-2020;48;405,5;0;0;0;0;Opmeer
Opsterland;86;Opsterland;29733;18-11-2020;1-12-2020;56;188,3;0;0;0;0;Opsterland
Oss;828;Oss;91915;18-11-2020;1-12-2020;257;279,6;0;0;4;4,4;Oss
Oude IJsselstreek;1509;Oude IJsselstreek;39388;18-11-2020;1-12-2020;153;388,4;2;5,1;2;5,1;Oude IJsselstreek
Ouder-Amstel;437;Ouder-Amstel;14026;18-11-2020;1-12-2020;61;434,9;0;0;0;0;Ouder-Amstel
Oudewater;589;Oudewater;10230;18-11-2020;1-12-2020;43;420,3;0;0;0;0;Oudewater
Overbetuwe;1734;Overbetuwe;47906;18-11-2020;1-12-2020;143;298,5;0;0;0;0;Overbetuwe
Papendrecht;590;Papendrecht;32136;18-11-2020;1-12-2020;112;348,5;1;3,1;2;6,2;Papendrecht
Peel en Maas;1894;Peel en Maas;43425;18-11-2020;1-12-2020;108;248,7;1;2,3;0;0;Peel en Maas
Pekela;765;Pekela;12196;18-11-2020;1-12-2020;9;73,8;0;0;0;0;Pekela
Pijnacker-Nootdorp;1926;Pijnacker-Nootdorp;55308;18-11-2020;1-12-2020;220;397,8;0;0;2;3,6;Pijnacker-Nootdorp
Purmerend;439;Purmerend;81249;18-11-2020;1-12-2020;206;253,5;0;0;2;2,5;Purmerend
Putten;273;Putten;24112;18-11-2020;1-12-2020;139;576,5;0;0;2;8,3;Putten
Raalte;177;Raalte;37712;18-11-2020;1-12-2020;124;328,8;0;0;0;0;Raalte
Reimerswaal;703;Reimerswaal;22730;18-11-2020;1-12-2020;80;352;1;4,4;0;0;Reimerswaal
Renkum;274;Renkum;31419;18-11-2020;1-12-2020;88;280,1;0;0;0;0;Renkum
Renswoude;339;Renswoude;5444;18-11-2020;1-12-2020;15;275,5;0;0;0;0;Renswoude
Reusel-De Mierden;1667;Reusel-De Mierden;13112;18-11-2020;1-12-2020;39;297,4;0;0;1;7,6;Reusel-De Mierden
Rheden;275;Rheden;43761;18-11-2020;1-12-2020;143;326,8;0;0;0;0;Rheden
Rhenen;340;Rhenen;20119;18-11-2020;1-12-2020;111;551,7;0;0;0;0;Rhenen
Ridderkerk;597;Ridderkerk;46189;18-11-2020;1-12-2020;198;428,7;1;2,2;5;10,8;Ridderkerk
