Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;Municipality_name
Rijswijk (ZH.);46;84,5;12;22;10;18,4;;;WAAR;Rijswijk (ZH.)
Roerdalen;10;48,6;1;4,9;2;9,7;;;WAAR;Roerdalen
Roermond;38;65,2;7;12;7;12;;;WAAR;Roermond
Roosendaal;90;116,5;7;9,1;8;10,4;;;WAAR;Roosendaal
Rotterdam;768;117,9;114;17,5;130;20;;;WAAR;Rotterdam
Rozendaal;1;58,7;0;0;0;0;;;WAAR;Rozendaal
Rucphen;21;91,8;1;4,4;1;4,4;;;WAAR;Rucphen
Schagen;23;49,5;3;6,5;4;8,6;;;WAAR;Schagen
Scherpenzeel;6;60,7;1;10,1;1;10,1;;;WAAR;Scherpenzeel
Schiedam;92;116,9;8;10,2;5;6,4;;;WAAR;Schiedam
Schiermonnikoog;0;0;0;0;0;0;;;WAAR;Schiermonnikoog
Schouwen-Duiveland;11;32,5;2;5,9;0;0;;;WAAR;Schouwen-Duiveland
's-Gravenhage (gemeente);460;84,3;66;12,1;77;14,1;;;WAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;137;88,3;10;6,4;25;16,1;;;WAAR;'s-Hertogenbosch
Simpelveld;11;104,2;1;9,5;1;9,5;;;WAAR;Simpelveld
Sint Anthonis;11;94,3;0;0;3;25,7;;;WAAR;Sint Anthonis
Sint-Michielsgestel;27;92,4;10;34,2;8;27,4;;;WAAR;Sint-Michielsgestel
Sittard-Geleen;136;147,1;17;18,4;15;16,2;;;WAAR;Sittard-Geleen
Sliedrecht;15;59,5;1;4;1;4;;;WAAR;Sliedrecht
Sluis;5;21,5;0;0;0;0;;;WAAR;Sluis
Smallingerland;26;46,3;1;1,8;3;5,3;;;WAAR;Smallingerland
Soest;20;42,9;5;10,7;5;10,7;;;WAAR;Soest
Someren;34;175,5;5;25,8;3;15,5;;;WAAR;Someren
Son en Breugel;20;115,5;3;17,3;8;46,2;;;WAAR;Son en Breugel
Stadskanaal;3;9,5;0;0;2;6,3;;;WAAR;Stadskanaal
Staphorst;27;157,5;2;11,7;2;11,7;;;WAAR;Staphorst
Stede Broec;15;69;2;9,2;1;4,6;;;WAAR;Stede Broec
Steenbergen;26;106,5;1;4,1;2;8,2;;;WAAR;Steenbergen
Steenwijkerland;52;117,8;3;6,8;3;6,8;;;WAAR;Steenwijkerland
Stein (L.);33;132;3;12;4;16;;;WAAR;Stein (L.)
Stichtse Vecht;33;50,8;3;4,6;0;0;;;WAAR;Stichtse Vecht
Sudwest-Fryslan;25;27,8;1;1,1;0;0;;;WAAR;Sudwest-Fryslan
Terneuzen;40;73,5;6;11;1;1,8;;;WAAR;Terneuzen
Terschelling;1;20,5;0;0;0;0;;;WAAR;Terschelling
Texel;3;22,1;0;0;0;0;;;WAAR;Texel
Teylingen;15;40,1;0;0;0;0;;;WAAR;Teylingen
Tholen;45;174,7;4;15,5;1;3,9;;;WAAR;Tholen
Tiel;40;94,9;7;16,6;7;16,6;;;WAAR;Tiel
Tilburg;175;79,6;26;11,8;34;15,5;;;WAAR;Tilburg
Tubbergen;22;103,4;1;4,7;2;9,4;;;WAAR;Tubbergen
Twenterand;29;85,9;3;8,9;1;3;;;WAAR;Twenterand
Tynaarlo;7;20,7;0;0;0;0;;;WAAR;Tynaarlo
Tytsjerksteradiel;3;9,4;0;0;0;0;;;WAAR;Tytsjerksteradiel
Uden;40;95;6;14,2;7;16,6;;;WAAR;Uden
Uitgeest;7;51,2;2;14,6;0;0;;;WAAR;Uitgeest
Uithoorn;16;54,3;3;10,2;0;0;;;WAAR;Uithoorn
Urk;29;137,9;0;0;1;4,8;;;WAAR;Urk
Utrecht (gemeente);235;65,7;52;14,5;33;9,2;;;WAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;33;66,6;6;12,1;1;2;;;WAAR;Utrechtse Heuvelrug
Vaals;13;128,6;1;9,9;0;0;;;WAAR;Vaals
Valkenburg aan de Geul;18;110;3;18,3;3;18,3;;;WAAR;Valkenburg aan de Geul
Valkenswaard;44;141,1;2;6,4;13;41,7;;;WAAR;Valkenswaard
Veendam;2;7,3;1;3,7;0;0;;;WAAR;Veendam
Veenendaal;73;109,8;18;27,1;3;4,5;;;WAAR;Veenendaal
Veere;6;27,4;1;4,6;1;4,6;;;WAAR;Veere
Veldhoven;51;112,2;6;13,2;3;6,6;;;WAAR;Veldhoven
Velsen;99;144,2;6;8,7;16;23,3;;;WAAR;Velsen
Venlo;97;95,3;10;9,8;15;14,7;;;WAAR;Venlo
Venray;36;82,5;2;4,6;4;9,2;;;WAAR;Venray
Vijfheerenlanden;85;149,6;5;8,8;16;28,2;;;WAAR;Vijfheerenlanden
Vlaardingen;86;117,2;6;8,2;8;10,9;;;WAAR;Vlaardingen
Vlieland;0;0;0;0;0;0;;;WAAR;Vlieland
Vlissingen;9;20,3;1;2,3;2;4,5;;;WAAR;Vlissingen
Voerendaal;17;136,3;4;32,1;1;8;;;WAAR;Voerendaal
Voorschoten;10;39,1;0;0;2;7,8;;;WAAR;Voorschoten
Voorst;15;61,1;1;4,1;3;12,2;;;WAAR;Voorst
Vught;28;105,4;3;11,3;4;15,1;;;WAAR;Vught
Waadhoeke;34;73,8;4;8,7;8;17,4;;;WAAR;Waadhoeke
Waalre;6;34,4;2;11,5;2;11,5;;;WAAR;Waalre
Waalwijk;46;94,6;5;10,3;6;12,3;;;WAAR;Waalwijk
Waddinxveen;17;58;4;13,7;2;6,8;;;WAAR;Waddinxveen
Wageningen;24;60,5;9;22,7;3;7,6;;;WAAR;Wageningen
Wassenaar;19;72,2;2;7,6;6;22,8;;;WAAR;Wassenaar
Waterland;7;40,2;2;11,5;1;5,7;;;WAAR;Waterland
Weert;27;53,9;9;18;2;4;;;WAAR;Weert
Weesp;15;76;1;5,1;1;5,1;;;WAAR;Weesp
West Betuwe;59;115,4;12;23,5;11;21,5;;;WAAR;West Betuwe
West Maas en Waal;35;181,1;5;25,9;4;20,7;;;WAAR;West Maas en Waal
Westerkwartier;15;23,7;2;3,2;2;3,2;;;WAAR;Westerkwartier
Westerveld;10;51,4;3;15,4;2;10,3;;;WAAR;Westerveld
Westervoort;19;126,9;4;26,7;3;20;;;WAAR;Westervoort
Westerwolde;1;3,9;0;0;0;0;;;WAAR;Westerwolde
Westland;104;94,2;8;7,2;15;13,6;;;WAAR;Westland
Weststellingwerf;17;65,6;1;3,9;3;11,6;;;WAAR;Weststellingwerf
Westvoorne;2;13,6;0;0;0;0;;;WAAR;Westvoorne
Wierden;19;77,7;0;0;1;4,1;;;WAAR;Wierden
Wijchen;55;133,8;3;7,3;3;7,3;;;WAAR;Wijchen
Wijdemeren;7;28,7;0;0;0;0;;;WAAR;Wijdemeren
Wijk bij Duurstede;15;62,7;1;4,2;1;4,2;;;WAAR;Wijk bij Duurstede
Winterswijk;20;69,3;1;3,5;2;6,9;;;WAAR;Winterswijk
Woensdrecht;37;169,1;0;0;5;22,9;;;WAAR;Woensdrecht
Woerden;52;99,4;8;15,3;6;11,5;;;WAAR;Woerden
Wormerland;12;73,8;1;6,1;3;18,4;;;WAAR;Wormerland
Woudenberg;7;52,4;0;0;1;7,5;;;WAAR;Woudenberg
Zaanstad;118;75,3;16;10,2;17;10,8;;;WAAR;Zaanstad
Zaltbommel;31;107,3;2;6,9;3;10,4;;;WAAR;Zaltbommel
Zandvoort;6;35,1;2;11,7;3;17,5;;;WAAR;Zandvoort
Zeewolde;14;61,8;2;8,8;3;13,2;;;WAAR;Zeewolde
Zeist;49;75,5;6;9,2;7;10,8;;;WAAR;Zeist
Zevenaar;40;91,4;13;29,7;9;20,6;;;WAAR;Zevenaar
Zoetermeer;82;65,5;11;8,8;7;5,6;;;WAAR;Zoetermeer
Zoeterwoude;1;11,6;0;0;0;0;;;WAAR;Zoeterwoude
Zuidplas;54;123;4;9,1;5;11,4;;;WAAR;Zuidplas
Zundert;23;105,4;4;18,3;4;18,3;;;WAAR;Zundert
Zutphen;28;58,4;2;4,2;0;0;;;WAAR;Zutphen
Zwartewaterland;47;207,2;2;8,8;1;4,4;;;WAAR;Zwartewaterland
Zwijndrecht;65;145,3;6;13,4;5;11,2;;;WAAR;Zwijndrecht
Zwolle;126;97,8;8;6,2;19;14,7;;;WAAR;Zwolle
