Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;
Brunssum;899;Brunssum;27821;2020-12-02;2020-12-15;Brunssum;162;582,3;3;10,8;2;7,2;;WAAR;Brunssum
Bunnik;312;Bunnik;15191;2020-12-02;2020-12-15;Bunnik;53;348,9;1;6,6;1;6,6;;WAAR;Bunnik
Bunschoten;313;Bunschoten;21866;2020-12-02;2020-12-15;Bunschoten;447;2044,3;4;18,3;2;9,1;;WAAR;Bunschoten
Buren;214;Buren;26749;2020-12-02;2020-12-15;Buren;154;575,7;0;0;0;0;;WAAR;Buren
Capelle aan den IJssel;502;Capelle aan den IJssel;67122;2020-12-02;2020-12-15;Capelle aan den IJssel;304;452,9;2;3;3;4,5;;WAAR;Capelle aan den IJssel
Castricum;383;Castricum;35986;2020-12-02;2020-12-15;Castricum;217;603;0;0;0;0;;WAAR;Castricum
Coevorden;109;Coevorden;35297;2020-12-02;2020-12-15;Coevorden;130;368,3;3;8,5;0;0;;WAAR;Coevorden
Cranendonck;1706;Cranendonck;21138;2020-12-02;2020-12-15;Cranendonck;169;799,5;1;4,7;0;0;;WAAR;Cranendonck
Cuijk;1684;Cuijk;25130;2020-12-02;2020-12-15;Cuijk;169;672,5;0;0;0;0;;WAAR;Cuijk
Culemborg;216;Culemborg;28955;2020-12-02;2020-12-15;Culemborg;186;642,4;1;3,5;1;3,5;;WAAR;Culemborg
Dalfsen;148;Dalfsen;28587;2020-12-02;2020-12-15;Dalfsen;126;440,8;0;0;2;7;;WAAR;Dalfsen
Dantumadiel;1891;Dantumadiel;18922;2020-12-02;2020-12-15;Dantumadiel;87;459,8;1;5,3;0;0;;WAAR;Dantumadiel
De Bilt;310;De Bilt;43137;2020-12-02;2020-12-15;De Bilt;245;568;0;0;1;2,3;;WAAR;De Bilt
De Fryske Marren;1940;De Fryske Marren;51564;2020-12-02;2020-12-15;De Fryske Marren;158;306,4;1;1,9;0;0;;WAAR;De Fryske Marren
De Ronde Venen;736;De Ronde Venen;44456;2020-12-02;2020-12-15;De Ronde Venen;270;607,3;2;4,5;3;6,7;;WAAR;De Ronde Venen
De Wolden;1690;De Wolden;24330;2020-12-02;2020-12-15;De Wolden;66;271,3;1;4,1;0;0;;WAAR;De Wolden
Delft;503;Delft;103595;2020-12-02;2020-12-15;Delft;480;463,3;2;1,9;6;5,8;;WAAR;Delft
Delfzijl;10;Delfzijl;24678;2020-12-02;2020-12-15;Delfzijl;160;648,4;0;0;1;4,1;;WAAR;Delfzijl
Den Helder;400;Den Helder;56296;2020-12-02;2020-12-15;Den Helder;192;341,1;0;0;1;1,8;;WAAR;Den Helder
Deurne;762;Deurne;32471;2020-12-02;2020-12-15;Deurne;146;449,6;0;0;1;3,1;;WAAR;Deurne
Deventer;150;Deventer;100719;2020-12-02;2020-12-15;Deventer;825;819,1;3;3;2;2;;WAAR;Deventer
Diemen;384;Diemen;30780;2020-12-02;2020-12-15;Diemen;189;614;1;3,2;1;3,2;;WAAR;Diemen
Dinkelland;1774;Dinkelland;26461;2020-12-02;2020-12-15;Dinkelland;161;608,4;0;0;0;0;;WAAR;Dinkelland
Doesburg;221;Doesburg;11077;2020-12-02;2020-12-15;Doesburg;47;424,3;0;0;1;9;;WAAR;Doesburg
Doetinchem;222;Doetinchem;58001;2020-12-02;2020-12-15;Doetinchem;258;444,8;1;1,7;1;1,7;;WAAR;Doetinchem
Dongen;766;Dongen;26222;2020-12-02;2020-12-15;Dongen;246;938,1;0;0;0;0;;WAAR;Dongen
Dordrecht;505;Dordrecht;119284;2020-12-02;2020-12-15;Dordrecht;748;627,1;1;0,8;2;1,7;;WAAR;Dordrecht
Drechterland;498;Drechterland;19719;2020-12-02;2020-12-15;Drechterland;105;532,5;0;0;0;0;;WAAR;Drechterland
Drimmelen;1719;Drimmelen;27272;2020-12-02;2020-12-15;Drimmelen;156;572;2;7,3;3;11;;WAAR;Drimmelen
Dronten;303;Dronten;41555;2020-12-02;2020-12-15;Dronten;254;611,2;2;4,8;0;0;;WAAR;Dronten
Druten;225;Druten;18926;2020-12-02;2020-12-15;Druten;93;491,4;2;10,6;3;15,9;;WAAR;Druten
Duiven;226;Duiven;25126;2020-12-02;2020-12-15;Duiven;154;612,9;0;0;0;0;;WAAR;Duiven
Echt-Susteren;1711;Echt-Susteren;31610;2020-12-02;2020-12-15;Echt-Susteren;150;474,5;0;0;0;0;;WAAR;Echt-Susteren
Edam-Volendam;385;Edam-Volendam;36197;2020-12-02;2020-12-15;Edam-Volendam;128;353,6;2;5,5;0;0;;WAAR;Edam-Volendam
Ede;228;Ede;117165;2020-12-02;2020-12-15;Ede;962;821,1;8;6,8;4;3,4;;WAAR;Ede
Eemnes;317;Eemnes;9247;2020-12-02;2020-12-15;Eemnes;36;389,3;1;10,8;0;0;;WAAR;Eemnes
Eersel;770;Eersel;19313;2020-12-02;2020-12-15;Eersel;135;699;0;0;1;5,2;;WAAR;Eersel
Eijsden-Margraten;1903;Eijsden-Margraten;25768;2020-12-02;2020-12-15;Eijsden-Margraten;175;679,1;1;3,9;2;7,8;;WAAR;Eijsden-Margraten
Eindhoven;772;Eindhoven;234394;2020-12-02;2020-12-15;Eindhoven;1140;486,4;8;3,4;11;4,7;;WAAR;Eindhoven
Elburg;230;Elburg;23161;2020-12-02;2020-12-15;Elburg;148;639;0;0;0;0;;WAAR;Elburg
Emmen;114;Emmen;107048;2020-12-02;2020-12-15;Emmen;419;391,4;5;4,7;1;0,9;;WAAR;Emmen
Enkhuizen;388;Enkhuizen;18591;2020-12-02;2020-12-15;Enkhuizen;207;1113,4;0;0;0;0;;WAAR;Enkhuizen
Enschede;153;Enschede;159640;2020-12-02;2020-12-15;Enschede;580;363,3;9;5,6;9;5,6;;WAAR;Enschede
Epe;232;Epe;33178;2020-12-02;2020-12-15;Epe;164;494,3;2;6;0;0;;WAAR;Epe
Ermelo;233;Ermelo;27008;2020-12-02;2020-12-15;Ermelo;159;588,7;0;0;0;0;;WAAR;Ermelo
Etten-Leur;777;Etten-Leur;43878;2020-12-02;2020-12-15;Etten-Leur;242;551,5;1;2,3;0;0;;WAAR;Etten-Leur
Geertruidenberg;779;Geertruidenberg;21544;2020-12-02;2020-12-15;Geertruidenberg;194;900,5;2;9,3;7;32,5;;WAAR;Geertruidenberg
Geldrop-Mierlo;1771;Geldrop-Mierlo;39726;2020-12-02;2020-12-15;Geldrop-Mierlo;189;475,8;2;5;0;0;;WAAR;Geldrop-Mierlo
Gemert-Bakel;1652;Gemert-Bakel;30723;2020-12-02;2020-12-15;Gemert-Bakel;158;514,3;2;6,5;0;0;;WAAR;Gemert-Bakel
Gennep;907;Gennep;16921;2020-12-02;2020-12-15;Gennep;161;951,5;0;0;0;0;;WAAR;Gennep
Gilze en Rijen;784;Gilze en Rijen;26431;2020-12-02;2020-12-15;Gilze en Rijen;199;752,9;1;3,8;0;0;;WAAR;Gilze en Rijen
Goeree-Overflakkee;1924;Goeree-Overflakkee;50049;2020-12-02;2020-12-15;Goeree-Overflakkee;292;583,4;2;4;0;0;;WAAR;Goeree-Overflakkee
Goes;664;Goes;38082;2020-12-02;2020-12-15;Goes;88;231,1;5;13,1;0;0;;WAAR;Goes
Goirle;785;Goirle;23904;2020-12-02;2020-12-15;Goirle;146;610,8;0;0;1;4,2;;WAAR;Goirle
Gooise Meren;1942;Gooise Meren;58055;2020-12-02;2020-12-15;Gooise Meren;267;459,9;1;1,7;1;1,7;;WAAR;Gooise Meren
Gorinchem;512;Gorinchem;37022;2020-12-02;2020-12-15;Gorinchem;262;707,7;0;0;2;5,4;;WAAR;Gorinchem
Gouda;513;Gouda;73427;2020-12-02;2020-12-15;Gouda;484;659,2;5;6,8;4;5,4;;WAAR;Gouda
Grave;786;Grave;12436;2020-12-02;2020-12-15;Grave;93;747,8;0;0;0;0;;WAAR;Grave
Groningen;14;Groningen (gemeente);232874;2020-12-02;2020-12-15;Groningen (gemeente);565;242,6;3;1,3;2;0,9;;WAAR;Groningen (gemeente)
Gulpen-Wittem;1729;Gulpen-Wittem;14171;2020-12-02;2020-12-15;Gulpen-Wittem;68;479,9;0;0;0;0;;WAAR;Gulpen-Wittem
Haaksbergen;158;Haaksbergen;24311;2020-12-02;2020-12-15;Haaksbergen;180;740,4;0;0;0;0;;WAAR;Haaksbergen
Haaren;788;Haaren;14370;2020-12-02;2020-12-15;Haaren;95;661,1;1;7;0;0;;WAAR;Haaren
Haarlem;392;Haarlem;162902;2020-12-02;2020-12-15;Haarlem;701;430,3;6;3,7;7;4,3;;WAAR;Haarlem
Haarlemmermeer;394;Haarlemmermeer;156002;2020-12-02;2020-12-15;Haarlemmermeer;757;485,3;3;1,9;10;6,4;;WAAR;Haarlemmermeer
Halderberge;1655;Halderberge;30284;2020-12-02;2020-12-15;Halderberge;109;359,9;3;9,9;1;3,3;;WAAR;Halderberge
Hardenberg;160;Hardenberg;60948;2020-12-02;2020-12-15;Hardenberg;229;375,7;1;1,6;1;1,6;;WAAR;Hardenberg
Harderwijk;243;Harderwijk;48414;2020-12-02;2020-12-15;Harderwijk;252;520,5;2;4,1;0;0;;WAAR;Harderwijk
Hardinxveld-Giessendam;523;Hardinxveld-Giessendam;18295;2020-12-02;2020-12-15;Hardinxveld-Giessendam;153;836,3;0;0;0;0;;WAAR;Hardinxveld-Giessendam
Harlingen;72;Harlingen;15722;2020-12-02;2020-12-15;Harlingen;19;120,8;0;0;0;0;;WAAR;Harlingen
Hattem;244;Hattem;12209;2020-12-02;2020-12-15;Hattem;36;294,9;1;8,2;0;0;;WAAR;Hattem
Heemskerk;396;Heemskerk;39182;2020-12-02;2020-12-15;Heemskerk;208;530,9;2;5,1;1;2,6;;WAAR;Heemskerk
Heemstede;397;Heemstede;27234;2020-12-02;2020-12-15;Heemstede;140;514,1;2;7,3;9;33;;WAAR;Heemstede
Heerde;246;Heerde;18589;2020-12-02;2020-12-15;Heerde;54;290,5;0;0;0;0;;WAAR;Heerde
Heerenveen;74;Heerenveen;50493;2020-12-02;2020-12-15;Heerenveen;89;176,3;0;0;1;2;;WAAR;Heerenveen
Heerhugowaard;398;Heerhugowaard;57587;2020-12-02;2020-12-15;Heerhugowaard;356;618,2;0;0;0;0;;WAAR;Heerhugowaard
Heerlen;917;Heerlen;87086;2020-12-02;2020-12-15;Heerlen;437;501,8;6;6,9;2;2,3;;WAAR;Heerlen
Heeze-Leende;1658;Heeze-Leende;16152;2020-12-02;2020-12-15;Heeze-Leende;124;767,7;1;6,2;2;12,4;;WAAR;Heeze-Leende
Heiloo;399;Heiloo;23968;2020-12-02;2020-12-15;Heiloo;83;346,3;0;0;0;0;;WAAR;Heiloo
Hellendoorn;163;Hellendoorn;35916;2020-12-02;2020-12-15;Hellendoorn;256;712,8;1;2,8;1;2,8;;WAAR;Hellendoorn
Hellevoetsluis;530;Hellevoetsluis;40142;2020-12-02;2020-12-15;Hellevoetsluis;144;358,7;3;7,5;0;0;;WAAR;Hellevoetsluis
Helmond;794;Helmond;92423;2020-12-02;2020-12-15;Helmond;356;385,2;4;4,3;0;0;;WAAR;Helmond
Hendrik-Ido-Ambacht;531;Hendrik-Ido-Ambacht;31202;2020-12-02;2020-12-15;Hendrik-Ido-Ambacht;202;647,4;0;0;2;6,4;;WAAR;Hendrik-Ido-Ambacht
Hengelo;164;Hengelo (O.);81140;2020-12-02;2020-12-15;Hengelo (O.);356;438,7;3;3,7;2;2,5;;WAAR;Hengelo (O.)
Het Hogeland;1966;Het Hogeland;47801;2020-12-02;2020-12-15;Het Hogeland;158;330,5;2;4,2;1;2,1;;WAAR;Het Hogeland
Heumen;252;Heumen;16454;2020-12-02;2020-12-15;Heumen;75;455,8;1;6,1;0;0;;WAAR;Heumen
Heusden;797;Heusden;44692;2020-12-02;2020-12-15;Heusden;221;494,5;2;4,5;1;2,2;;WAAR;Heusden
Hillegom;534;Hillegom;22209;2020-12-02;2020-12-15;Hillegom;93;418,7;1;4,5;0;0;;WAAR;Hillegom
Hilvarenbeek;798;Hilvarenbeek;15518;2020-12-02;2020-12-15;Hilvarenbeek;100;644,4;0;0;1;6,4;;WAAR;Hilvarenbeek
Hilversum;402;Hilversum;90831;2020-12-02;2020-12-15;Hilversum;353;388,6;0;0;2;2,2;;WAAR;Hilversum
Hoeksche Waard;1963;Hoeksche Waard;87401;2020-12-02;2020-12-15;Hoeksche Waard;335;383,3;0;0;0;0;;WAAR;Hoeksche Waard
Hof van Twente;1735;Hof van Twente;35017;2020-12-02;2020-12-15;Hof van Twente;140;399,8;1;2,9;1;2,9;;WAAR;Hof van Twente
Hollands Kroon;1911;Hollands Kroon;48432;2020-12-02;2020-12-15;Hollands Kroon;189;390,2;2;4,1;1;2,1;;WAAR;Hollands Kroon
Hoogeveen;118;Hoogeveen;55699;2020-12-02;2020-12-15;Hoogeveen;272;488,3;2;3,6;0;0;;WAAR;Hoogeveen
Hoorn;405;Hoorn;73261;2020-12-02;2020-12-15;Hoorn;388;529,6;1;1,4;0;0;;WAAR;Hoorn
Horst aan de Maas;1507;Horst aan de Maas;42429;2020-12-02;2020-12-15;Horst aan de Maas;351;827,3;1;2,4;0;0;;WAAR;Horst aan de Maas
Houten;321;Houten;50146;2020-12-02;2020-12-15;Houten;356;709,9;0;0;2;4;;WAAR;Houten
Huizen;406;Huizen;41273;2020-12-02;2020-12-15;Huizen;247;598,5;1;2,4;1;2,4;;WAAR;Huizen
Hulst;677;Hulst;27556;2020-12-02;2020-12-15;Hulst;88;319,3;0;0;2;7,3;;WAAR;Hulst
IJsselstein;353;IJsselstein;34109;2020-12-02;2020-12-15;IJsselstein;183;536,5;0;0;0;0;;WAAR;IJsselstein
Kaag en Braassem;1884;Kaag en Braassem;27297;2020-12-02;2020-12-15;Kaag en Braassem;169;619,1;2;7,3;0;0;;WAAR;Kaag en Braassem
Kampen;166;Kampen;54319;2020-12-02;2020-12-15;Kampen;248;456,6;0;0;1;1,8;;WAAR;Kampen
Kapelle;678;Kapelle;12695;2020-12-02;2020-12-15;Kapelle;31;244,2;1;7,9;0;0;;WAAR;Kapelle
Katwijk;537;Katwijk;65753;2020-12-02;2020-12-15;Katwijk;468;711,8;6;9,1;1;1,5;;WAAR;Katwijk
Kerkrade;928;Kerkrade;45749;2020-12-02;2020-12-15;Kerkrade;148;323,5;4;8,7;2;4,4;;WAAR;Kerkrade
Koggenland;1598;Koggenland;22749;2020-12-02;2020-12-15;Koggenland;89;391,2;1;4,4;0;0;;WAAR;Koggenland
Krimpen aan den IJssel;542;Krimpen aan den IJssel;29526;2020-12-02;2020-12-15;Krimpen aan den IJssel;200;677,4;0;0;4;13,5;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;1931;Krimpenerwaard;56319;2020-12-02;2020-12-15;Krimpenerwaard;322;571,7;3;5,3;1;1,8;;WAAR;Krimpenerwaard
Laarbeek;1659;Laarbeek;22523;2020-12-02;2020-12-15;Laarbeek;182;808,1;0;0;1;4,4;;WAAR;Laarbeek
Landerd;1685;Landerd;15730;2020-12-02;2020-12-15;Landerd;95;603,9;0;0;0;0;;WAAR;Landerd
Landgraaf;882;Landgraaf;37445;2020-12-02;2020-12-15;Landgraaf;223;595,5;1;2,7;4;10,7;;WAAR;Landgraaf
Landsmeer;415;Landsmeer;11491;2020-12-02;2020-12-15;Landsmeer;61;530,9;1;8,7;1;8,7;;WAAR;Landsmeer
Langedijk;416;Langedijk;28163;2020-12-02;2020-12-15;Langedijk;148;525,5;1;3,6;0;0;;WAAR;Langedijk
Lansingerland;1621;Lansingerland;62384;2020-12-02;2020-12-15;Lansingerland;389;623,6;2;3,2;1;1,6;;WAAR;Lansingerland
Laren;417;Laren (NH.);11280;2020-12-02;2020-12-15;Laren (NH.);38;336,9;1;8,9;0;0;;WAAR;Laren (NH.)
Leeuwarden;80;Leeuwarden;124084;2020-12-02;2020-12-15;Leeuwarden;264;212,8;1;0,8;0;0;;WAAR;Leeuwarden
Leiden;546;Leiden;125099;2020-12-02;2020-12-15;Leiden;469;374,9;4;3,2;2;1,6;;WAAR;Leiden
Leiderdorp;547;Leiderdorp;27056;2020-12-02;2020-12-15;Leiderdorp;172;635,7;1;3,7;1;3,7;;WAAR;Leiderdorp
Leidschendam-Voorburg;1916;Leidschendam-Voorburg;76534;2020-12-02;2020-12-15;Leidschendam-Voorburg;422;551,4;6;7,8;3;3,9;;WAAR;Leidschendam-Voorburg
Lelystad;995;Lelystad;78598;2020-12-02;2020-12-15;Lelystad;460;585,3;4;5,1;1;1,3;;WAAR;Lelystad
Leudal;1640;Leudal;35879;2020-12-02;2020-12-15;Leudal;265;738,6;1;2,8;1;2,8;;WAAR;Leudal
Leusden;327;Leusden;30401;2020-12-02;2020-12-15;Leusden;144;473,7;1;3,3;0;0;;WAAR;Leusden
Lingewaard;1705;Lingewaard;46601;2020-12-02;2020-12-15;Lingewaard;273;585,8;1;2,1;0;0;;WAAR;Lingewaard
Lisse;553;Lisse;22955;2020-12-02;2020-12-15;Lisse;175;762,4;3;13,1;0;0;;WAAR;Lisse
Lochem;262;Lochem;33729;2020-12-02;2020-12-15;Lochem;186;551,5;1;3;1;3;;WAAR;Lochem
Loon op Zand;809;Loon op Zand;23408;2020-12-02;2020-12-15;Loon op Zand;183;781,8;1;4,3;0;0;;WAAR;Loon op Zand
Lopik;331;Lopik;14467;2020-12-02;2020-12-15;Lopik;121;836,4;0;0;1;6,9;;WAAR;Lopik
Loppersum;24;Loppersum;9537;2020-12-02;2020-12-15;Loppersum;42;440,4;1;10,5;0;0;;WAAR;Loppersum
Losser;168;Losser;22683;2020-12-02;2020-12-15;Losser;161;709,8;3;13,2;1;4,4;;WAAR;Losser
Maasdriel;263;Maasdriel;25030;2020-12-02;2020-12-15;Maasdriel;142;567,3;0;0;1;4;;WAAR;Maasdriel
Maasgouw;1641;Maasgouw;23965;2020-12-02;2020-12-15;Maasgouw;129;538,3;1;4,2;0;0;;WAAR;Maasgouw
Maassluis;556;Maassluis;33213;2020-12-02;2020-12-15;Maassluis;161;484,7;0;0;3;9;;WAAR;Maassluis
Maastricht;935;Maastricht;121575;2020-12-02;2020-12-15;Maastricht;692;569,2;5;4,1;2;1,6;;WAAR;Maastricht
Medemblik;420;Medemblik;45101;2020-12-02;2020-12-15;Medemblik;356;789,3;0;0;1;2,2;;WAAR;Medemblik
Meerssen;938;Meerssen;18828;2020-12-02;2020-12-15;Meerssen;113;600,2;1;5,3;2;10,6;;WAAR;Meerssen
Meierijstad;1948;Meierijstad;81194;2020-12-02;2020-12-15;Meierijstad;464;571,5;0;0;1;1,2;;WAAR;Meierijstad
Meppel;119;Meppel;33920;2020-12-02;2020-12-15;Meppel;102;300,7;0;0;0;0;;WAAR;Meppel
Middelburg;687;Middelburg (Z.);48822;2020-12-02;2020-12-15;Middelburg (Z.);137;280,6;1;2;0;0;;WAAR;Middelburg (Z.)
Midden-Delfland;1842;Midden-Delfland;19341;2020-12-02;2020-12-15;Midden-Delfland;153;791,1;0;0;2;10,3;;WAAR;Midden-Delfland
Midden-Drenthe;1731;Midden-Drenthe;33185;2020-12-02;2020-12-15;Midden-Drenthe;86;259,2;3;9;1;3;;WAAR;Midden-Drenthe
Midden-Groningen;1952;Midden-Groningen;60797;2020-12-02;2020-12-15;Midden-Groningen;178;292,8;1;1,6;1;1,6;;WAAR;Midden-Groningen
Mill en Sint Hubert;815;Mill en Sint Hubert;10939;2020-12-02;2020-12-15;Mill en Sint Hubert;59;539,4;0;0;0;0;;WAAR;Mill en Sint Hubert
Moerdijk;1709;Moerdijk;37129;2020-12-02;2020-12-15;Moerdijk;155;417,5;1;2,7;0;0;;WAAR;Moerdijk
Molenlanden;1978;Molenlanden;43909;2020-12-02;2020-12-15;Molenlanden;263;599;0;0;3;6,8;;WAAR;Molenlanden
Montferland;1955;Montferland;36011;2020-12-02;2020-12-15;Montferland;157;436;1;2,8;0;0;;WAAR;Montferland
Montfoort;335;Montfoort;13917;2020-12-02;2020-12-15;Montfoort;107;768,8;0;0;0;0;;WAAR;Montfoort
Mook en Middelaar;944;Mook en Middelaar;7847;2020-12-02;2020-12-15;Mook en Middelaar;23;293,1;1;12,7;0;0;;WAAR;Mook en Middelaar
