Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;Municipalities;Municipalities
Mook en Middelaar;944;Mook en Middelaar;7847;9-12-2020;22-12-2020;Mook en Middelaar;47;599;1;12,7;0;0;;WAAR;Mook en Middelaar
Neder-Betuwe;1740;Neder-Betuwe;24339;9-12-2020;22-12-2020;Neder-Betuwe;295;1212;4;16,4;0;0;;WAAR;Neder-Betuwe
Nederweert;946;Nederweert;17019;9-12-2020;22-12-2020;Nederweert;242;1421,9;0;0;2;11,8;;WAAR;Nederweert
Nieuwegein;356;Nieuwegein;63462;9-12-2020;22-12-2020;Nieuwegein;379;597,2;4;6,3;0;0;;WAAR;Nieuwegein
Nieuwkoop;569;Nieuwkoop;28811;9-12-2020;22-12-2020;Nieuwkoop;303;1051,7;1;3,5;3;10,4;;WAAR;Nieuwkoop
Nijkerk;267;Nijkerk;43171;9-12-2020;22-12-2020;Nijkerk;534;1236,9;1;2,3;0;0;;WAAR;Nijkerk
Nijmegen;268;Nijmegen;177659;9-12-2020;22-12-2020;Nijmegen;1112;625,9;4;2,3;3;1,7;;WAAR;Nijmegen
Nissewaard;1930;Nissewaard;85219;9-12-2020;22-12-2020;Nissewaard;419;491,7;7;8,2;3;3,5;;WAAR;Nissewaard
Noardeast-Frysl̢n;1970;Noardeast-Frysl̢n;45228;9-12-2020;22-12-2020;Noardeast-Fryslan;213;470,9;2;4,4;2;4,4;;WAAR;Noardeast-Fryslan
Noord-Beveland;1695;Noord-Beveland;7392;9-12-2020;22-12-2020;Noord-Beveland;8;108,2;0;0;0;0;;WAAR;Noord-Beveland
Noordenveld;1699;Noordenveld;31253;9-12-2020;22-12-2020;Noordenveld;75;240;0;0;2;6,4;;WAAR;Noordenveld
Noordoostpolder;171;Noordoostpolder;47291;9-12-2020;22-12-2020;Noordoostpolder;421;890,2;1;2,1;0;0;;WAAR;Noordoostpolder
Noordwijk;575;Noordwijk;43508;9-12-2020;22-12-2020;Noordwijk;310;712,5;1;2,3;1;2,3;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;820;Nuenen, Gerwen en Nederwetten;23383;9-12-2020;22-12-2020;Nuenen, Gerwen en Nederwetten;137;585,9;1;4,3;1;4,3;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;302;Nunspeet;27851;9-12-2020;22-12-2020;Nunspeet;222;797,1;3;10,8;0;0;;WAAR;Nunspeet
Oegstgeest;579;Oegstgeest;24840;9-12-2020;22-12-2020;Oegstgeest;220;885,7;0;0;9;36,2;;WAAR;Oegstgeest
Oirschot;823;Oirschot;18714;9-12-2020;22-12-2020;Oirschot;182;972,5;0;0;1;5,3;;WAAR;Oirschot
Oisterwijk;824;Oisterwijk;26245;9-12-2020;22-12-2020;Oisterwijk;247;941,1;0;0;1;3,8;;WAAR;Oisterwijk
Oldambt;1895;Oldambt;38209;9-12-2020;22-12-2020;Oldambt;187;489,4;3;7,9;4;10,5;;WAAR;Oldambt
Oldebroek;269;Oldebroek;23646;9-12-2020;22-12-2020;Oldebroek;267;1129,2;1;4,2;1;4,2;;WAAR;Oldebroek
Oldenzaal;173;Oldenzaal;31836;9-12-2020;22-12-2020;Oldenzaal;293;920,3;4;12,6;0;0;;WAAR;Oldenzaal
Olst-Wijhe;1773;Olst-Wijhe;18252;9-12-2020;22-12-2020;Olst-Wijhe;124;679,4;0;0;0;0;;WAAR;Olst-Wijhe
Ommen;175;Ommen;18009;9-12-2020;22-12-2020;Ommen;109;605,3;0;0;0;0;;WAAR;Ommen
Oost Gelre;1586;Oost Gelre;29627;9-12-2020;22-12-2020;Oost Gelre;237;799,9;1;3,4;1;3,4;;WAAR;Oost Gelre
Oosterhout;826;Oosterhout;55982;9-12-2020;22-12-2020;Oosterhout;417;744,9;3;5,4;3;5,4;;WAAR;Oosterhout
Ooststellingwerf;85;Ooststellingwerf;25469;9-12-2020;22-12-2020;Ooststellingwerf;75;294,5;1;3,9;0;0;;WAAR;Ooststellingwerf
Oostzaan;431;Oostzaan;9735;9-12-2020;22-12-2020;Oostzaan;101;1037,5;0;0;0;0;;WAAR;Oostzaan
Opmeer;432;Opmeer;11836;9-12-2020;22-12-2020;Opmeer;108;912,5;0;0;0;0;;WAAR;Opmeer
Opsterland;86;Opsterland;29733;9-12-2020;22-12-2020;Opsterland;107;359,9;0;0;1;3,4;;WAAR;Opsterland
Oss;828;Oss;91915;9-12-2020;22-12-2020;Oss;536;583,1;2;2,2;0;0;;WAAR;Oss
Oude IJsselstreek;1509;Oude IJsselstreek;39388;9-12-2020;22-12-2020;Oude IJsselstreek;295;749;2;5,1;3;7,6;;WAAR;Oude IJsselstreek
Ouder-Amstel;437;Ouder-Amstel;14026;9-12-2020;22-12-2020;Ouder-Amstel;120;855,6;0;0;0;0;;WAAR;Ouder-Amstel
Oudewater;589;Oudewater;10230;9-12-2020;22-12-2020;Oudewater;111;1085;0;0;0;0;;WAAR;Oudewater
Overbetuwe;1734;Overbetuwe;47906;9-12-2020;22-12-2020;Overbetuwe;287;599,1;0;0;0;0;;WAAR;Overbetuwe
Papendrecht;590;Papendrecht;32136;9-12-2020;22-12-2020;Papendrecht;307;955,3;0;0;3;9,3;;WAAR;Papendrecht
Peel en Maas;1894;Peel en Maas;43425;9-12-2020;22-12-2020;Peel en Maas;411;946,5;1;2,3;1;2,3;;WAAR;Peel en Maas
Pekela;765;Pekela;12196;9-12-2020;22-12-2020;Pekela;49;401,8;2;16,4;0;0;;WAAR;Pekela
Pijnacker-Nootdorp;1926;Pijnacker-Nootdorp;55308;9-12-2020;22-12-2020;Pijnacker-Nootdorp;498;900,4;1;1,8;0;0;;WAAR;Pijnacker-Nootdorp
Purmerend;439;Purmerend;81249;9-12-2020;22-12-2020;Purmerend;414;509,5;1;1,2;0;0;;WAAR;Purmerend
Putten;273;Putten;24112;9-12-2020;22-12-2020;Putten;328;1360,3;0;0;0;0;;WAAR;Putten
Raalte;177;Raalte;37712;9-12-2020;22-12-2020;Raalte;415;1100,4;0;0;0;0;;WAAR;Raalte
Reimerswaal;703;Reimerswaal;22730;9-12-2020;22-12-2020;Reimerswaal;184;809,5;0;0;0;0;;WAAR;Reimerswaal
Renkum;274;Renkum;31419;9-12-2020;22-12-2020;Renkum;185;588,8;1;3,2;3;9,5;;WAAR;Renkum
Renswoude;339;Renswoude;5444;9-12-2020;22-12-2020;Renswoude;101;1855,3;0;0;0;0;;WAAR;Renswoude
Reusel-De Mierden;1667;Reusel-De Mierden;13112;9-12-2020;22-12-2020;Reusel-De Mierden;111;846,6;1;7,6;1;7,6;;WAAR;Reusel-De Mierden
Rheden;275;Rheden;43761;9-12-2020;22-12-2020;Rheden;318;726,7;2;4,6;4;9,1;;WAAR;Rheden
Rhenen;340;Rhenen;20119;9-12-2020;22-12-2020;Rhenen;378;1878,8;2;9,9;1;5;;WAAR;Rhenen
Ridderkerk;597;Ridderkerk;46189;9-12-2020;22-12-2020;Ridderkerk;311;673,3;5;10,8;4;8,7;;WAAR;Ridderkerk
Rijssen-Holten;1742;Rijssen-Holten;38177;9-12-2020;22-12-2020;Rijssen-Holten;515;1349;1;2,6;0;0;;WAAR;Rijssen-Holten
Rijswijk;603;Rijswijk;54450;9-12-2020;22-12-2020;Rijswijk (ZH.);333;611,6;2;3,7;0;0;;WAAR;Rijswijk (ZH.)
Roerdalen;1669;Roerdalen;20574;9-12-2020;22-12-2020;Roerdalen;188;913,8;1;4,9;2;9,7;;WAAR;Roerdalen
Roermond;957;Roermond;58260;9-12-2020;22-12-2020;Roermond;456;782,7;1;1,7;2;3,4;;WAAR;Roermond
Roosendaal;1674;Roosendaal;77251;9-12-2020;22-12-2020;Roosendaal;451;583,8;1;1,3;5;6,5;;WAAR;Roosendaal
Rotterdam;599;Rotterdam;651157;9-12-2020;22-12-2020;Rotterdam;3454;530,4;44;6,8;18;2,8;;WAAR;Rotterdam
Rozendaal;277;Rozendaal;1704;9-12-2020;22-12-2020;Rozendaal;17;997,7;0;0;0;0;;WAAR;Rozendaal
Rucphen;840;Rucphen;22878;9-12-2020;22-12-2020;Rucphen;147;642,5;0;0;0;0;;WAAR;Rucphen
Schagen;441;Schagen;46483;9-12-2020;22-12-2020;Schagen;283;608,8;0;0;6;12,9;;WAAR;Schagen
Scherpenzeel;279;Scherpenzeel;9880;9-12-2020;22-12-2020;Scherpenzeel;178;1801,6;0;0;2;20,2;;WAAR;Scherpenzeel
Schiedam;606;Schiedam;78730;9-12-2020;22-12-2020;Schiedam;385;489;4;5,1;2;2,5;;WAAR;Schiedam
Schiermonnikoog;88;Schiermonnikoog;947;9-12-2020;22-12-2020;Schiermonnikoog;1;105,6;0;0;0;0;;WAAR;Schiermonnikoog
Schouwen-Duiveland;1676;Schouwen-Duiveland;33839;9-12-2020;22-12-2020;Schouwen-Duiveland;122;360,5;1;3;0;0;;WAAR;Schouwen-Duiveland
's-Gravenhage;518;'s-Gravenhage;545838;9-12-2020;22-12-2020;'s-Gravenhage (gemeente);3156;578,2;46;8,4;14;2,6;;WAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;796;'s-Hertogenbosch;155111;9-12-2020;22-12-2020;'s-Hertogenbosch;1300;838,1;4;2,6;7;4,5;;WAAR;'s-Hertogenbosch
Simpelveld;965;Simpelveld;10555;9-12-2020;22-12-2020;Simpelveld;106;1004,3;0;0;0;0;;WAAR;Simpelveld
Sint Anthonis;1702;Sint Anthonis;11664;9-12-2020;22-12-2020;Sint Anthonis;107;917,4;0;0;0;0;;WAAR;Sint Anthonis
Sint-Michielsgestel;845;Sint-Michielsgestel;29208;9-12-2020;22-12-2020;Sint-Michielsgestel;292;999,7;2;6,8;0;0;;WAAR;Sint-Michielsgestel
Sittard-Geleen;1883;Sittard-Geleen;92429;9-12-2020;22-12-2020;Sittard-Geleen;698;755,2;5;5,4;2;2,2;;WAAR;Sittard-Geleen
Sliedrecht;610;Sliedrecht;25220;9-12-2020;22-12-2020;Sliedrecht;348;1379,9;0;0;2;7,9;;WAAR;Sliedrecht
Sluis;1714;Sluis;23210;9-12-2020;22-12-2020;Sluis;207;891,9;2;8,6;3;12,9;;WAAR;Sluis
Smallingerland;90;Smallingerland;56150;9-12-2020;22-12-2020;Smallingerland;173;308,1;2;3,6;1;1,8;;WAAR;Smallingerland
Soest;342;Soest;46606;9-12-2020;22-12-2020;Soest;424;909,8;3;6,4;1;2,1;;WAAR;Soest
Someren;847;Someren;19368;9-12-2020;22-12-2020;Someren;179;924,2;1;5,2;0;0;;WAAR;Someren
Son en Breugel;848;Son en Breugel;17322;9-12-2020;22-12-2020;Son en Breugel;94;542,7;2;11,5;1;5,8;;WAAR;Son en Breugel
Stadskanaal;37;Stadskanaal;31686;9-12-2020;22-12-2020;Stadskanaal;287;905,8;1;3,2;0;0;;WAAR;Stadskanaal
Staphorst;180;Staphorst;17145;9-12-2020;22-12-2020;Staphorst;235;1370,7;0;0;0;0;;WAAR;Staphorst
Stede Broec;532;Stede Broec;21726;9-12-2020;22-12-2020;Stede Broec;269;1238,1;0;0;0;0;;WAAR;Stede Broec
Steenbergen;851;Steenbergen;24416;9-12-2020;22-12-2020;Steenbergen;102;417,8;0;0;1;4,1;;WAAR;Steenbergen
Steenwijkerland;1708;Steenwijkerland;44126;9-12-2020;22-12-2020;Steenwijkerland;272;616,4;0;0;1;2,3;;WAAR;Steenwijkerland
Stein;971;Stein;25007;9-12-2020;22-12-2020;Stein (L.);233;931,7;3;12;0;0;;WAAR;Stein (L.)
Stichtse Vecht;1904;Stichtse Vecht;64931;9-12-2020;22-12-2020;Stichtse Vecht;434;668,4;2;3,1;4;6,2;;WAAR;Stichtse Vecht
S̼dwest-Frysl̢n;1900;S̼dwest-Frysl̢n;89987;9-12-2020;22-12-2020;Sudwest-Fryslan;543;603,4;2;2,2;3;3,3;;WAAR;Sudwest-Fryslan
Terneuzen;715;Terneuzen;54426;9-12-2020;22-12-2020;Terneuzen;414;760,7;0;0;3;5,5;;WAAR;Terneuzen
Terschelling;93;Terschelling;4888;9-12-2020;22-12-2020;Terschelling;6;122,7;0;0;0;0;;WAAR;Terschelling
Texel;448;Texel;13575;9-12-2020;22-12-2020;Texel;57;419,9;0;0;0;0;;WAAR;Texel
Teylingen;1525;Teylingen;37440;9-12-2020;22-12-2020;Teylingen;433;1156,5;2;5,3;1;2,7;;WAAR;Teylingen
Tholen;716;Tholen;25757;9-12-2020;22-12-2020;Tholen;145;563;1;3,9;2;7,8;;WAAR;Tholen
Tiel;281;Tiel;42159;9-12-2020;22-12-2020;Tiel;320;759;2;4,7;4;9,5;;WAAR;Tiel
Tilburg;855;Tilburg;219789;9-12-2020;22-12-2020;Tilburg;1814;825,3;8;3,6;15;6,8;;WAAR;Tilburg
Tubbergen;183;Tubbergen;21275;9-12-2020;22-12-2020;Tubbergen;165;775,6;1;4,7;0;0;;WAAR;Tubbergen
Twenterand;1700;Twenterand;33743;9-12-2020;22-12-2020;Twenterand;539;1597,4;2;5,9;1;3;;WAAR;Twenterand
Tynaarlo;1730;Tynaarlo;33887;9-12-2020;22-12-2020;Tynaarlo;106;312,8;0;0;0;0;;WAAR;Tynaarlo
Tytsjerksteradiel;737;Tytsjerksteradiel;32052;9-12-2020;22-12-2020;Tytsjerksteradiel;100;312;0;0;0;0;;WAAR;Tytsjerksteradiel
Uden;856;Uden;42119;9-12-2020;22-12-2020;Uden;325;771,6;0;0;0;0;;WAAR;Uden
Uitgeest;450;Uitgeest;13666;9-12-2020;22-12-2020;Uitgeest;154;1126,9;1;7,3;1;7,3;;WAAR;Uitgeest
Uithoorn;451;Uithoorn;29478;9-12-2020;22-12-2020;Uithoorn;156;529,2;0;0;0;0;;WAAR;Uithoorn
Urk;184;Urk;21031;9-12-2020;22-12-2020;Urk;227;1079,4;0;0;0;0;;WAAR;Urk
Utrecht;344;Utrecht;357597;9-12-2020;22-12-2020;Utrecht (gemeente);1954;546,4;9;2,5;10;2,8;;WAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;1581;Utrechtse Heuvelrug;49580;9-12-2020;22-12-2020;Utrechtse Heuvelrug;567;1143,6;7;14,1;7;14,1;;WAAR;Utrechtse Heuvelrug
Vaals;981;Vaals;10105;9-12-2020;22-12-2020;Vaals;37;366,2;2;19,8;1;9,9;;WAAR;Vaals
Valkenburg aan de Geul;994;Valkenburg aan de Geul;16367;9-12-2020;22-12-2020;Valkenburg aan de Geul;123;751,5;1;6,1;1;6,1;;WAAR;Valkenburg aan de Geul
Valkenswaard;858;Valkenswaard;31193;9-12-2020;22-12-2020;Valkenswaard;322;1032,3;2;6,4;0;0;;WAAR;Valkenswaard
Veendam;47;Veendam;27384;9-12-2020;22-12-2020;Veendam;173;631,8;0;0;0;0;;WAAR;Veendam
Veenendaal;345;Veenendaal;66493;9-12-2020;22-12-2020;Veenendaal;1202;1807,7;6;9;9;13,5;;WAAR;Veenendaal
Veere;717;Veere;21880;9-12-2020;22-12-2020;Veere;150;685,6;0;0;0;0;;WAAR;Veere
Veldhoven;861;Veldhoven;45466;9-12-2020;22-12-2020;Veldhoven;404;888,6;3;6,6;1;2,2;;WAAR;Veldhoven
Velsen;453;Velsen;68648;9-12-2020;22-12-2020;Velsen;526;766,2;3;4,4;6;8,7;;WAAR;Velsen
Venlo;983;Venlo;101802;9-12-2020;22-12-2020;Venlo;1141;1120,8;6;5,9;4;3,9;;WAAR;Venlo
Venray;984;Venray;43614;9-12-2020;22-12-2020;Venray;693;1588,9;0;0;1;2,3;;WAAR;Venray
Vijfheerenlanden;1961;Vijfheerenlanden;56811;9-12-2020;22-12-2020;Vijfheerenlanden;465;818,5;1;1,8;1;1,8;;WAAR;Vijfheerenlanden
Vlaardingen;622;Vlaardingen;73397;9-12-2020;22-12-2020;Vlaardingen;377;513,6;5;6,8;2;2,7;;WAAR;Vlaardingen
Vlieland;96;Vlieland;1155;9-12-2020;22-12-2020;Vlieland;2;173,2;0;0;0;0;;WAAR;Vlieland
Vlissingen;718;Vlissingen;44360;9-12-2020;22-12-2020;Vlissingen;139;313,3;1;2,3;0;0;;WAAR;Vlissingen
Voerendaal;986;Voerendaal;12475;9-12-2020;22-12-2020;Voerendaal;94;753,5;0;0;0;0;;WAAR;Voerendaal
Voorschoten;626;Voorschoten;25596;9-12-2020;22-12-2020;Voorschoten;166;648,5;0;0;1;3,9;;WAAR;Voorschoten
Voorst;285;Voorst;24552;9-12-2020;22-12-2020;Voorst;203;826,8;2;8,1;0;0;;WAAR;Voorst
Vught;865;Vught;26558;9-12-2020;22-12-2020;Vught;338;1272,7;2;7,5;9;33,9;;WAAR;Vught
Waadhoeke;1949;Waadhoeke;46090;9-12-2020;22-12-2020;Waadhoeke;220;477,3;1;2,2;0;0;;WAAR;Waadhoeke
Waalre;866;Waalre;17456;9-12-2020;22-12-2020;Waalre;124;710,4;0;0;0;0;;WAAR;Waalre
Waalwijk;867;Waalwijk;48637;9-12-2020;22-12-2020;Waalwijk;512;1052,7;2;4,1;2;4,1;;WAAR;Waalwijk
Waddinxveen;627;Waddinxveen;29291;9-12-2020;22-12-2020;Waddinxveen;250;853,5;3;10,2;0;0;;WAAR;Waddinxveen
Wageningen;289;Wageningen;39664;9-12-2020;22-12-2020;Wageningen;256;645,4;0;0;1;2,5;;WAAR;Wageningen
Wassenaar;629;Wassenaar;26305;9-12-2020;22-12-2020;Wassenaar;164;623,5;1;3,8;0;0;;WAAR;Wassenaar
Waterland;852;Waterland;17424;9-12-2020;22-12-2020;Waterland;162;929,8;3;17,2;0;0;;WAAR;Waterland
Weert;988;Weert;50105;9-12-2020;22-12-2020;Weert;816;1628,6;0;0;3;6;;WAAR;Weert
Weesp;457;Weesp;19738;9-12-2020;22-12-2020;Weesp;188;952,5;1;5,1;1;5,1;;WAAR;Weesp
West Betuwe;1960;West Betuwe;51128;9-12-2020;22-12-2020;West Betuwe;514;1005,3;3;5,9;1;2;;WAAR;West Betuwe
West Maas en Waal;668;West Maas en Waal;19324;9-12-2020;22-12-2020;West Maas en Waal;115;595,1;0;0;0;0;;WAAR;West Maas en Waal
Westerkwartier;1969;Westerkwartier;63329;9-12-2020;22-12-2020;Westerkwartier;245;386,9;0;0;2;3,2;;WAAR;Westerkwartier
Westerveld;1701;Westerveld;19460;9-12-2020;22-12-2020;Westerveld;80;411,1;0;0;0;0;;WAAR;Westerveld
Westervoort;293;Westervoort;14971;9-12-2020;22-12-2020;Westervoort;115;768,2;1;6,7;1;6,7;;WAAR;Westervoort
Westerwolde;1950;Westerwolde;25733;9-12-2020;22-12-2020;Westerwolde;195;757,8;0;0;0;0;;WAAR;Westerwolde
Westland;1783;Westland;110375;9-12-2020;22-12-2020;Westland;1216;1101,7;2;1,8;3;2,7;;WAAR;Westland
Weststellingwerf;98;Weststellingwerf;25914;9-12-2020;22-12-2020;Weststellingwerf;103;397,5;1;3,9;0;0;;WAAR;Weststellingwerf
Westvoorne;614;Westvoorne;14731;9-12-2020;22-12-2020;Westvoorne;61;414,1;1;6,8;0;0;;WAAR;Westvoorne
Wierden;189;Wierden;24446;9-12-2020;22-12-2020;Wierden;369;1509,4;0;0;1;4,1;;WAAR;Wierden
Wijchen;296;Wijchen;41110;9-12-2020;22-12-2020;Wijchen;434;1055,7;1;2,4;6;14,6;;WAAR;Wijchen
Wijdemeren;1696;Wijdemeren;24358;9-12-2020;22-12-2020;Wijdemeren;131;537,8;2;8,2;1;4,1;;WAAR;Wijdemeren
Wijk bij Duurstede;352;Wijk bij Duurstede;23914;9-12-2020;22-12-2020;Wijk bij Duurstede;150;627,2;1;4,2;0;0;;WAAR;Wijk bij Duurstede
Winterswijk;294;Winterswijk;28854;9-12-2020;22-12-2020;Winterswijk;143;495,6;0;0;0;0;;WAAR;Winterswijk
Woensdrecht;873;Woensdrecht;21876;9-12-2020;22-12-2020;Woensdrecht;89;406,8;1;4,6;0;0;;WAAR;Woensdrecht
Woerden;632;Woerden;52299;9-12-2020;22-12-2020;Woerden;446;852,8;2;3,8;0;0;;WAAR;Woerden
Wormerland;880;Wormerland;16270;9-12-2020;22-12-2020;Wormerland;98;602,3;0;0;0;0;;WAAR;Wormerland
Woudenberg;351;Woudenberg;13362;9-12-2020;22-12-2020;Woudenberg;238;1781,2;1;7,5;0;0;;WAAR;Woudenberg
Zaanstad;479;Zaanstad;156794;9-12-2020;22-12-2020;Zaanstad;1256;801,1;6;3,8;6;3,8;;WAAR;Zaanstad
Zaltbommel;297;Zaltbommel;28881;9-12-2020;22-12-2020;Zaltbommel;446;1544,3;0;0;9;31,2;;WAAR;Zaltbommel
Zandvoort;473;Zandvoort;17116;9-12-2020;22-12-2020;Zandvoort;140;817,9;0;0;2;11,7;;WAAR;Zandvoort
Zeewolde;50;Zeewolde;22653;9-12-2020;22-12-2020;Zeewolde;219;966,8;0;0;1;4,4;;WAAR;Zeewolde
Zeist;355;Zeist;64905;9-12-2020;22-12-2020;Zeist;537;827,4;1;1,5;0;0;;WAAR;Zeist
Zevenaar;299;Zevenaar;43750;9-12-2020;22-12-2020;Zevenaar;231;528;1;2,3;1;2,3;;WAAR;Zevenaar
Zoetermeer;637;Zoetermeer;125285;9-12-2020;22-12-2020;Zoetermeer;1014;809,4;6;4,8;3;2,4;;WAAR;Zoetermeer
Zoeterwoude;638;Zoeterwoude;8605;9-12-2020;22-12-2020;Zoeterwoude;59;685,6;1;11,6;0;0;;WAAR;Zoeterwoude
Zuidplas;1892;Zuidplas;43885;9-12-2020;22-12-2020;Zuidplas;342;779,3;1;2,3;1;2,3;;WAAR;Zuidplas
Zundert;879;Zundert;21829;9-12-2020;22-12-2020;Zundert;127;581,8;0;0;0;0;;WAAR;Zundert
Zutphen;301;Zutphen;47934;9-12-2020;22-12-2020;Zutphen;244;509;3;6,3;2;4,2;;WAAR;Zutphen
Zwartewaterland;1896;Zwartewaterland;22685;9-12-2020;22-12-2020;Zwartewaterland;118;520,2;1;4,4;0;0;;WAAR;Zwartewaterland
Zwijndrecht;642;Zwijndrecht;44737;9-12-2020;22-12-2020;Zwijndrecht;298;666,1;1;2,2;2;4,5;;WAAR;Zwijndrecht
Zwolle;193;Zwolle;128840;9-12-2020;22-12-2020;Zwolle;653;506,8;1;0,8;1;0,8;;WAAR;Zwolle
