Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;Gemeente
Dalfsen;148;Dalfsen;28587;28-10-2020;10-11-2020;110;384,8;0;0;2;7;Dalfsen
Dantumadiel;1891;Dantumadiel;18922;28-10-2020;10-11-2020;37;195,5;0;0;0;0;Dantumadiel
De Bilt;310;De Bilt;43137;28-10-2020;10-11-2020;225;521,6;3;7;0;0;De Bilt
De Fryske Marren;1940;De Fryske Marren;51564;28-10-2020;10-11-2020;104;201,7;1;1,9;0;0;De Fryske Marren
De Ronde Venen;736;De Ronde Venen;44456;28-10-2020;10-11-2020;243;546,6;4;9;3;6,7;De Ronde Venen
De Wolden;1690;De Wolden;24330;28-10-2020;10-11-2020;74;304,2;0;0;0;0;De Wolden
Delft;503;Delft;103595;28-10-2020;10-11-2020;545;526,1;1;1;6;5,8;Delft
Delfzijl;10;Delfzijl;24678;28-10-2020;10-11-2020;24;97,3;0;0;0;0;Delfzijl
Den Helder;400;Den Helder;56296;28-10-2020;10-11-2020;145;257,6;1;1,8;2;3,6;Den Helder
Deurne;762;Deurne;32471;28-10-2020;10-11-2020;225;692,9;0;0;2;6,2;Deurne
Deventer;150;Deventer;100719;28-10-2020;10-11-2020;353;350,5;3;3;0;0;Deventer
Diemen;384;Diemen;30780;28-10-2020;10-11-2020;163;529,6;1;3,2;1;3,2;Diemen
Dinkelland;1774;Dinkelland;26461;28-10-2020;10-11-2020;173;653,8;1;3,8;3;11,3;Dinkelland
Doesburg;221;Doesburg;11077;28-10-2020;10-11-2020;44;397,2;0;0;0;0;Doesburg
Doetinchem;222;Doetinchem;58001;28-10-2020;10-11-2020;245;422,4;3;5,2;0;0;Doetinchem
Dongen;766;Dongen;26222;28-10-2020;10-11-2020;245;934,3;1;3,8;3;11,4;Dongen
Dordrecht;505;Dordrecht;119284;28-10-2020;10-11-2020;1034;866,8;0;0;13;10,9;Dordrecht
Drechterland;498;Drechterland;19719;28-10-2020;10-11-2020;100;507,1;1;5,1;0;0;Drechterland
Drimmelen;1719;Drimmelen;27272;28-10-2020;10-11-2020;174;638;1;3,7;0;0;Drimmelen
Dronten;303;Dronten;41555;28-10-2020;10-11-2020;85;204,5;0;0;1;2,4;Dronten
Druten;225;Druten;18926;28-10-2020;10-11-2020;103;544,2;0;0;1;5,3;Druten
Duiven;226;Duiven;25126;28-10-2020;10-11-2020;105;417,9;1;4;1;4;Duiven
Echt-Susteren;1711;Echt-Susteren;31610;28-10-2020;10-11-2020;88;278,4;0;0;0;0;Echt-Susteren
Edam-Volendam;385;Edam-Volendam;36197;28-10-2020;10-11-2020;224;618,8;6;16,6;1;2,8;Edam-Volendam
Ede;228;Ede;117165;28-10-2020;10-11-2020;605;516,4;2;1,7;4;3,4;Ede
Eemnes;317;Eemnes;9247;28-10-2020;10-11-2020;59;638;1;10,8;0;0;Eemnes
Eersel;770;Eersel;19313;28-10-2020;10-11-2020;121;626,5;0;0;4;20,7;Eersel
Eijsden-Margraten;1903;Eijsden-Margraten;25768;28-10-2020;10-11-2020;95;368,7;0;0;0;0;Eijsden-Margraten
Eindhoven;772;Eindhoven;234394;28-10-2020;10-11-2020;1195;509,8;6;2,6;11;4,7;Eindhoven
Elburg;230;Elburg;23161;28-10-2020;10-11-2020;71;306,5;0;0;1;4,3;Elburg
Emmen;114;Emmen;107048;28-10-2020;10-11-2020;355;331,6;5;4,7;0;0;Emmen
Enkhuizen;388;Enkhuizen;18591;28-10-2020;10-11-2020;95;511;0;0;1;5,4;Enkhuizen
Enschede;153;Enschede;159640;28-10-2020;10-11-2020;1086;680,3;10;6,3;13;8,1;Enschede
Epe;232;Epe;33178;28-10-2020;10-11-2020;118;355,7;0;0;1;3;Epe
Ermelo;233;Ermelo;27008;28-10-2020;10-11-2020;95;351,7;0;0;0;0;Ermelo
Etten-Leur;777;Etten-Leur;43878;28-10-2020;10-11-2020;251;572;4;9,1;0;0;Etten-Leur
Geertruidenberg;779;Geertruidenberg;21544;28-10-2020;10-11-2020;90;417,7;1;4,6;0;0;Geertruidenberg
Geldrop-Mierlo;1771;Geldrop-Mierlo;39726;28-10-2020;10-11-2020;248;624,3;1;2,5;0;0;Geldrop-Mierlo
Gemert-Bakel;1652;Gemert-Bakel;30723;28-10-2020;10-11-2020;159;517,5;0;0;0;0;Gemert-Bakel
Gennep;907;Gennep;16921;28-10-2020;10-11-2020;79;466,9;1;5,9;0;0;Gennep
Gilze en Rijen;784;Gilze en Rijen;26431;28-10-2020;10-11-2020;181;684,8;1;3,8;0;0;Gilze en Rijen
Goeree-Overflakkee;1924;Goeree-Overflakkee;50049;28-10-2020;10-11-2020;278;555,5;3;6;1;2;Goeree-Overflakkee
Goes;664;Goes;38082;28-10-2020;10-11-2020;124;325,6;0;0;0;0;Goes
Goirle;785;Goirle;23904;28-10-2020;10-11-2020;167;698,6;1;4,2;2;8,4;Goirle
Gooise Meren;1942;Gooise Meren;58055;28-10-2020;10-11-2020;267;459,9;3;5,2;0;0;Gooise Meren
Gorinchem;512;Gorinchem;37022;28-10-2020;10-11-2020;222;599,6;1;2,7;4;10,8;Gorinchem
Gouda;513;Gouda;73427;28-10-2020;10-11-2020;477;649,6;10;13,6;15;20,4;Gouda
Grave;786;Grave;12436;28-10-2020;10-11-2020;112;900,6;1;8;0;0;Grave
Groningen (gemeente);14;Groningen (gemeente);232874;28-10-2020;10-11-2020;373;160,2;0;0;1;0,4;Groningen (gemeente)
Gulpen-Wittem;1729;Gulpen-Wittem;14171;28-10-2020;10-11-2020;41;289,3;1;7,1;1;7,1;Gulpen-Wittem
Haaksbergen;158;Haaksbergen;24311;28-10-2020;10-11-2020;143;588,2;2;8,2;3;12,3;Haaksbergen
Haaren;788;Haaren;14370;28-10-2020;10-11-2020;107;744,6;0;0;0;0;Haaren
Haarlem;392;Haarlem;162902;28-10-2020;10-11-2020;602;369,5;7;4,3;4;2,5;Haarlem
Haarlemmermeer;394;Haarlemmermeer;156002;28-10-2020;10-11-2020;728;466,7;5;3,2;3;1,9;Haarlemmermeer
Halderberge;1655;Halderberge;30284;28-10-2020;10-11-2020;221;729,8;2;6,6;2;6,6;Halderberge
Hardenberg;160;Hardenberg;60948;28-10-2020;10-11-2020;207;339,6;0;0;0;0;Hardenberg
Harderwijk;243;Harderwijk;48414;28-10-2020;10-11-2020;178;367,7;3;6,2;0;0;Harderwijk
Hardinxveld-Giessendam;523;Hardinxveld-Giessendam;18295;28-10-2020;10-11-2020;152;830,8;0;0;3;16,4;Hardinxveld-Giessendam
Harlingen;72;Harlingen;15722;28-10-2020;10-11-2020;18;114,5;1;6,4;1;6,4;Harlingen
Hattem;244;Hattem;12209;28-10-2020;10-11-2020;38;311,2;0;0;0;0;Hattem
Heemskerk;396;Heemskerk;39182;28-10-2020;10-11-2020;225;574,2;1;2,6;6;15,3;Heemskerk
Heemstede;397;Heemstede;27234;28-10-2020;10-11-2020;66;242,3;0;0;0;0;Heemstede
Heerde;246;Heerde;18589;28-10-2020;10-11-2020;51;274,4;0;0;0;0;Heerde
Heerenveen;74;Heerenveen;50493;28-10-2020;10-11-2020;100;198;0;0;0;0;Heerenveen
Heerhugowaard;398;Heerhugowaard;57587;28-10-2020;10-11-2020;267;463,6;2;3,5;0;0;Heerhugowaard
Heerlen;917;Heerlen;87086;28-10-2020;10-11-2020;300;344,5;0;0;1;1,1;Heerlen
Heeze-Leende;1658;Heeze-Leende;16152;28-10-2020;10-11-2020;81;501,5;0;0;3;18,6;Heeze-Leende
Heiloo;399;Heiloo;23968;28-10-2020;10-11-2020;74;308,7;0;0;1;4,2;Heiloo
Hellendoorn;163;Hellendoorn;35916;28-10-2020;10-11-2020;237;659,9;0;0;0;0;Hellendoorn
Hellevoetsluis;530;Hellevoetsluis;40142;28-10-2020;10-11-2020;194;483,3;0;0;0;0;Hellevoetsluis
Helmond;794;Helmond;92423;28-10-2020;10-11-2020;688;744,4;4;4,3;6;6,5;Helmond
Hendrik-Ido-Ambacht;531;Hendrik-Ido-Ambacht;31202;28-10-2020;10-11-2020;289;926,2;0;0;1;3,2;Hendrik-Ido-Ambacht
Hengelo (O.);164;Hengelo (O.);81140;28-10-2020;10-11-2020;444;547,2;1;1,2;2;2,5;Hengelo (O.)
Het Hogeland;1966;Het Hogeland;47801;28-10-2020;10-11-2020;76;159;0;0;1;2,1;Het Hogeland
Heumen;252;Heumen;16454;28-10-2020;10-11-2020;78;474;0;0;0;0;Heumen
Heusden;797;Heusden;44692;28-10-2020;10-11-2020;346;774,2;2;4,5;1;2,2;Heusden
Hillegom;534;Hillegom;22209;28-10-2020;10-11-2020;64;288,2;0;0;0;0;Hillegom
Hilvarenbeek;798;Hilvarenbeek;15518;28-10-2020;10-11-2020;133;857,1;2;12,9;5;32,2;Hilvarenbeek
Hilversum;402;Hilversum;90831;28-10-2020;10-11-2020;398;438,2;5;5,5;1;1,1;Hilversum
Hoeksche Waard;1963;Hoeksche Waard;87401;28-10-2020;10-11-2020;446;510,3;0;0;0;0;Hoeksche Waard
Hof van Twente;1735;Hof van Twente;35017;28-10-2020;10-11-2020;224;639,7;1;2,9;1;2,9;Hof van Twente
Hollands Kroon;1911;Hollands Kroon;48432;28-10-2020;10-11-2020;158;326,2;3;6,2;0;0;Hollands Kroon
Hoogeveen;118;Hoogeveen;55699;28-10-2020;10-11-2020;152;272,9;3;5,4;1;1,8;Hoogeveen
Hoorn;405;Hoorn;73261;28-10-2020;10-11-2020;323;440,9;2;2,7;1;1,4;Hoorn
Horst aan de Maas;1507;Horst aan de Maas;42429;28-10-2020;10-11-2020;218;513,8;2;4,7;0;0;Horst aan de Maas
Houten;321;Houten;50146;28-10-2020;10-11-2020;274;546,4;2;4;17;33,9;Houten
Huizen;406;Huizen;41273;28-10-2020;10-11-2020;271;656,6;2;4,8;5;12,1;Huizen
Hulst;677;Hulst;27556;28-10-2020;10-11-2020;178;646;1;3,6;0;0;Hulst
IJsselstein;353;IJsselstein;34109;28-10-2020;10-11-2020;197;577,6;2;5,9;4;11,7;IJsselstein
Kaag en Braassem;1884;Kaag en Braassem;27297;28-10-2020;10-11-2020;114;417,6;0;0;0;0;Kaag en Braassem
Kampen;166;Kampen;54319;28-10-2020;10-11-2020;118;217,2;1;1,8;0;0;Kampen
Kapelle;678;Kapelle;12695;28-10-2020;10-11-2020;25;196,9;0;0;0;0;Kapelle
Katwijk;537;Katwijk;65753;28-10-2020;10-11-2020;590;897,3;4;6,1;3;4,6;Katwijk
Kerkrade;928;Kerkrade;45749;28-10-2020;10-11-2020;135;295,1;4;8,7;0;0;Kerkrade
Koggenland;1598;Koggenland;22749;28-10-2020;10-11-2020;126;553,9;2;8,8;0;0;Koggenland
Krimpen aan den IJssel;542;Krimpen aan den IJssel;29526;28-10-2020;10-11-2020;164;555,4;2;6,8;0;0;Krimpen aan den IJssel
Krimpenerwaard;1931;Krimpenerwaard;56319;28-10-2020;10-11-2020;356;632,1;7;12,4;4;7,1;Krimpenerwaard
Laarbeek;1659;Laarbeek;22523;28-10-2020;10-11-2020;130;577,2;0;0;0;0;Laarbeek
Landerd;1685;Landerd;15730;28-10-2020;10-11-2020;90;572,2;0;0;0;0;Landerd
Landgraaf;882;Landgraaf;37445;28-10-2020;10-11-2020;98;261,7;0;0;0;0;Landgraaf
Landsmeer;415;Landsmeer;11491;28-10-2020;10-11-2020;74;644;1;8,7;0;0;Landsmeer
Langedijk;416;Langedijk;28163;28-10-2020;10-11-2020;149;529,1;0;0;0;0;Langedijk
Lansingerland;1621;Lansingerland;62384;28-10-2020;10-11-2020;338;541,8;2;3,2;0;0;Lansingerland
Laren (NH.);417;Laren (NH.);11280;28-10-2020;10-11-2020;66;585,1;0;0;2;17,7;Laren (NH.)
Leeuwarden;80;Leeuwarden;124084;28-10-2020;10-11-2020;178;143,5;1;0,8;2;1,6;Leeuwarden
Leiden;546;Leiden;125099;28-10-2020;10-11-2020;667;533,2;2;1,6;1;0,8;Leiden
Leiderdorp;547;Leiderdorp;27056;28-10-2020;10-11-2020;155;572,9;1;3,7;2;7,4;Leiderdorp
Leidschendam-Voorburg;1916;Leidschendam-Voorburg;76534;28-10-2020;10-11-2020;353;461,2;7;9,1;6;7,8;Leidschendam-Voorburg
Lelystad;995;Lelystad;78598;28-10-2020;10-11-2020;294;374,1;7;8,9;1;1,3;Lelystad
Leudal;1640;Leudal;35879;28-10-2020;10-11-2020;140;390,2;1;2,8;4;11,1;Leudal
Leusden;327;Leusden;30401;28-10-2020;10-11-2020;132;434,2;0;0;0;0;Leusden
Lingewaard;1705;Lingewaard;46601;28-10-2020;10-11-2020;250;536,5;3;6,4;2;4,3;Lingewaard
Lisse;553;Lisse;22955;28-10-2020;10-11-2020;120;522,8;0;0;1;4,4;Lisse
Lochem;262;Lochem;33729;28-10-2020;10-11-2020;75;222,4;1;3;1;3;Lochem
Loon op Zand;809;Loon op Zand;23408;28-10-2020;10-11-2020;204;871,5;0;0;5;21,4;Loon op Zand
Lopik;331;Lopik;14467;28-10-2020;10-11-2020;121;836,4;0;0;0;0;Lopik
Loppersum;24;Loppersum;9537;28-10-2020;10-11-2020;11;115,3;0;0;0;0;Loppersum
Losser;168;Losser;22683;28-10-2020;10-11-2020;140;617,2;2;8,8;1;4,4;Losser
Maasdriel;263;Maasdriel;25030;28-10-2020;10-11-2020;225;898,9;5;20;1;4;Maasdriel
Maasgouw;1641;Maasgouw;23965;28-10-2020;10-11-2020;73;304,6;0;0;0;0;Maasgouw
Maassluis;556;Maassluis;33213;28-10-2020;10-11-2020;193;581,1;2;6;1;3;Maassluis
Maastricht;935;Maastricht;121575;28-10-2020;10-11-2020;351;288,7;5;4,1;1;0,8;Maastricht
Medemblik;420;Medemblik;45101;28-10-2020;10-11-2020;198;439;1;2,2;0;0;Medemblik
Meerssen;938;Meerssen;18828;28-10-2020;10-11-2020;50;265,6;0;0;0;0;Meerssen
Meierijstad;1948;Meierijstad;81194;28-10-2020;10-11-2020;359;442,2;2;2,5;1;1,2;Meierijstad
Meppel;119;Meppel;33920;28-10-2020;10-11-2020;84;247,6;0;0;0;0;Meppel
Middelburg (Z.);687;Middelburg (Z.);48822;28-10-2020;10-11-2020;162;331,8;0;0;1;2;Middelburg (Z.)
Midden-Delfland;1842;Midden-Delfland;19341;28-10-2020;10-11-2020;83;429,1;1;5,2;1;5,2;Midden-Delfland
Midden-Drenthe;1731;Midden-Drenthe;33185;28-10-2020;10-11-2020;78;235;0;0;0;0;Midden-Drenthe
Midden-Groningen;1952;Midden-Groningen;60797;28-10-2020;10-11-2020;68;111,8;0;0;0;0;Midden-Groningen
Mill en Sint Hubert;815;Mill en Sint Hubert;10939;28-10-2020;10-11-2020;65;594,2;3;27,4;1;9,1;Mill en Sint Hubert
Moerdijk;1709;Moerdijk;37129;28-10-2020;10-11-2020;264;711;4;10,8;5;13,5;Moerdijk
Molenlanden;1978;Molenlanden;43909;28-10-2020;10-11-2020;344;783,4;0;0;0;0;Molenlanden
Montferland;1955;Montferland;36011;28-10-2020;10-11-2020;181;502,6;1;2,8;2;5,6;Montferland
Montfoort;335;Montfoort;13917;28-10-2020;10-11-2020;97;697;0;0;0;0;Montfoort
Mook en Middelaar;944;Mook en Middelaar;7847;28-10-2020;10-11-2020;32;407,8;0;0;0;0;Mook en Middelaar
Neder-Betuwe;1740;Neder-Betuwe;24339;28-10-2020;10-11-2020;131;538,2;1;4,1;0;0;Neder-Betuwe
Nederweert;946;Nederweert;17019;28-10-2020;10-11-2020;94;552,3;1;5,9;1;5,9;Nederweert
Nieuwegein;356;Nieuwegein;63462;28-10-2020;10-11-2020;320;504,2;2;3,2;2;3,2;Nieuwegein
Nieuwkoop;569;Nieuwkoop;28811;28-10-2020;10-11-2020;163;565,8;2;6,9;1;3,5;Nieuwkoop
Nijkerk;267;Nijkerk;43171;28-10-2020;10-11-2020;229;530,4;2;4,6;2;4,6;Nijkerk
Nijmegen;268;Nijmegen;177659;28-10-2020;10-11-2020;749;421,6;8;4,5;9;5,1;Nijmegen
Nissewaard;1930;Nissewaard;85219;28-10-2020;10-11-2020;671;787,4;6;7;2;2,3;Nissewaard
Noardeast-Fryslan;1970;Noardeast-Fryslan;45228;28-10-2020;10-11-2020;74;163,6;2;4,4;0;0;Noardeast-Fryslan
Noord-Beveland;1695;Noord-Beveland;7392;28-10-2020;10-11-2020;27;365,3;0;0;0;0;Noord-Beveland
Noordenveld;1699;Noordenveld;31253;28-10-2020;10-11-2020;15;48;1;3,2;0;0;Noordenveld
Noordoostpolder;171;Noordoostpolder;47291;28-10-2020;10-11-2020;115;243,2;0;0;1;2,1;Noordoostpolder
Noordwijk;575;Noordwijk;43508;28-10-2020;10-11-2020;263;604,5;4;9,2;2;4,6;Noordwijk
Nuenen, Gerwen en Nederwetten;820;Nuenen, Gerwen en Nederwetten;23383;28-10-2020;10-11-2020;126;538,9;0;0;0;0;Nuenen, Gerwen en Nederwetten
Nunspeet;302;Nunspeet;27851;28-10-2020;10-11-2020;85;305,2;0;0;0;0;Nunspeet
Oegstgeest;579;Oegstgeest;24840;28-10-2020;10-11-2020;113;454,9;2;8,1;0;0;Oegstgeest
Oirschot;823;Oirschot;18714;28-10-2020;10-11-2020;120;641,2;0;0;1;5,3;Oirschot
Oisterwijk;824;Oisterwijk;26245;28-10-2020;10-11-2020;159;605,8;1;3,8;2;7,6;Oisterwijk
Oldambt;1895;Oldambt;38209;28-10-2020;10-11-2020;47;123;1;2,6;1;2,6;Oldambt
Oldebroek;269;Oldebroek;23646;28-10-2020;10-11-2020;59;249,5;0;0;0;0;Oldebroek
Oldenzaal;173;Oldenzaal;31836;28-10-2020;10-11-2020;182;571,7;3;9,4;5;15,7;Oldenzaal
Olst-Wijhe;1773;Olst-Wijhe;18252;28-10-2020;10-11-2020;58;317,8;0;0;0;0;Olst-Wijhe
Ommen;175;Ommen;18009;28-10-2020;10-11-2020;74;410,9;0;0;0;0;Ommen
Oost Gelre;1586;Oost Gelre;29627;28-10-2020;10-11-2020;191;644,7;0;0;8;27;Oost Gelre
Oosterhout;826;Oosterhout;55982;28-10-2020;10-11-2020;468;836;1;1,8;0;0;Oosterhout
Ooststellingwerf;85;Ooststellingwerf;25469;28-10-2020;10-11-2020;51;200,2;1;3,9;0;0;Ooststellingwerf
Oostzaan;431;Oostzaan;9735;28-10-2020;10-11-2020;53;544,4;1;10,3;0;0;Oostzaan
Opmeer;432;Opmeer;11836;28-10-2020;10-11-2020;54;456,2;0;0;0;0;Opmeer
Opsterland;86;Opsterland;29733;28-10-2020;10-11-2020;28;94,2;1;3,4;0;0;Opsterland
Oss;828;Oss;91915;28-10-2020;10-11-2020;680;739,8;4;4,4;1;1,1;Oss
Oude IJsselstreek;1509;Oude IJsselstreek;39388;28-10-2020;10-11-2020;189;479,8;1;2,5;0;0;Oude IJsselstreek
Ouder-Amstel;437;Ouder-Amstel;14026;28-10-2020;10-11-2020;55;392,1;0;0;0;0;Ouder-Amstel
Oudewater;589;Oudewater;10230;28-10-2020;10-11-2020;46;449,7;0;0;0;0;Oudewater
Overbetuwe;1734;Overbetuwe;47906;28-10-2020;10-11-2020;193;402,9;1;2,1;0;0;Overbetuwe
Papendrecht;590;Papendrecht;32136;28-10-2020;10-11-2020;242;753;0;0;2;6,2;Papendrecht
Peel en Maas;1894;Peel en Maas;43425;28-10-2020;10-11-2020;154;354,6;0;0;0;0;Peel en Maas
Pekela;765;Pekela;12196;28-10-2020;10-11-2020;22;180,4;1;8,2;2;16,4;Pekela
Pijnacker-Nootdorp;1926;Pijnacker-Nootdorp;55308;28-10-2020;10-11-2020;330;596,7;1;1,8;1;1,8;Pijnacker-Nootdorp
Purmerend;439;Purmerend;81249;28-10-2020;10-11-2020;365;449,2;0;0;2;2,5;Purmerend
Putten;273;Putten;24112;28-10-2020;10-11-2020;134;555,7;0;0;1;4,1;Putten
Raalte;177;Raalte;37712;28-10-2020;10-11-2020;183;485,3;0;0;1;2,7;Raalte
Reimerswaal;703;Reimerswaal;22730;28-10-2020;10-11-2020;72;316,8;0;0;1;4,4;Reimerswaal
Renkum;274;Renkum;31419;28-10-2020;10-11-2020;127;404,2;2;6,4;0;0;Renkum
Renswoude;339;Renswoude;5444;28-10-2020;10-11-2020;26;477,6;0;0;0;0;Renswoude
Reusel-De Mierden;1667;Reusel-De Mierden;13112;28-10-2020;10-11-2020;113;861,8;0;0;1;7,6;Reusel-De Mierden
Rheden;275;Rheden;43761;28-10-2020;10-11-2020;229;523,3;3;6,9;2;4,6;Rheden
