Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;;Municipality_name
Capelle aan den IJssel;502;Capelle aan den IJssel;67122;23-12-2020;2021-01-05;367;546,8;6;8,9;1;1,5;;;WAAR;Capelle aan den IJssel
Castricum;383;Castricum;35986;23-12-2020;2021-01-05;182;505,8;1;2,8;1;2,8;;;WAAR;Castricum
Coevorden;109;Coevorden;35297;23-12-2020;2021-01-05;291;824,4;2;5,7;1;2,8;;;WAAR;Coevorden
Cranendonck;1706;Cranendonck;21138;23-12-2020;2021-01-05;149;704,9;1;4,7;2;9,5;;;WAAR;Cranendonck
Cuijk;1684;Cuijk;25130;23-12-2020;2021-01-05;207;823,7;0;0;1;4;;;WAAR;Cuijk
Culemborg;216;Culemborg;28955;23-12-2020;2021-01-05;183;632;0;0;2;6,9;;;WAAR;Culemborg
Dalfsen;148;Dalfsen;28587;23-12-2020;2021-01-05;182;636,7;0;0;3;10,5;;;WAAR;Dalfsen
Dantumadiel;1891;Dantumadiel;18922;23-12-2020;2021-01-05;133;702,9;1;5,3;7;37;;;WAAR;Dantumadiel
De Bilt;310;De Bilt;43137;23-12-2020;2021-01-05;228;528,5;1;2,3;6;13,9;;;WAAR;De Bilt
De Fryske Marren;1940;De Fryske Marren;51564;23-12-2020;2021-01-05;181;351;0;0;0;0;;;WAAR;De Fryske Marren
De Ronde Venen;736;De Ronde Venen;44456;23-12-2020;2021-01-05;246;553,4;3;6,7;3;6,7;;;WAAR;De Ronde Venen
De Wolden;1690;De Wolden;24330;23-12-2020;2021-01-05;177;727,5;1;4,1;0;0;;;WAAR;De Wolden
Delft;503;Delft;103595;23-12-2020;2021-01-05;464;447,9;2;1,9;1;1;;;WAAR;Delft
Delfzijl;10;Delfzijl;24678;23-12-2020;2021-01-05;184;745,6;4;16,2;3;12,2;;;WAAR;Delfzijl
Den Helder;400;Den Helder;56296;23-12-2020;2021-01-05;461;818,9;5;8,9;3;5,3;;;WAAR;Den Helder
Deurne;762;Deurne;32471;23-12-2020;2021-01-05;198;609,8;2;6,2;0;0;;;WAAR;Deurne
Deventer;150;Deventer;100719;23-12-2020;2021-01-05;642;637,4;2;2;5;5;;;WAAR;Deventer
Diemen;384;Diemen;30780;23-12-2020;2021-01-05;177;575;3;9,7;2;6,5;;;WAAR;Diemen
Dinkelland;1774;Dinkelland;26461;23-12-2020;2021-01-05;316;1194,2;2;7,6;2;7,6;;;WAAR;Dinkelland
Doesburg;221;Doesburg;11077;23-12-2020;2021-01-05;63;568,7;0;0;0;0;;;WAAR;Doesburg
Doetinchem;222;Doetinchem;58001;23-12-2020;2021-01-05;376;648,3;2;3,4;0;0;;;WAAR;Doetinchem
Dongen;766;Dongen;26222;23-12-2020;2021-01-05;168;640,7;0;0;0;0;;;WAAR;Dongen
Dordrecht;505;Dordrecht;119284;23-12-2020;2021-01-05;728;610,3;0;0;6;5;;;WAAR;Dordrecht
Drechterland;498;Drechterland;19719;23-12-2020;2021-01-05;229;1161,3;2;10,1;0;0;;;WAAR;Drechterland
Drimmelen;1719;Drimmelen;27272;23-12-2020;2021-01-05;154;564,7;2;7,3;2;7,3;;;WAAR;Drimmelen
Dronten;303;Dronten;41555;23-12-2020;2021-01-05;351;844,7;0;0;1;2,4;;;WAAR;Dronten
Druten;225;Druten;18926;23-12-2020;2021-01-05;153;808,4;1;5,3;0;0;;;WAAR;Druten
Duiven;226;Duiven;25126;23-12-2020;2021-01-05;190;756,2;3;11,9;0;0;;;WAAR;Duiven
Echt-Susteren;1711;Echt-Susteren;31610;23-12-2020;2021-01-05;281;889;0;0;1;3,2;;;WAAR;Echt-Susteren
Edam-Volendam;385;Edam-Volendam;36197;23-12-2020;2021-01-05;220;607,8;1;2,8;1;2,8;;;WAAR;Edam-Volendam
Ede;228;Ede;117165;23-12-2020;2021-01-05;1327;1132,6;3;2,6;4;3,4;;;WAAR;Ede
Eemnes;317;Eemnes;9247;23-12-2020;2021-01-05;104;1124,7;1;10,8;0;0;;;WAAR;Eemnes
Eersel;770;Eersel;19313;23-12-2020;2021-01-05;117;605,8;0;0;0;0;;;WAAR;Eersel
Eijsden-Margraten;1903;Eijsden-Margraten;25768;23-12-2020;2021-01-05;145;562,7;1;3,9;0;0;;;WAAR;Eijsden-Margraten
Eindhoven;772;Eindhoven;234394;23-12-2020;2021-01-05;1098;468,4;4;1,7;16;6,8;;;WAAR;Eindhoven
Elburg;230;Elburg;23161;23-12-2020;2021-01-05;181;781,5;0;0;1;4,3;;;WAAR;Elburg
Emmen;114;Emmen;107048;23-12-2020;2021-01-05;587;548,4;3;2,8;5;4,7;;;WAAR;Emmen
Enkhuizen;388;Enkhuizen;18591;23-12-2020;2021-01-05;221;1188,7;0;0;3;16,1;;;WAAR;Enkhuizen
Enschede;153;Enschede;159640;23-12-2020;2021-01-05;1208;756,7;16;10;19;11,9;;;WAAR;Enschede
Epe;232;Epe;33178;23-12-2020;2021-01-05;269;810,8;2;6;3;9;;;WAAR;Epe
Ermelo;233;Ermelo;27008;23-12-2020;2021-01-05;314;1162,6;1;3,7;3;11,1;;;WAAR;Ermelo
Etten-Leur;777;Etten-Leur;43878;23-12-2020;2021-01-05;216;492,3;0;0;1;2,3;;;WAAR;Etten-Leur
Geertruidenberg;779;Geertruidenberg;21544;23-12-2020;2021-01-05;157;728,7;1;4,6;0;0;;;WAAR;Geertruidenberg
Geldrop-Mierlo;1771;Geldrop-Mierlo;39726;23-12-2020;2021-01-05;260;654,5;3;7,6;1;2,5;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;1652;Gemert-Bakel;30723;23-12-2020;2021-01-05;203;660,7;1;3,3;0;0;;;WAAR;Gemert-Bakel
Gennep;907;Gennep;16921;23-12-2020;2021-01-05;158;933,8;1;5,9;0;0;;;WAAR;Gennep
Gilze en Rijen;784;Gilze en Rijen;26431;23-12-2020;2021-01-05;153;578,9;0;0;0;0;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;1924;Goeree-Overflakkee;50049;23-12-2020;2021-01-05;217;433,6;2;4;1;2;;;WAAR;Goeree-Overflakkee
Goes;664;Goes;38082;23-12-2020;2021-01-05;157;412,3;0;0;0;0;;;WAAR;Goes
Goirle;785;Goirle;23904;23-12-2020;2021-01-05;143;598,2;1;4,2;0;0;;;WAAR;Goirle
Gooise Meren;1942;Gooise Meren;58055;23-12-2020;2021-01-05;283;487,5;2;3,4;0;0;;;WAAR;Gooise Meren
Gorinchem;512;Gorinchem;37022;23-12-2020;2021-01-05;262;707,7;1;2,7;0;0;;;WAAR;Gorinchem
Gouda;513;Gouda;73427;23-12-2020;2021-01-05;428;582,9;14;19,1;13;17,7;;;WAAR;Gouda
Grave;786;Grave;12436;23-12-2020;2021-01-05;117;940,8;1;8;0;0;;;WAAR;Grave
Groningen;14;Groningen;232874;23-12-2020;2021-01-05;760;326,4;2;0,9;6;2,6;;;WAAR;Groningen
Gulpen-Wittem;1729;Gulpen-Wittem;14171;23-12-2020;2021-01-05;89;628;1;7,1;1;7,1;;;WAAR;Gulpen-Wittem
Haaksbergen;158;Haaksbergen;24311;23-12-2020;2021-01-05;303;1246,3;2;8,2;4;16,5;;;WAAR;Haaksbergen
Haaren;788;Haaren;14370;23-12-2020;2021-01-05;90;626,3;0;0;0;0;;;WAAR;Haaren
Haarlem;392;Haarlem;162902;23-12-2020;2021-01-05;842;516,9;6;3,7;6;3,7;;;WAAR;Haarlem
Haarlemmermeer;394;Haarlemmermeer;156002;23-12-2020;2021-01-05;848;543,6;7;4,5;7;4,5;;;WAAR;Haarlemmermeer
Halderberge;1655;Halderberge;30284;23-12-2020;2021-01-05;165;544,8;1;3,3;0;0;;;WAAR;Halderberge
Hardenberg;160;Hardenberg;60948;23-12-2020;2021-01-05;804;1319,2;4;6,6;3;4,9;;;WAAR;Hardenberg
Harderwijk;243;Harderwijk;48414;23-12-2020;2021-01-05;503;1039;2;4,1;2;4,1;;;WAAR;Harderwijk
Hardinxveld-Giessendam;523;Hardinxveld-Giessendam;18295;23-12-2020;2021-01-05;227;1240,8;0;0;2;10,9;;;WAAR;Hardinxveld-Giessendam
Harlingen;72;Harlingen;15722;23-12-2020;2021-01-05;46;292,6;0;0;0;0;;;WAAR;Harlingen
Hattem;244;Hattem;12209;23-12-2020;2021-01-05;92;753,5;0;0;0;0;;;WAAR;Hattem
Heemskerk;396;Heemskerk;39182;23-12-2020;2021-01-05;234;597,2;3;7,7;0;0;;;WAAR;Heemskerk
Heemstede;397;Heemstede;27234;23-12-2020;2021-01-05;125;459;0;0;1;3,7;;;WAAR;Heemstede
Heerde;246;Heerde;18589;23-12-2020;2021-01-05;92;494,9;0;0;0;0;;;WAAR;Heerde
Heerenveen;74;Heerenveen;50493;23-12-2020;2021-01-05;208;411,9;2;4;0;0;;;WAAR;Heerenveen
Heerhugowaard;398;Heerhugowaard;57587;23-12-2020;2021-01-05;350;607,8;3;5,2;3;5,2;;;WAAR;Heerhugowaard
Heerlen;917;Heerlen;87086;23-12-2020;2021-01-05;565;648,8;8;9,2;1;1,1;;;WAAR;Heerlen
Heeze-Leende;1658;Heeze-Leende;16152;23-12-2020;2021-01-05;98;606,7;0;0;0;0;;;WAAR;Heeze-Leende
Heiloo;399;Heiloo;23968;23-12-2020;2021-01-05;153;638,4;0;0;0;0;;;WAAR;Heiloo
Hellendoorn;163;Hellendoorn;35916;23-12-2020;2021-01-05;416;1158,3;1;2,8;0;0;;;WAAR;Hellendoorn
Hellevoetsluis;530;Hellevoetsluis;40142;23-12-2020;2021-01-05;240;597,9;1;2,5;2;5;;;WAAR;Hellevoetsluis
Helmond;794;Helmond;92423;23-12-2020;2021-01-05;498;538,8;1;1,1;1;1,1;;;WAAR;Helmond
Hendrik-Ido-Ambacht;531;Hendrik-Ido-Ambacht;31202;23-12-2020;2021-01-05;227;727,5;0;0;2;6,4;;;WAAR;Hendrik-Ido-Ambacht
Hengelo;164;Hengelo;81140;23-12-2020;2021-01-05;731;900,9;2;2,5;10;12,3;;;WAAR;Hengelo
Het Hogeland;1966;Het Hogeland;47801;23-12-2020;2021-01-05;278;581,6;2;4,2;10;20,9;;;WAAR;Het Hogeland
Heumen;252;Heumen;16454;23-12-2020;2021-01-05;112;680,7;1;6,1;0;0;;;WAAR;Heumen
Heusden;797;Heusden;44692;23-12-2020;2021-01-05;324;725;0;0;1;2,2;;;WAAR;Heusden
Hillegom;534;Hillegom;22209;23-12-2020;2021-01-05;127;571,8;0;0;0;0;;;WAAR;Hillegom
Hilvarenbeek;798;Hilvarenbeek;15518;23-12-2020;2021-01-05;142;915,1;0;0;4;25,8;;;WAAR;Hilvarenbeek
Hilversum;402;Hilversum;90831;23-12-2020;2021-01-05;451;496,5;1;1,1;8;8,8;;;WAAR;Hilversum
Hoeksche Waard;1963;Hoeksche Waard;87401;23-12-2020;2021-01-05;489;559,5;1;1,1;2;2,3;;;WAAR;Hoeksche Waard
Hof van Twente;1735;Hof van Twente;35017;23-12-2020;2021-01-05;354;1010,9;1;2,9;2;5,7;;;WAAR;Hof van Twente
Hollands Kroon;1911;Hollands Kroon;48432;23-12-2020;2021-01-05;443;914,7;2;4,1;0;0;;;WAAR;Hollands Kroon
Hoogeveen;118;Hoogeveen;55699;23-12-2020;2021-01-05;522;937,2;4;7,2;3;5,4;;;WAAR;Hoogeveen
Hoorn;405;Hoorn;73261;23-12-2020;2021-01-05;678;925,5;0;0;5;6,8;;;WAAR;Hoorn
Horst aan de Maas;1507;Horst aan de Maas;42429;23-12-2020;2021-01-05;354;834,3;0;0;9;21,2;;;WAAR;Horst aan de Maas
Houten;321;Houten;50146;23-12-2020;2021-01-05;234;466,6;3;6;0;0;;;WAAR;Houten
Huizen;406;Huizen;41273;23-12-2020;2021-01-05;324;785;2;4,8;10;24,2;;;WAAR;Huizen
Hulst;677;Hulst;27556;23-12-2020;2021-01-05;84;304,8;0;0;0;0;;;WAAR;Hulst
IJsselstein;353;IJsselstein;34109;23-12-2020;2021-01-05;136;398,7;3;8,8;0;0;;;WAAR;IJsselstein
Kaag en Braassem;1884;Kaag en Braassem;27297;23-12-2020;2021-01-05;182;666,7;0;0;0;0;;;WAAR;Kaag en Braassem
Kampen;166;Kampen;54319;23-12-2020;2021-01-05;251;462,1;0;0;0;0;;;WAAR;Kampen
Kapelle;678;Kapelle;12695;23-12-2020;2021-01-05;76;598,7;0;0;1;7,9;;;WAAR;Kapelle
Katwijk;537;Katwijk;65753;23-12-2020;2021-01-05;771;1172,6;8;12,2;3;4,6;;;WAAR;Katwijk
Kerkrade;928;Kerkrade;45749;23-12-2020;2021-01-05;331;723,5;3;6,6;2;4,4;;;WAAR;Kerkrade
Koggenland;1598;Koggenland;22749;23-12-2020;2021-01-05;191;839,6;2;8,8;1;4,4;;;WAAR;Koggenland
Krimpen aan den IJssel;542;Krimpen aan den IJssel;29526;23-12-2020;2021-01-05;234;792,5;5;16,9;6;20,3;;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;1931;Krimpenerwaard;56319;23-12-2020;2021-01-05;441;783;7;12,4;1;1,8;;;WAAR;Krimpenerwaard
Laarbeek;1659;Laarbeek;22523;23-12-2020;2021-01-05;136;603,8;1;4,4;1;4,4;;;WAAR;Laarbeek
Landerd;1685;Landerd;15730;23-12-2020;2021-01-05;132;839,2;1;6,4;0;0;;;WAAR;Landerd
Landgraaf;882;Landgraaf;37445;23-12-2020;2021-01-05;371;990,8;6;16;5;13,4;;;WAAR;Landgraaf
Landsmeer;415;Landsmeer;11491;23-12-2020;2021-01-05;80;696,2;2;17,4;1;8,7;;;WAAR;Landsmeer
Langedijk;416;Langedijk;28163;23-12-2020;2021-01-05;214;759,9;0;0;0;0;;;WAAR;Langedijk
Lansingerland;1621;Lansingerland;62384;23-12-2020;2021-01-05;428;686,1;3;4,8;0;0;;;WAAR;Lansingerland
Laren;417;Laren;11280;23-12-2020;2021-01-05;97;859,9;1;8,9;12;106,4;;;WAAR;Laren
Leeuwarden;80;Leeuwarden;124084;23-12-2020;2021-01-05;515;415;4;3,2;6;4,8;;;WAAR;Leeuwarden
Leiden;546;Leiden;125099;23-12-2020;2021-01-05;576;460,4;1;0,8;2;1,6;;;WAAR;Leiden
Leiderdorp;547;Leiderdorp;27056;23-12-2020;2021-01-05;124;458,3;1;3,7;4;14,8;;;WAAR;Leiderdorp
Leidschendam-Voorburg;1916;Leidschendam-Voorburg;76534;23-12-2020;2021-01-05;410;535,7;9;11,8;1;1,3;;;WAAR;Leidschendam-Voorburg
Lelystad;995;Lelystad;78598;23-12-2020;2021-01-05;391;497,5;6;7,6;2;2,5;;;WAAR;Lelystad
Leudal;1640;Leudal;35879;23-12-2020;2021-01-05;238;663,3;3;8,4;0;0;;;WAAR;Leudal
Leusden;327;Leusden;30401;23-12-2020;2021-01-05;195;641,4;2;6,6;3;9,9;;;WAAR;Leusden
Lingewaard;1705;Lingewaard;46601;23-12-2020;2021-01-05;329;706;4;8,6;1;2,1;;;WAAR;Lingewaard
Lisse;553;Lisse;22955;23-12-2020;2021-01-05;199;866,9;0;0;2;8,7;;;WAAR;Lisse
Lochem;262;Lochem;33729;23-12-2020;2021-01-05;165;489,2;1;3;1;3;;;WAAR;Lochem
Loon op Zand;809;Loon op Zand;23408;23-12-2020;2021-01-05;219;935,6;0;0;0;0;;;WAAR;Loon op Zand
Lopik;331;Lopik;14467;23-12-2020;2021-01-05;49;338,7;0;0;0;0;;;WAAR;Lopik
Loppersum;24;Loppersum;9537;23-12-2020;2021-01-05;43;450,9;0;0;0;0;;;WAAR;Loppersum
Losser;168;Losser;22683;23-12-2020;2021-01-05;326;1437,2;4;17,6;6;26,5;;;WAAR;Losser
Maasdriel;263;Maasdriel;25030;23-12-2020;2021-01-05;158;631,2;0;0;1;4;;;WAAR;Maasdriel
Maasgouw;1641;Maasgouw;23965;23-12-2020;2021-01-05;200;834,6;2;8,3;1;4,2;;;WAAR;Maasgouw
Maassluis;556;Maassluis;33213;23-12-2020;2021-01-05;195;587,1;5;15,1;3;9;;;WAAR;Maassluis
Maastricht;935;Maastricht;121575;23-12-2020;2021-01-05;579;476,2;4;3,3;7;5,8;;;WAAR;Maastricht
Medemblik;420;Medemblik;45101;23-12-2020;2021-01-05;551;1221,7;4;8,9;1;2,2;;;WAAR;Medemblik
Meerssen;938;Meerssen;18828;23-12-2020;2021-01-05;101;536,4;1;5,3;0;0;;;WAAR;Meerssen
Meierijstad;1948;Meierijstad;81194;23-12-2020;2021-01-05;542;667,5;4;4,9;5;6,2;;;WAAR;Meierijstad
Meppel;119;Meppel;33920;23-12-2020;2021-01-05;265;781,2;1;2,9;5;14,7;;;WAAR;Meppel
Middelburg;687;Middelburg;48822;23-12-2020;2021-01-05;213;436,3;3;6,1;1;2;;;WAAR;Middelburg
Midden-Delfland;1842;Midden-Delfland;19341;23-12-2020;2021-01-05;121;625,6;0;0;1;5,2;;;WAAR;Midden-Delfland
Midden-Drenthe;1731;Midden-Drenthe;33185;23-12-2020;2021-01-05;179;539,4;0;0;0;0;;;WAAR;Midden-Drenthe
Midden-Groningen;1952;Midden-Groningen;60797;23-12-2020;2021-01-05;291;478,6;4;6,6;6;9,9;;;WAAR;Midden-Groningen
Mill en Sint Hubert;815;Mill en Sint Hubert;10939;23-12-2020;2021-01-05;112;1023,9;0;0;0;0;;;WAAR;Mill en Sint Hubert
Moerdijk;1709;Moerdijk;37129;23-12-2020;2021-01-05;134;360,9;2;5,4;2;5,4;;;WAAR;Moerdijk
Molenlanden;1978;Molenlanden;43909;23-12-2020;2021-01-05;378;860,9;1;2,3;1;2,3;;;WAAR;Molenlanden
Montferland;1955;Montferland;36011;23-12-2020;2021-01-05;266;738,7;1;2,8;0;0;;;WAAR;Montferland
Montfoort;335;Montfoort;13917;23-12-2020;2021-01-05;91;653,9;1;7,2;0;0;;;WAAR;Montfoort
Mook en Middelaar;944;Mook en Middelaar;7847;23-12-2020;2021-01-05;67;853,8;1;12,7;0;0;;;WAAR;Mook en Middelaar
Neder-Betuwe;1740;Neder-Betuwe;24339;23-12-2020;2021-01-05;198;813,5;1;4,1;2;8,2;;;WAAR;Neder-Betuwe
Nederweert;946;Nederweert;17019;23-12-2020;2021-01-05;168;987,1;0;0;3;17,6;;;WAAR;Nederweert
Nieuwegein;356;Nieuwegein;63462;23-12-2020;2021-01-05;277;436,5;0;0;1;1,6;;;WAAR;Nieuwegein
Nieuwkoop;569;Nieuwkoop;28811;23-12-2020;2021-01-05;198;687,2;1;3,5;0;0;;;WAAR;Nieuwkoop
Nijkerk;267;Nijkerk;43171;23-12-2020;2021-01-05;525;1216,1;2;4,6;2;4,6;;;WAAR;Nijkerk
Nijmegen;268;Nijmegen;177659;23-12-2020;2021-01-05;1052;592,1;3;1,7;14;7,9;;;WAAR;Nijmegen
Nissewaard;1930;Nissewaard;85219;23-12-2020;2021-01-05;395;463,5;3;3,5;6;7;;;WAAR;Nissewaard
Noardeast-Frysl̢n;1970;Noardeast-Fryslan;45228;23-12-2020;2021-01-05;275;608;3;6,6;7;15,5;;;WAAR;Noardeast-Fryslan
Noord-Beveland;1695;Noord-Beveland;7392;23-12-2020;2021-01-05;15;202,9;0;0;0;0;;;WAAR;Noord-Beveland
Noordenveld;1699;Noordenveld;31253;23-12-2020;2021-01-05;107;342,4;0;0;1;3,2;;;WAAR;Noordenveld
Noordoostpolder;171;Noordoostpolder;47291;23-12-2020;2021-01-05;260;549,8;1;2,1;0;0;;;WAAR;Noordoostpolder
Noordwijk;575;Noordwijk;43508;23-12-2020;2021-01-05;337;774,6;5;11,5;3;6,9;;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;820;Nuenen, Gerwen en Nederwetten;23383;23-12-2020;2021-01-05;130;556;0;0;0;0;;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;302;Nunspeet;27851;23-12-2020;2021-01-05;194;696,6;1;3,6;1;3,6;;;WAAR;Nunspeet
Oegstgeest;579;Oegstgeest;24840;23-12-2020;2021-01-05;155;624;0;0;5;20,1;;;WAAR;Oegstgeest
Oirschot;823;Oirschot;18714;23-12-2020;2021-01-05;129;689,3;1;5,3;0;0;;;WAAR;Oirschot
Oisterwijk;824;Oisterwijk;26245;23-12-2020;2021-01-05;172;655,4;0;0;1;3,8;;;WAAR;Oisterwijk
