Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;Gemeente;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;Gemeente;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
Duiven;18;71,6;7;27,9;1;4;Duiven;6;23,9;5;19,9;0;0;Duiven;12;47,7;2;8;1;4
Echt-Susteren;33;104,4;17;53,8;6;19;Echt-Susteren;29;91,7;17;53,8;5;15,8;Echt-Susteren;4;12,7;0;0;1;3,2
Edam-Volendam;21;58;10;27,6;0;0;Edam-Volendam;16;44,2;9;24,9;0;0;Edam-Volendam;5;13,8;1;2,7;0;0
Ede;70;59,7;31;26,5;11;9,4;Ede;61;52,1;32;27,3;8;6,8;Ede;9;7,6;-1;-0,8;3;2,6
Eemnes;6;64,9;0;0;1;10,8;Eemnes;3;32,4;0;0;1;10,8;Eemnes;3;32,5;0;0;0;0
Eersel;20;103,6;11;57;3;15,5;Eersel;21;108,7;14;72,5;1;5,2;Eersel;-1;-5,1;-3;-15,5;2;10,3
Eijsden-Margraten;70;271,7;27;104,8;11;42,7;Eijsden-Margraten;55;213,4;24;93,1;4;15,5;Eijsden-Margraten;15;58,3;3;11,7;7;27,2
Eindhoven;155;66,1;73;31,1;35;14,9;Eindhoven;168;71,7;76;32,4;17;7,3;Eindhoven;-13;-5,6;-3;-1,3;18;7,6
Elburg;37;159,8;14;60,4;2;8,6;Elburg;19;82;5;21,6;0;0;Elburg;18;77,8;9;38,8;2;8,6
Emmen;32;29,9;10;9,3;5;4,7;Emmen;19;17,7;9;8,4;2;1,9;Emmen;13;12,2;1;0,9;3;2,8
Enkhuizen;12;64,5;4;21,5;3;16,1;Enkhuizen;19;102,2;13;69,9;4;21,5;Enkhuizen;-7;-37,7;-9;-48,4;-1;-5,4
Enschede;94;58,9;31;19,4;11;6,9;Enschede;66;41,3;25;15,7;7;4,4;Enschede;28;17,6;6;3,7;4;2,5
Epe;40;120,6;17;51,2;6;18,1;Epe;40;120,6;24;72,3;5;15,1;Epe;0;0;-7;-21,1;1;3
Ermelo;33;122,2;12;44,4;7;25,9;Ermelo;21;77,8;12;44,4;5;18,5;Ermelo;12;44,4;0;0;2;7,4
Etten-Leur;61;139;18;41;17;38,7;Etten-Leur;49;111,7;24;54,7;10;22,8;Etten-Leur;12;27,3;-6;-13,7;7;15,9
Geertruidenberg;5;23,2;2;9,3;2;9,3;Geertruidenberg;8;37,1;4;18,6;2;9,3;Geertruidenberg;-3;-13,9;-2;-9,3;0;0
Geldrop-Mierlo;41;103,2;14;35,2;4;10,1;Geldrop-Mierlo;34;85,6;15;37,8;2;5;Geldrop-Mierlo;7;17,6;-1;-2,6;2;5,1
Gemert-Bakel;43;140;20;65,1;12;39,1;Gemert-Bakel;70;227,8;39;126,9;17;55,3;Gemert-Bakel;-27;-87,8;-19;-61,8;-5;-16,2
Gennep;27;159,6;9;53,2;5;29,5;Gennep;20;118,2;9;53,2;3;17,7;Gennep;7;41,4;0;0;2;11,8
Gilze en Rijen;23;87;7;26,5;9;34,1;Gilze en Rijen;28;105,9;15;56,8;4;15,1;Gilze en Rijen;-5;-18,9;-8;-30,3;5;19
Goeree-Overflakkee;147;293,7;30;59,9;14;28;Goeree-Overflakkee;119;237,8;34;67,9;8;16;Goeree-Overflakkee;28;55,9;-4;-8;6;12
Goes;30;78,8;7;18,4;4;10,5;Goes;24;63;8;21;1;2,6;Goes;6;15,8;-1;-2,6;3;7,9
Goirle;28;117,1;8;33,5;8;33,5;Goirle;28;117,1;17;71,1;8;33,5;Goirle;0;0;-9;-37,6;0;0
Gooise Meren;33;56,8;12;20,7;5;8,6;Gooise Meren;30;51,7;15;25,8;1;1,7;Gooise Meren;3;5,1;-3;-5,1;4;6,9
Gorinchem;70;189,1;8;21,6;5;13,5;Gorinchem;39;105,3;11;29,7;1;2,7;Gorinchem;31;83,8;-3;-8,1;4;10,8
Gouda;80;109;20;27,2;10;13,6;Gouda;50;68,1;17;23,2;6;8,2;Gouda;30;40,9;3;4;4;5,4
Grave;24;193;10;80,4;5;40,2;Grave;26;209,1;11;88,5;4;32,2;Grave;-2;-16,1;-1;-8,1;1;8
Groningen (gemeente);47;20,2;8;3,4;2;0,9;Groningen (gemeente);86;36,9;11;4,7;1;0,4;Groningen (gemeente);-39;-16,7;-3;-1,3;1;0,5
Gulpen-Wittem;30;211,7;8;56,5;2;14,1;Gulpen-Wittem;14;98,8;8;56,5;0;0;Gulpen-Wittem;16;112,9;0;0;2;14,1
